frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,1021.34,290.617,1.01246,1035.97,281.766,0.873624,1009.6,287.555,0.878285,1047.69,293.532,0.807718,997.691,302.251,0.880562,1024.26,369.755,0.89076,-134.893,-50.9698,-31.172,-165.377,6.31252,153.805,390.46
0,0,1021.27,290.558,1.01623,1033.09,281.772,0.860113,1009.57,287.542,0.869793,1044.92,293.638,0.848916,995.023,302.315,0.884597,1024.21,366.936,0.900906,-134.911,-45.4477,-36.6269,-165.553,7.42063,155.874,393.242
0,0,1021.27,290.558,1.01642,1033.09,281.773,0.860154,1009.57,287.542,0.870045,1044.92,293.638,0.849149,995.024,302.315,0.884814,1024.21,366.936,0.901128,-134.912,-45.4464,-36.626,-165.554,7.42035,155.874,393.243
0,0,1021.24,290.46,0.995456,1033.05,278.826,0.865807,1009.53,284.635,0.856748,1044.91,293.589,0.896553,994.983,299.362,0.872943,1024.36,366.949,0.90165,-128.786,-45.3494,-44.5766,-153.544,7.5286,161.271,393.263
0,0,1021.24,290.464,0.996897,1033.05,278.833,0.865716,1009.53,284.641,0.8573,1044.91,293.592,0.895579,994.985,299.365,0.873134,1024.36,366.945,0.90285,-128.785,-45.3412,-44.5656,-153.552,7.52981,161.271,393.244
0,0,1021.25,287.646,0.978975,1033.06,275.915,0.873268,1009.56,281.689,0.857059,1044.93,293.591,0.898784,994.992,296.517,0.873785,1024.32,366.915,0.920919,-123.883,-45.517,-44.8041,-153.006,14.0933,161.331,393.304
0,0,1021.26,287.633,0.978842,1033.07,275.901,0.875379,1009.57,278.861,0.858405,1044.93,293.588,0.895663,994.99,296.516,0.879547,1024.32,366.913,0.920568,-123.842,-50.4437,-44.8125,-143.113,14.1229,161.318,396.006
0,0,1021.23,287.545,0.961785,1033,273.007,0.881355,1009.55,278.796,0.857844,1044.93,293.42,0.925493,997.725,296.455,0.881537,1027.13,366.864,0.918176,-120.311,-56.1831,-51.0223,-143.164,13.9251,159.243,396.086
0,0,1021.23,287.544,0.961072,1032.99,273.007,0.880881,1009.56,278.796,0.857227,1044.93,293.419,0.925277,997.726,296.455,0.88126,1027.13,366.865,0.917549,-120.313,-56.1823,-51.0218,-143.158,13.924,159.24,396.085
0,0,1021.37,287.495,0.961747,1035.98,273.004,0.892048,1012.48,278.754,0.869431,1047.76,293.501,0.876157,997.736,296.543,0.886222,1027.25,364.088,0.906939,-119.875,-50.3448,-44.7638,-135.477,12.8215,159.051,396.139
0,0,1021.37,287.523,0.964965,1035.98,273.03,0.889656,1012.48,278.792,0.867298,1047.76,293.525,0.87723,997.741,299.32,0.88349,1030.06,364.087,0.906369,-119.881,-54.3245,-44.7665,-135.514,12.8147,153.467,396.104
0,0,1021.44,284.628,0.950843,1038.85,272.893,0.919337,1015.37,273.047,0.904834,1050.64,293.416,0.875116,997.843,296.387,0.895103,1030.17,364.044,0.904332,-119.882,-53.0976,-33.9868,-117.676,16.7501,153.514,396.099
0,0,1021.44,284.629,0.950589,1038.85,272.894,0.918936,1015.37,273.046,0.904315,1050.64,293.42,0.875138,997.839,296.385,0.895413,1030.16,364.044,0.905126,-119.875,-53.0922,-33.9835,-117.675,16.755,153.523,396.097
0,0,1024.2,284.681,0.935555,1038.91,272.972,0.911369,1015.46,275.896,0.904407,1050.68,293.472,0.88352,997.913,296.437,0.911221,1033.06,364.02,0.910181,-119.867,-49.4907,-38.5213,-134.835,18.3647,155.903,396.135
0,0,1024.2,284.68,0.935259,1038.91,272.973,0.911253,1015.46,275.896,0.904389,1050.68,293.473,0.885282,997.912,296.436,0.911811,1033.07,364.019,0.910477,-119.869,-49.4857,-38.5195,-134.833,18.3682,155.904,396.148
0,0,1024.23,284.646,0.932318,1038.95,272.933,0.919366,1015.49,275.883,0.906587,1053.54,293.46,0.86393,997.954,296.459,0.892118,1035.93,363.989,0.919294,-125.401,-49.5596,-38.5184,-134.934,16.7414,155.794,396.134
0,0,1024.24,284.688,0.929024,1038.95,272.95,0.918294,1015.48,275.94,0.895516,1053.57,293.423,0.874604,997.961,296.501,0.889097,1035.96,363.98,0.926612,-125.52,-49.5616,-38.5801,-135.018,16.5853,155.793,396.16
0,0,1024.24,284.689,0.929167,1038.95,272.951,0.918107,1015.48,275.941,0.895365,1053.56,293.424,0.874485,997.959,296.502,0.889246,1035.96,363.98,0.926438,-125.52,-49.5601,-38.5798,-135.017,16.5866,155.793,396.157
0,0,1024.23,284.687,0.929044,1038.97,272.94,0.925199,1015.49,275.925,0.899005,1053.58,293.39,0.888753,997.96,296.481,0.894427,1035.94,363.97,0.92886,-125.555,-49.5404,-38.5634,-134.939,16.5168,155.825,396.217
0,0,1024.24,284.686,0.928302,1038.97,272.941,0.9251,1015.49,275.928,0.898419,1053.59,293.393,0.887711,997.963,296.487,0.893448,1035.94,363.969,0.928651,-125.551,-49.5449,-38.5652,-134.955,16.5254,155.814,396.222
0,0,1024.2,284.671,0.933557,1038.93,272.922,0.926474,1015.45,275.893,0.900155,1053.55,293.359,0.902104,997.912,296.447,0.907573,1035.91,363.96,0.925558,-125.578,-49.5335,-38.5726,-134.912,16.4883,155.866,396.239
0,0,1024.19,284.678,0.93508,1038.92,272.927,0.926228,1015.44,275.896,0.898962,1053.55,293.358,0.905711,997.904,296.444,0.908003,1035.91,363.956,0.925772,-125.591,-49.5261,-38.5744,-134.899,16.471,155.886,396.234
0,0,1024.19,284.714,0.934548,1038.91,272.927,0.92279,1015.44,275.915,0.896663,1050.71,290.622,0.891167,997.884,296.426,0.921146,1035.9,363.942,0.922062,-123.707,-49.4462,-38.6975,-134.868,12.5595,156.003,396.238
0,0,1024.19,284.718,0.930852,1038.9,272.935,0.919865,1015.44,275.913,0.895584,1050.71,290.629,0.898797,997.885,296.399,0.922821,1035.9,363.942,0.922078,-123.715,-49.4018,-38.6866,-134.814,12.5649,156.055,396.249
0,0,1024.19,284.692,0.93787,1038.92,272.917,0.929197,1015.42,275.882,0.902683,1053.55,290.66,0.901389,997.883,296.392,0.913934,1035.94,363.92,0.926929,-129.504,-49.461,-38.6314,-134.843,11.4894,156.019,396.25
0,0,1024.18,284.687,0.935278,1038.92,272.918,0.927868,1015.42,275.881,0.901677,1053.55,290.668,0.908106,997.884,296.384,0.915515,1035.94,363.917,0.926727,-129.5,-49.4519,-38.6098,-134.84,11.5095,156.022,396.258
0,0,1024.21,284.726,0.929726,1038.96,272.934,0.927803,1015.47,275.879,0.913329,1056.46,293.35,0.918706,997.93,293.624,0.907389,1038.8,363.899,0.933834,-130.605,-45.3336,-38.6357,-134.641,14.9695,161.294,396.242
0,0,1024.2,284.721,0.931266,1038.95,272.928,0.930101,1015.47,275.871,0.914867,1053.64,290.662,0.917989,997.93,293.621,0.906735,1038.8,363.899,0.934839,-129.629,-45.3479,-38.647,-134.634,11.4106,161.286,396.218
0,0,1024.32,287.533,0.918975,1041.75,272.959,0.940254,1018.27,278.776,0.919685,1059.39,290.643,0.912928,1000.74,296.412,0.906152,1038.96,363.881,0.954717,-134.929,-45.1858,-39.9063,-124.662,5.06921,159.363,396.275
0,0,1024.32,287.532,0.918519,1041.75,272.959,0.939973,1018.27,278.776,0.92008,1059.38,290.642,0.911327,1000.75,296.413,0.906122,1038.96,363.882,0.954756,-134.926,-45.1894,-39.9088,-124.667,5.06954,159.358,396.281
0,0,1027.23,290.392,0.903905,1041.87,275.85,0.936936,1018.43,281.727,0.927677,1062.35,290.651,0.974018,1003.7,296.434,0.862303,1041.86,363.898,0.981145,-144.147,-44.9447,-44.822,-135.442,0.422161,165.603,396.306
