frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,522.376,270.001,0.943458,531.306,266.911,0.88608,504.909,266.956,0.944117,554.645,290.621,0.937318,495.903,287.658,0.770585,525.301,363.914,0.947899,-134.549,-66.4896,-19.0838,-170.114,32.5789,146.297,443.213
0,0,522.376,270.033,0.940541,534.096,266.94,0.888701,504.901,266.954,0.954033,554.696,290.624,0.93757,493.078,287.613,0.756872,525.307,363.908,0.948745,-131.016,-60.218,-14.7835,-170.008,32.5007,149.035,445.99
0,0,522.369,270.037,0.938085,534.094,266.948,0.890031,504.902,266.954,0.954268,554.698,290.633,0.93892,493.077,287.613,0.75319,525.309,363.909,0.94897,-131.021,-60.2143,-14.7641,-169.989,32.4996,149.036,445.997
0,0,522.325,270.012,0.937373,531.271,266.911,0.891233,504.854,266.962,0.95515,554.651,290.581,0.943531,493.03,290.383,0.767264,525.301,363.891,0.949959,-134.647,-63.212,-19.115,-170.097,32.4692,145.187,443.277
0,0,522.327,270.01,0.937635,531.273,266.909,0.890865,504.856,266.96,0.954106,554.653,290.582,0.943527,493.031,290.378,0.766824,525.303,363.89,0.950163,-134.644,-63.2094,-19.1148,-170.099,32.4725,145.19,443.28
0,0,522.291,269.99,0.934504,531.207,264.193,0.895849,504.839,266.96,0.951648,551.894,290.53,0.943495,493.015,290.391,0.779421,525.285,363.889,0.947927,-128.148,-63.2243,-33.0357,-170.15,34.7546,145.13,445.996
0,0,522.294,269.988,0.934801,531.216,264.194,0.89392,504.839,266.961,0.949364,551.901,290.54,0.943298,493.007,290.392,0.780271,525.283,363.886,0.947735,-128.137,-63.2062,-32.9973,-170.162,34.7664,145.136,446.03
0,0,522.29,269.997,0.928997,531.221,266.928,0.903024,504.867,266.935,0.94788,551.873,290.617,0.966137,492.995,287.616,0.766755,525.268,363.885,0.945742,-131.081,-60.1415,-18.9621,-170.032,34.8777,148.976,446.04
0,0,519.513,269.99,0.924552,531.21,266.936,0.905398,504.881,266.921,0.943982,551.854,290.638,0.970209,493.008,287.601,0.756578,525.276,363.89,0.946597,-131.057,-60.1372,-14.6304,-168.156,32.5556,146.398,446
0,0,519.489,269.975,0.930839,531.196,266.909,0.906747,504.832,266.938,0.947968,551.859,290.601,0.959071,490.155,290.397,0.762632,525.256,363.884,0.945963,-131.095,-57.9691,-14.6748,-168.291,32.5042,145.155,443.295
0,0,522.281,269.995,0.931727,531.222,266.918,0.905612,504.845,266.942,0.950457,551.866,290.583,0.958259,490.157,290.375,0.771536,525.251,363.894,0.944106,-131.1,-57.9189,-18.9917,-170.067,34.8338,147.61,443.27
0,0,522.308,270.007,0.93475,531.256,266.924,0.89855,504.863,266.933,0.951279,551.877,290.514,0.943646,490.165,287.623,0.774562,525.271,363.9,0.942313,-131.158,-54.6107,-19.0146,-170.007,34.7414,151.275,443.278
0,0,522.307,270.005,0.933944,531.252,266.923,0.898622,504.863,266.934,0.951787,551.872,290.516,0.945341,490.167,287.62,0.77843,525.273,363.898,0.942426,-131.154,-54.6096,-19.0145,-170.015,34.75,151.274,443.272
0,0,519.483,270.072,0.928549,531.198,266.955,0.903598,504.776,266.998,0.974314,551.874,290.548,0.950928,490.103,290.414,0.763752,525.254,363.896,0.943966,-131.229,-57.9284,-14.9014,-168.195,32.2992,145.302,443.238
0,0,519.48,270.08,0.924717,531.195,266.968,0.904305,504.785,266.997,0.973991,551.869,290.563,0.956765,490.105,290.405,0.761388,525.251,363.895,0.943308,-131.224,-57.9085,-14.8795,-168.151,32.3094,145.32,443.236
