frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
92381,0,-139.386,-45.586,-44.7431,-135.084,10.1755,165.731,6.65186,4.00948,2.54944,3.92399,1.43728,-0.69603,1018.31,1,1
1059753,0,-142.857,-45.6233,-44.7572,-135.141,9.39692,165.688,7.60901,3.9488,2.50984,3.8599,1.41373,-0.684623,1018.3,1,1
1098197,0,-142.862,-45.6286,-44.7543,-135.145,9.39398,165.682,7.60814,3.94852,2.50974,3.85827,1.41308,-0.684646,1018.31,1,1
1129319,0,-138.832,-51.7712,-50.8525,-135.145,9.30621,163.874,8.64633,4.21206,3.20217,3.23428,1.43646,-0.69272,1018.38,1,1
1276934,0,-138.831,-51.7773,-50.8495,-135.146,9.3091,163.868,8.64732,4.21209,3.20216,3.23401,1.43617,-0.692729,1018.38,1,1
1365018,0,-142.916,-56.4056,-44.859,-127.296,9.32636,164.031,7.74039,3.94021,2.55328,4.08117,1.97859,-0.697769,1018.36,1,1
1406856,0,-142.914,-56.4136,-44.8638,-127.3,9.32316,164.021,7.74213,3.94127,2.55463,4.08158,1.97851,-0.697736,1018.36,1,1
1530351,0,-142.905,-56.3695,-44.8239,-127.259,9.33912,164.057,7.74164,3.94125,2.55472,4.08313,1.97849,-0.697589,1018.38,1,1
1636135,0,-142.905,-56.38,-44.8308,-127.269,9.3407,164.041,7.74302,3.94037,2.55438,4.08265,1.97757,-0.697643,1018.38,1,1
1706862,0,-142.816,-50.5265,-44.7649,-127.341,9.43716,165.715,7.62667,3.87914,2.5128,4.69051,1.93639,-0.685742,1018.36,1,1
1810242,0,-142.854,-50.5222,-44.7994,-127.351,9.38892,165.732,7.62238,3.87829,2.51396,4.68589,1.93637,-0.685711,1018.36,1,1
1964319,0,-135.207,-56.0776,-50.7727,-134.793,10.1967,165.675,7.43677,4.9678,3.13604,4.02708,2.4038,-0.679315,1018.33,1,1
2082921,0,-138.738,-56.1188,-50.7501,-134.774,9.43371,165.646,8.35739,4.8906,3.08779,3.96509,2.36559,-0.668633,1018.33,1,1
2183036,0,-139.279,-56.0307,-38.6442,-126.896,9.51211,163.816,6.50112,4.88621,3.14512,4.02732,1.8898,-0.678524,1018.34,1,1
2232059,0,-139.292,-50.1973,-38.6488,-126.9,9.49512,165.693,6.39291,4.80694,3.09463,4.61,1.85871,-0.667367,1018.34,1,1
2328024,0,-139.326,-50.0103,-38.6329,-126.891,9.45718,165.83,6.37276,4.80236,3.09083,4.60875,1.85719,-0.667281,1018.32,1,1
2387393,0,-139.319,-50.0319,-38.6398,-126.886,9.46308,165.821,6.37496,4.80222,3.09084,4.60928,1.85806,-0.667296,1018.33,1,1
2457057,0,-139.307,-50.0687,-38.6703,-126.928,9.45555,165.736,6.37863,4.80339,3.09387,4.61583,1.85523,-0.667321,1018.3,1,1
2623065,0,-135.157,-50.0728,-44.6629,-126.939,9.45574,165.738,7.28492,4.86966,3.72153,4.61103,1.85421,-0.666238,1018.3,1,1
2711926,0,-139.401,-50.1083,-38.6786,-126.857,9.34526,165.776,6.37467,4.80784,3.10481,4.60122,1.85565,-0.667173,1018.3,1,1
2752026,0,-139.408,-50.112,-38.6699,-126.829,9.34033,165.785,6.37584,4.80809,3.10631,4.60061,1.856,-0.667107,1018.3,1,1
2796222,0,-139.389,-45.207,-38.6867,-134.688,9.34809,165.748,6.36437,4.87947,3.10036,3.79643,1.35115,-0.666142,1018.3,1,1
2839116,0,-139.382,-45.221,-38.6804,-134.688,9.36169,165.732,6.36682,4.87812,3.0997,3.79535,1.35017,-0.666251,1018.3,1,1
2933901,0,-139.383,-51.3801,-38.6884,-134.622,9.38166,163.812,6.48253,4.95133,3.14934,3.19471,1.37221,-0.677646,1018.33,1,1
3055880,0,-139.383,-51.3467,-38.689,-134.623,9.38393,163.836,6.48067,4.94912,3.14779,3.19339,1.37169,-0.6777,1018.33,1,1
3139914,0,-139.478,-51.808,-44.5446,-117.726,5.00546,169.561,6.86305,4.135,3.99972,3.33637,1.59847,-0.692268,1018.37,1,1
3264436,0,-139.486,-45.825,-44.5381,-124.836,5.00101,169.552,6.82423,4.34271,3.97779,2.61223,1.05557,-0.688465,1018.37,1,1
3347634,0,-142.913,-51.89,-44.5216,-117.731,4.67059,169.497,7.83817,4.06688,3.93156,3.2794,1.57131,-0.681079,1018.36,1,1
3484240,0,-142.921,-51.8578,-44.5183,-117.717,4.66459,169.532,7.83661,4.06654,3.93151,3.28078,1.57247,-0.681,1018.36,1,1
