frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,1018.42,311.097,0.964433,1024.37,296.382,0.907245,1006.65,296.416,0.894111,1044.93,302.279,0.881942,995.029,305.2,0.521173,1024.31,369.792,0.899977,-163.996,-37.0757,-68.0006,-128.715,-18.4021,-165.851,390.339
0,0,1018.46,313.846,0.972856,1027.17,296.447,0.890684,1009.52,296.498,0.882401,1044.9,302.327,0.895529,995.017,308.102,0.665006,1024.32,369.797,0.900007,-161.657,-38.667,-63.4247,-117.28,-23.5432,-166.234,390.374
0,0,1018.46,313.85,0.974172,1027.16,296.445,0.892663,1009.5,296.503,0.88193,1044.9,302.317,0.893679,995.017,308.11,0.64871,1024.32,369.798,0.899604,-161.695,-38.7003,-63.4458,-117.298,-23.5618,-166.241,390.368
0,0,1018.5,313.897,0.978851,1027.22,296.501,0.876027,1009.57,299.315,0.874056,1044.93,305.172,0.885499,995.033,308.14,0.696492,1024.31,369.762,0.903499,-153.913,-31.2627,-63.39,-121.495,-18.27,-166.218,390.373
0,0,1018.5,313.897,0.978937,1027.22,296.501,0.875962,1009.57,299.314,0.874353,1044.93,305.174,0.885658,995.034,308.137,0.695977,1024.31,369.762,0.903535,-153.911,-31.2578,-63.3908,-121.494,-18.2685,-166.21,390.379
0,0,1021.27,313.894,0.976638,1030.15,296.498,0.86461,1012.52,299.305,0.882958,1047.66,302.282,0.870289,997.734,305.258,0.803248,1024.29,369.747,0.903561,-161.717,-21.9246,-62.9435,-120.939,-23.7485,-159.849,390.372
0,0,1021.28,313.89,0.9732,1030.16,296.496,0.863478,1012.53,299.305,0.882887,1044.95,302.284,0.871161,997.739,308.072,0.814198,1024.29,369.742,0.903184,-158.622,-30.6515,-62.9467,-120.944,-26.1181,-166.116,390.375
0,0,1021.34,313.899,0.961782,1035.9,296.503,0.861298,1015.34,299.322,0.880331,1047.71,302.335,0.849996,997.736,308.152,0.86676,1024.31,366.971,0.900734,-153.72,-26.6361,-50.0812,-112.381,-23.6817,-166.318,393.128
0,0,1021.35,313.895,0.959445,1035.9,296.505,0.860585,1015.35,299.316,0.880703,1047.7,302.34,0.850007,997.734,308.142,0.873642,1024.31,366.972,0.901156,-153.692,-26.6129,-50.0746,-112.365,-23.6757,-166.309,393.156
0,0,1021.46,313.881,0.944961,1038.83,296.504,0.882743,1015.49,296.519,0.89941,1047.82,305.202,0.823859,997.837,305.268,0.866613,1024.33,366.951,0.90583,-135.937,-26.3615,-45.0079,-108.962,-18.2243,-159.965,393.206
0,0,1021.47,313.896,0.944306,1038.83,296.518,0.878325,1018.21,299.303,0.897075,1047.81,305.189,0.826933,997.842,308.096,0.880092,1024.33,366.949,0.905982,-136.017,-23.3559,-45.0296,-102.597,-18.2881,-166.207,393.21
0,0,1024.25,313.862,0.9213,1038.96,296.502,0.896108,1018.31,296.502,0.920978,1050.72,308.089,0.832279,997.94,308.124,0.874592,1027.16,366.897,0.906433,-135.422,-29.7033,-49.7331,-108.885,-12.307,-167.696,393.23
0,0,1024.25,313.874,0.921907,1038.96,296.514,0.893563,1018.31,296.512,0.917225,1050.73,308.1,0.834392,997.937,308.129,0.873602,1027.15,366.899,0.90659,-135.445,-29.6952,-49.7237,-108.891,-12.3028,-167.683,393.248
0,0,1030.07,313.957,0.902474,1041.9,299.356,0.913752,1021.17,296.502,0.928392,1059.47,308.078,0.820672,1000.83,302.306,0.836967,1027.22,366.877,0.904179,-153.599,-15.9293,-50.9902,-117.018,-11.3079,-158.275,393.274
