frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
77876,0,-179.491,-80.8037,-63.3377,-141.466,-21.5193,161.523,5.94552,4.56044,1.88119,3.38707,3.77585,-0.631045,988.943,1,1
241074,0,-179.492,-80.8125,-63.3383,-141.464,-21.5188,161.525,5.94635,4.56015,1.88119,3.38619,3.77571,-0.631044,988.946,1,1
323565,0,-172.999,-89.6411,-67.9843,-140.105,-21.8377,162.032,5.99662,5.79934,2.68294,4.35105,5.46826,-0.597489,986.058,1,1
463350,0,-172.984,-89.6548,-67.976,-140.104,-21.818,162,5.99763,5.79753,2.6815,4.35328,5.46588,-0.597505,986.072,1,1
552062,0,-173.161,1000,-63.6126,-135.048,-24.5139,1000,6.10646,5.98729,4.15635,-1,4.62164,-0.575825,986.026,1,0
656019,0,-173.145,1000,-63.6024,-135.038,-24.4958,1000,6.17138,6.05072,4.19873,-1,4.67223,-0.581874,983.204,1,0
760453,0,-173.406,1000,-59.8661,-121.522,-26.3688,1000,6.45046,5.24966,6.26933,-1,3.29796,-0.573045,983.121,1,0
882748,0,-173.407,1000,-59.8703,-121.527,-26.3727,1000,6.44967,5.2499,6.26943,-1,3.29816,-0.573003,983.134,1,0
978839,0,179.922,1000,-50.3175,-126.769,-24.7477,1000,6.0959,6.31425,5.70081,-1,2.31576,-0.548292,980.262,1,0
1154719,0,179.937,1000,-50.3137,-126.768,-24.7369,1000,6.09797,6.31549,5.70148,-1,2.31646,-0.548305,980.248,1,0
1195565,0,179.728,1000,-50.1464,-123.657,-23.29,1000,7.63786,5.45084,5.72217,-1,1.24207,-0.5783,977.364,1,0
1275467,0,179.726,1000,-50.1477,-123.648,-23.2874,1000,7.64247,5.4494,5.72187,-1,1.24139,-0.578311,977.361,1,0
1348545,0,174.247,1000,-45.4018,-117.892,-22.0334,1000,9.71664,4.41834,4.85386,-1,0.5259,-0.595362,977.262,1,0
1414598,0,174.203,1000,-45.4087,-117.943,-22.0583,1000,9.7211,4.41901,4.8521,-1,0.524546,-0.595126,977.287,1,0
1516399,0,168.787,1000,-51.2097,-134.976,-26.4045,1000,10.5789,4.54554,4.12711,-1,0.817242,-0.590426,974.426,1,0
1654720,0,168.788,1000,-51.2114,-134.99,-26.4035,1000,10.5769,4.54478,4.12572,-1,0.816989,-0.590456,974.425,1,0
1821637,0,168.722,-133.462,-45.0746,-135.147,-23.1972,-136.747,10.7582,4.14377,3.305,0.198111,0.83457,-0.602214,974.291,1,1
1885135,0,168.692,-133.605,-45.0826,-135.163,-23.2169,-136.631,10.7629,4.14347,3.30427,0.196497,0.834548,-0.602162,974.293,1,1
1933705,0,169.707,1000,-62.7352,-145.934,-24.6465,1000,13.6032,3.17751,2.197,-1,1.39516,-0.632803,974.221,1,0
1968344,0,169.715,1000,-62.7489,-145.93,-24.6452,1000,13.6018,3.17636,2.19705,-1,1.39503,-0.632875,974.216,1,0
2012582,0,168.755,1000,-53.4745,-146.443,-24.7441,1000,10.8358,4.11261,2.55533,-1,1.3639,-0.602946,971.516,1,0
2059226,0,168.731,1000,-53.4807,-146.448,-24.7592,1000,10.8388,4.11091,2.55424,-1,1.36343,-0.602971,971.516,1,0
2181123,0,169.651,1000,-70.2062,-158.024,-22.6312,1000,12.9531,3.93465,1.07578,-1,2.99555,-0.607358,971.46,1,0
2247733,0,169.644,1000,-70.2152,-158.035,-22.6366,1000,12.9596,3.93506,1.07596,-1,2.99572,-0.607367,971.457,1,0
2361275,0,173.624,1000,-56.2011,-158.093,-19.9846,1000,7.9102,4.7701,1.2544,-1,2.75021,-0.585658,971.397,1,0
