frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,586.899,296.474,0.882569,598.564,287.586,0.958103,575.08,290.444,0.987205,622.314,284.648,0.855646,566.437,287.543,0.108886,604.566,361.054,0.91468,172.949,18.5556,-37.308,-152.968,-18.466,-156.419,440.184
0,0,586.922,296.498,0.879807,598.574,287.607,0.95844,575.095,290.463,0.988857,622.32,284.637,0.850359,566.44,287.537,0.111387,604.566,361.06,0.914158,172.871,18.6776,-37.3438,-152.967,-18.5243,-156.371,440.186
0,0,584.033,299.309,0.869687,595.838,290.374,0.962266,572.394,290.541,0.979918,622.216,281.742,0.886299,566.399,284.719,0.0964569,601.72,361.042,0.921609,161.879,44.1563,-37.1212,-143.008,-24.7061,-140.398,443.073
0,0,584.063,296.537,0.87074,595.846,287.665,0.958873,572.406,290.532,0.981963,622.215,281.73,0.891511,566.394,287.526,0.108813,601.726,361.039,0.920844,167.315,26.5634,-36.9761,-152.743,-21.2116,-152.978,443.091
0,0,581.041,296.526,0.887124,595.733,287.63,0.959557,572.234,290.496,0.976953,622.162,281.757,0.9053,560.594,284.711,0.0884211,601.68,361.036,0.928369,167.472,26.4246,-31.1961,-145.599,-19.7563,-149.979,443.047
0,0,581.055,296.531,0.887115,595.739,287.627,0.963674,572.235,290.501,0.976626,622.155,281.763,0.90773,560.581,284.718,0.0873765,601.672,361.033,0.929465,167.484,26.3887,-31.23,-145.64,-19.7637,-150.018,443.054
0,0,578.169,296.487,0.904661,595.601,287.569,0.918526,572.114,290.499,0.950653,622.057,281.682,0.909782,560.497,287.648,0.0820824,601.593,361.042,0.931658,167.455,13.7867,-27.0943,-135.317,-18.6411,-153.428,443.035
0,0,578.171,296.489,0.90258,595.603,287.576,0.91905,572.119,290.497,0.951114,622.056,281.687,0.909896,560.509,287.618,0.0831086,601.584,361.043,0.931465,167.448,13.9283,-27.0818,-135.286,-18.6398,-153.331,443.038
0,0,575.389,296.391,0.92901,592.825,287.495,0.89424,569.356,290.441,0.938551,619.333,281.697,0.910081,563.415,290.378,0.087317,598.783,361.019,0.946572,167.662,0.609782,-27.0328,-135.402,-18.4893,-153.338,443.018
0,0,578.089,296.407,0.925998,592.829,287.514,0.898194,569.359,290.46,0.940156,619.333,281.71,0.91081,563.407,290.387,0.0855615,598.786,361.015,0.946943,167.648,0.704168,-31.105,-145.736,-19.6135,-157.704,443.015
0,0,575.28,296.353,0.950424,592.711,287.486,0.876545,569.245,290.411,0.927153,619.239,281.71,0.902632,557.602,287.539,0.0905465,598.726,361.013,0.955327,167.718,13.8578,-26.963,-135.443,-18.4231,-153.498,440.226
0,0,575.275,296.36,0.95288,592.719,287.487,0.881184,569.234,290.412,0.929706,619.255,281.711,0.904311,557.579,287.568,0.094266,598.715,361.01,0.955875,167.72,13.7108,-26.9592,-135.445,-18.4215,-153.581,443.03
0,0,575.155,293.637,0.953827,587,284.704,0.856216,566.35,290.389,0.903818,619.136,281.709,0.877726,554.722,287.55,0.0805063,598.575,361.021,0.955291,174.675,13.72,-37.0239,-159.751,-15.1751,-163.411,443.022
0,0,575.156,293.644,0.952154,589.806,284.721,0.856955,566.351,290.392,0.904601,619.145,281.707,0.877426,554.701,287.543,0.0814542,598.572,361.025,0.953249,174.135,13.7412,-31.3467,-159.729,-15.1826,-163.392,443.032
0,0,572.229,293.655,0.940056,581.036,284.718,0.870589,557.584,287.656,0.905868,616.325,278.82,0.85567,0,0,0,595.831,361.074,0.954079,170.512,1000,-45.4197,-157.725,-18.5937,1000,440.148
0,0,572.235,293.655,0.938632,581.048,284.72,0.868593,557.591,287.656,0.905354,616.335,278.821,0.857217,0,0,0,595.823,361.072,0.953627,170.509,1000,-45.3937,-157.722,-18.5918,1000,440.151
0,0,569.399,293.622,0.929284,578.125,284.669,0.884303,554.68,287.621,0.914296,616.223,278.82,0.839393,0,0,0,595.703,361.079,0.955319,171.272,1000,-45.7362,-157.82,-17.5424,1000,440.136
0,0,569.397,293.625,0.929109,578.133,284.685,0.884972,554.683,287.625,0.914994,616.212,281.711,0.834038,0,0,0,595.693,361.077,0.954346,175.535,1000,-45.6664,-157.813,-14.2788,1000,440.119
0,0,569.327,296.396,0.925802,575.327,284.702,0.909646,551.879,290.415,0.960745,613.313,278.827,0.827619,0,0,0,595.598,361.093,0.943473,171.208,1000,-62.8384,-161.078,-21.7723,1000,442.942
0,0,569.311,296.384,0.925484,575.313,284.691,0.911793,551.869,290.404,0.957661,613.302,278.839,0.826314,0,0,0,595.597,361.097,0.943007,171.241,1000,-62.8256,-161.077,-21.744,1000,442.929
0,0,566.336,296.499,0.888057,575.129,287.587,0.953798,551.739,290.499,0.982179,604.634,281.72,0.827508,0,0,0,592.824,361.105,0.943777,168.754,1000,-45.3878,-157.655,-21.1015,1000,442.99
0,0,566.333,296.501,0.887423,575.127,287.588,0.953979,551.737,290.5,0.981821,604.636,281.722,0.827002,0,0,0,592.823,361.108,0.943655,168.756,1000,-45.383,-157.653,-21.0985,1000,442.986
0,0,560.587,296.523,0.885827,572.379,287.613,0.977197,551.638,290.508,0.982283,601.67,281.711,0.85657,0,0,0,589.9,363.778,0.918949,168.607,1000,-37.0735,-146.096,-19.8264,1000,440.303
0,0,563.437,296.504,0.887846,572.4,287.597,0.970814,551.655,290.505,0.983742,601.671,281.702,0.855072,0,0,0,589.893,363.783,0.919388,168.614,1000,-44.8217,-153.013,-21.1635,1000,440.314
0,0,557.552,296.491,0.904854,572.273,287.599,0.969322,548.828,290.45,0.974342,598.826,284.636,0.89313,0,0,0,586.965,361.108,0.90812,173.632,1000,-31.1325,-145.304,-16.0252,1000,443.05
0,0,554.793,296.493,0.905681,572.27,287.597,0.968701,548.826,290.447,0.973362,598.823,284.633,0.893394,0,0,0,586.96,361.106,0.908036,173.632,1000,-26.9788,-134.625,-15.0755,1000,443.047
0,0,554.69,299.415,0.90396,572.146,290.406,0.957698,548.697,290.608,0.961765,598.702,281.742,0.893236,0,0,0,584.013,361.116,0.90881,161.929,1000,-27.2979,-124.238,-21.8787,1000,443.007
