frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,1000.87,287.574,0.913232,1018.49,275.949,0.930303,1003.71,281.683,0.415687,1047.66,293.629,0.948668,0,0,0,1041.79,363.932,0.950529,-148.778,1000,-33.4205,-64.2436,7.37404,1000,396.232
0,0,1000.87,287.575,0.913185,1018.49,275.949,0.930151,1003.71,281.683,0.415836,1047.66,293.629,0.948724,0,0,0,1041.79,363.932,0.950478,-148.779,1000,-33.4216,-64.2407,7.3733,1000,396.241
0,0,1000.75,287.571,0.923327,1018.4,278.78,0.926251,1003.68,281.686,0.351326,1044.89,296.421,0.955335,0,0,0,1041.76,364.005,0.9334,-146.334,1000,-26.4833,-63.5844,11.3401,1000,396.2
0,0,1000.75,287.571,0.92245,1018.4,278.782,0.92622,1003.68,281.684,0.352442,1044.88,296.424,0.955268,0,0,0,1041.76,364.004,0.933953,-146.334,1000,-26.4798,-63.5813,11.3442,1000,396.202
0,0,997.905,287.583,0.933673,1018.27,278.791,0.908143,1000.75,278.804,0.414533,1044.78,296.45,0.966785,0,0,0,1038.93,363.986,0.918836,-146.33,1000,-23.35,-72.0349,10.7114,1000,396.211
0,0,997.905,287.605,0.936123,1018.27,278.807,0.90699,1000.75,278.837,0.405766,1044.78,296.435,0.963562,0,0,0,1038.94,363.982,0.920684,-146.379,1000,-23.3676,-72.0064,10.6687,1000,396.207
0,0,997.803,287.576,0.933566,1015.45,278.764,0.887438,997.962,278.838,0.385996,1041.98,296.491,0.959008,0,0,0,1036.01,364.019,0.893262,-146.253,1000,-26.5424,-88.9608,11.4088,1000,398.932
0,0,997.818,287.549,0.928946,1015.45,275.947,0.888142,997.982,278.828,0.378957,1041.98,296.492,0.96108,0,0,0,1036.01,364.021,0.892646,-142.24,1000,-33.3403,-88.9223,11.448,1000,398.913
0,0,994.966,287.595,0.927847,1009.61,278.784,0.847877,997.867,281.705,0.297796,1041.78,299.357,0.930128,0,0,0,1030.08,364.074,0.887321,-147.396,1000,-31.0317,-63.771,14.1046,1000,398.854
0,0,994.957,287.607,0.929182,1009.59,278.798,0.847225,997.865,281.709,0.29409,1041.77,299.361,0.928501,0,0,0,1030.07,364.072,0.887831,-147.419,1000,-31.0408,-63.7529,14.0942,1000,398.859
0,0,994.893,287.516,0.929239,1009.52,275.905,0.860686,995.028,275.928,0.441221,1041.7,299.347,0.917524,0,0,0,1024.23,366.853,0.917916,-143.927,1000,-38.4432,-89.3349,14.1858,1000,396.08
0,0,994.892,287.518,0.929832,1009.52,275.906,0.8608,995.028,275.935,0.438631,1041.7,299.345,0.917565,0,0,0,1024.23,366.855,0.917267,-143.932,1000,-38.4471,-89.3298,14.1812,1000,396.082
