frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
113080,0,-155.434,1000,-38.8664,-89.8603,3.69804,1000,11.6417,1.94967,3.22863,-1,1.2618,-0.703293,1012.5,1,0
339410,0,-155.38,1000,-52.9445,-89.7181,6.9198,1000,17.5293,0.776429,2.16634,-1,1.37471,-0.763566,1012.45,1,0
387069,0,-155.386,1000,-52.9537,-89.7016,6.91307,1000,17.4133,0.852522,2.1521,-1,0.790037,-0.75839,1012.45,1,0
536246,0,-159.072,1000,-53.0273,-76.6036,3.6095,1000,18.1575,0.391096,2.30655,-1,1.54578,-0.800515,1006.64,1,0
690394,0,-159.073,1000,-53.0278,-76.6027,3.61008,1000,18.1568,0.390889,2.30603,-1,1.5461,-0.800463,1006.66,1,0
847532,0,-157.532,1000,-52.833,-62.9529,3.77894,1000,15.6805,0.740132,2.30932,-1,0.459925,-0.761669,1003.75,1,0
903824,0,-161.315,1000,-52.8243,-70.9574,0.331809,1000,15.3461,0.483215,2.37568,-1,0.924833,-0.782914,1003.76,1,0
1067213,0,-158.068,1000,-45.0695,-44.4274,0.263827,1000,8.40348,0.571976,2.26496,-1,0.560671,-0.608497,1003.68,1,0
1100946,0,-158.061,1000,-45.0785,-44.3,0.257549,1000,8.3954,0.575212,2.26517,-1,0.557646,-0.608556,1003.68,1,0
1137422,0,-155.633,1000,-38.5661,-18.1916,3.51739,1000,9.71489,0.880193,2.73973,-1,0.658233,-0.570573,1000.84,1,0
1246244,0,-151.644,1000,-44.6555,-18.0984,3.50564,1000,10.2816,1.31083,3.27155,-1,0.65193,-0.563583,1000.83,1,0
1305316,0,-153.71,1000,-38.4407,-43.8078,3.72284,1000,8.52576,1.6862,2.78676,-1,0.139073,-0.581118,1000.72,1,0
1405155,0,-153.725,1000,-38.4414,-44.352,3.71015,1000,10.0138,1.98644,3.27412,-1,0.162242,-0.682573,1000.73,1,0
1455866,0,-156.359,1000,-26.9462,1000,3.63122,1000,6.6695,-1,3.01764,-1,-1,-0.577691,997.936,1,0
1607740,0,-156.383,1000,-26.9623,1000,3.60984,1000,6.66766,-1,3.01716,-1,-1,-0.577689,997.926,1,0
1661805,0,-158.471,1000,-26.8575,1000,3.36589,1000,7.66398,-1,2.93895,-1,-1,-0.561307,997.847,1,0
1700796,0,-158.48,1000,-26.868,1000,3.35515,1000,7.66356,-1,2.93946,-1,-1,-0.561308,997.838,1,0
1866330,0,-164.768,1000,-22.3417,1000,3.3339,1000,8.75254,-1,1.98188,-1,-1,-0.574723,997.773,1,0
1905617,0,-164.789,1000,-22.3327,1000,3.32573,1000,8.75634,-1,1.98103,-1,-1,-0.57466,997.762,1,0
2070407,0,-163.339,1000,-22.207,1000,3.67944,1000,7.66271,-1,2.02857,-1,-1,-0.591388,995.016,1,0
2231314,0,-163.354,1000,-22.2205,1000,3.66789,1000,7.6701,-1,2.02927,-1,-1,-0.591229,995.013,1,0
2410240,0,-165.795,1000,-27.0573,1000,3.59013,1000,10.5188,-1,1.37349,-1,-1,-0.586015,994.985,1,0
2439460,0,-165.777,1000,-27.0016,1000,3.61426,1000,10.5173,-1,1.37431,-1,-1,-0.585936,994.993,1,0
