frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,572.148,272.922,0.940685,578.253,267.004,0.91246,572.365,267.048,0.276122,619.334,275.881,0.914512,0,0,0,622.075,360.939,0.940372,-167.807,1000,-44.1074,-87.8838,3.58842,1000,437.265
0,0,569.356,272.96,0.926143,578.149,267.028,0.931533,572.4,267.154,0.1823,619.238,275.91,0.907408,0,0,0,619.371,360.926,0.927967,-167.802,1000,-34.0052,-62.3344,3.38471,1000,437.339
0,0,569.355,272.967,0.925801,578.146,267.033,0.932805,572.398,267.155,0.181959,619.239,275.905,0.90842,0,0,0,619.369,360.923,0.926706,-167.816,1000,-34.0227,-62.3643,3.37063,1000,437.342
0,0,569.244,272.971,0.904252,575.312,267.026,0.947176,572.306,267.188,0.161082,619.159,275.929,0.894402,0,0,0,619.318,360.921,0.932182,-168.523,1000,-44.4152,-62.0996,3.39046,1000,440.246
0,0,569.244,272.972,0.904195,575.31,267.028,0.947783,572.304,267.195,0.161124,619.153,275.925,0.894694,0,0,0,619.319,360.922,0.932719,-168.528,1000,-44.4218,-62.0955,3.38622,1000,440.23
0,0,566.356,272.906,0.900179,575.229,266.985,0.950045,572.154,267.13,0.168854,619.078,275.924,0.878401,0,0,0,619.234,360.901,0.919066,-168.477,1000,-33.7165,-44.8891,3.27612,1000,437.396
0,0,566.367,272.913,0.900383,575.236,266.991,0.950471,572.154,267.135,0.170412,619.077,275.925,0.87788,0,0,0,619.227,360.911,0.918864,-168.482,1000,-33.7297,-44.954,3.27088,1000,437.382
0,0,566.349,272.922,0.903509,575.21,267.008,0.961834,572.192,267.165,0.155369,616.339,278.767,0.874099,0,0,0,619.152,360.892,0.911743,-164.044,1000,-33.7175,-44.5734,6.66934,1000,437.346
0,0,563.53,272.909,0.903718,575.199,266.994,0.962722,572.191,267.137,0.145741,616.335,278.78,0.875684,0,0,0,619.155,360.887,0.911385,-164.013,1000,-26.8775,-33.6759,6.34403,1000,437.399
0,0,563.442,270.124,0.921158,575.146,266.931,0.963364,572.169,267.101,0.130426,616.276,278.763,0.868484,0,0,0,619.096,360.868,0.901973,-163.952,1000,-15.2581,-19.1051,9.28634,1000,437.342
0,0,563.432,270.148,0.914683,575.134,266.947,0.967158,572.158,267.13,0.130063,616.276,278.751,0.86873,0,0,0,619.116,360.887,0.908624,-163.991,1000,-15.3007,-19.0824,9.24632,1000,434.496
0,0,560.588,270.104,0.922627,575.12,266.931,0.963413,572.197,267.096,0.0941211,616.201,278.78,0.860053,0,0,0,619.095,360.898,0.91371,-163.911,1000,-12.3166,-14.5229,8.86724,1000,434.409
0,0,560.596,270.098,0.921944,575.122,266.928,0.962954,572.207,267.096,0.0918685,616.199,278.792,0.858146,0,0,0,619.096,360.897,0.913622,-163.89,1000,-12.3115,-14.4956,8.88668,1000,434.418
0,0,560.514,270.088,0.936702,572.396,266.93,0.968609,569.316,267.091,0.0671937,610.43,278.783,0.838345,0,0,0,616.224,360.844,0.881891,-162.691,1000,-14.8858,-18.8069,9.88102,1000,434.504
0,0,560.512,270.086,0.936873,572.394,266.928,0.967486,569.331,267.109,0.0657083,610.42,278.783,0.836602,0,0,0,616.222,360.846,0.881337,-162.684,1000,-14.8871,-18.6565,9.88502,1000,434.496
0,0,557.624,270.129,0.935241,572.332,266.962,0.971338,0,0,0,607.533,278.859,0.83859,0,0,0,613.364,360.832,0.872751,-161.325,1000,-12.153,1000,9.92188,1000,434.543
0,0,557.616,270.117,0.936294,572.329,266.955,0.971087,0,0,0,607.523,281.682,0.839716,0,0,0,613.37,360.833,0.873899,-157.293,1000,-12.1316,1000,13.0466,1000,434.534
0,0,554.723,270.071,0.930036,572.217,266.927,0.940137,0,0,0,601.726,281.685,0.85922,0,0,0,613.292,360.881,0.882081,-153.429,1000,-10.1879,1000,13.8793,1000,437.382
0,0,554.72,270.073,0.930799,572.213,266.929,0.94003,0,0,0,601.727,281.689,0.858687,0,0,0,613.291,360.879,0.882262,-153.431,1000,-10.1898,1000,13.8801,1000,437.384
0,0,551.881,270.019,0.953114,572.114,266.908,0.928656,0,0,0,601.574,281.7,0.875833,0,0,0,610.376,360.883,0.890874,-153.339,1000,-8.74174,1000,13.2276,1000,437.36
0,0,551.876,270.023,0.951654,569.406,266.906,0.925983,0,0,0,598.858,278.857,0.873717,0,0,0,610.374,360.882,0.890813,-157.915,1000,-10.0822,1000,10.6483,1000,437.34
0,0,551.718,270.045,0.968912,569.229,266.913,0.909973,0,0,0,598.722,278.848,0.903661,0,0,0,607.463,360.876,0.887108,-157.969,1000,-10.1411,1000,10.6073,1000,440.263
0,0,551.716,270.038,0.969771,569.23,266.909,0.90808,0,0,0,598.724,281.69,0.904302,0,0,0,607.455,360.872,0.886642,-153.382,1000,-10.128,1000,13.922,1000,440.281
0,0,551.614,269.986,0.965427,566.33,266.896,0.891834,0,0,0,598.571,284.599,0.91355,0,0,0,601.685,360.926,0.906207,-151.23,1000,-11.8583,1000,17.286,1000,437.379
0,0,551.609,269.977,0.964673,563.521,264.185,0.89114,0,0,0,598.572,284.606,0.914078,0,0,0,601.679,360.921,0.906112,-149.774,1000,-25.931,1000,17.3022,1000,437.39
0,0,548.841,269.992,0.968869,560.566,266.898,0.888253,0,0,0,595.726,284.675,0.905559,0,0,0,598.721,360.926,0.922652,-153.178,1000,-14.7815,1000,17.3896,1000,440.201
0,0,548.842,270.002,0.964852,560.567,266.905,0.888317,0,0,0,595.731,284.653,0.905493,0,0,0,598.735,360.921,0.921534,-153.218,1000,-14.7975,1000,17.3522,1000,440.215
0,0,548.754,269.903,0.962035,557.642,264.119,0.885785,0,0,0,595.623,284.713,0.902588,0,0,0,595.89,360.925,0.930156,-151.532,1000,-33.0561,1000,17.5365,1000,440.204
0,0,548.752,269.913,0.962671,557.638,264.128,0.887713,0,0,0,595.629,287.476,0.903972,0,0,0,595.893,360.928,0.930596,-148.426,1000,-33.0669,1000,20.5394,1000,437.366
0,0,548.655,269.861,0.949993,554.763,264.05,0.892194,0,0,0,592.822,284.692,0.896016,0,0,0,595.731,360.896,0.908802,-151.526,1000,-43.5712,1000,18.5627,1000,440.233
0,0,548.676,267.192,0.955498,557.556,264.041,0.883849,0,0,0,592.828,284.719,0.894578,0,0,0,595.743,360.87,0.909144,-149.619,1000,-19.5323,1000,21.6523,1000,440.269
0,0,545.76,269.968,0.927774,551.839,264.145,0.928172,0,0,0,589.915,287.513,0.881886,0,0,0,592.868,360.886,0.897889,-148.461,1000,-43.7662,1000,21.6702,1000,437.361
0,0,545.761,269.976,0.927539,551.839,264.152,0.928156,0,0,0,589.918,287.514,0.882356,0,0,0,592.874,360.884,0.898852,-148.47,1000,-43.7717,1000,21.6625,1000,437.359
0,0,540.012,269.985,0.935544,551.73,266.921,0.95529,548.934,267.015,0.0762752,586.934,287.569,0.877278,0,0,0,589.905,360.858,0.882602,-149.609,1000,-14.6521,-18.4127,20.5431,1000,437.394
0,0,534.111,269.926,0.944513,548.882,264.186,0.950678,0,0,0,578.246,287.638,0.911166,0,0,0,584.002,360.891,0.894972,-141.388,1000,-21.2338,1000,21.8668,1000,437.401
0,0,534.111,269.931,0.944585,548.882,264.191,0.95095,0,0,0,578.254,287.638,0.909728,0,0,0,584.02,360.888,0.893755,-141.401,1000,-21.236,1000,21.8571,1000,437.377
0,0,531.189,269.888,0.964283,548.793,264.179,0.950835,0,0,0,575.383,290.438,0.955943,0,0,0,578.207,360.954,0.921113,-135.359,1000,-17.9675,1000,24.9378,1000,440.239
0,0,531.188,269.888,0.964394,548.792,264.179,0.951049,0,0,0,575.382,290.437,0.956209,0,0,0,578.212,360.952,0.920394,-135.359,1000,-17.9676,1000,24.9383,1000,440.24
0,0,528.35,269.866,0.963062,548.699,264.176,0.939382,0,0,0,575.284,290.493,0.983065,0,0,0,575.318,361.021,0.936615,-135.29,1000,-15.6229,1000,23.7251,1000,440.13
0,0,528.351,269.866,0.96249,548.698,264.175,0.93949,0,0,0,575.281,290.494,0.983166,0,0,0,575.321,361.029,0.93612,-135.286,1000,-15.6253,1000,23.7277,1000,440.118
0,0,528.203,269.906,0.974196,545.873,266.912,0.921731,542.856,266.958,0.153788,575.228,290.5,0.988852,0,0,0,575.204,361.021,0.934181,-141.217,1000,-9.61881,-11.3781,23.6502,1000,437.289
0,0,528.208,269.916,0.973591,545.876,266.922,0.923504,542.84,266.957,0.155025,575.234,290.499,0.990051,0,0,0,575.204,361.037,0.936414,-141.232,1000,-9.61943,-11.434,23.6382,1000,440.093
0,0,525.407,269.928,0.97655,545.74,266.919,0.907239,531.324,266.899,0.203937,575.173,290.512,0.985398,0,0,0,572.356,361.036,0.936324,-141.285,1000,-8.41847,-27.1093,22.4706,1000,434.337
0,0,525.407,269.923,0.976574,545.741,266.918,0.906938,534.084,266.898,0.20681,575.168,290.51,0.986781,0,0,0,572.364,361.037,0.937362,-141.281,1000,-8.40597,-19.216,22.4757,1000,434.33
0,0,525.25,269.904,0.965466,537.089,264.183,0.894887,531.25,266.917,0.155156,572.367,290.506,0.990663,0,0,0,572.234,361.016,0.924832,-143.271,1000,-25.7882,-26.4673,23.6175,1000,437.201
0,0,525.247,269.899,0.966365,537.087,264.178,0.894617,531.254,266.916,0.153604,572.363,290.503,0.988735,0,0,0,572.228,361.018,0.923858,-143.267,1000,-25.7921,-26.4086,23.6197,1000,437.244
0,0,522.42,269.912,0.954218,534.198,264.147,0.887092,528.349,266.899,0.173127,572.297,290.472,0.984169,0,0,0,569.386,361.06,0.909407,-145.357,1000,-26.082,-26.938,22.4019,1000,437.207
0,0,522.423,269.915,0.954221,534.202,264.151,0.886671,528.355,266.911,0.171869,572.3,290.471,0.984212,0,0,0,569.386,361.057,0.90987,-145.361,1000,-26.0723,-26.8574,22.3985,1000,437.195
0,0,522.328,269.899,0.947828,534.077,264.14,0.891931,528.21,264.163,0.190328,572.229,290.48,0.982718,0,0,0,569.274,361.048,0.902653,-145.379,1000,-26.1131,-44.2818,22.413,1000,437.18
0,0,522.33,269.908,0.948061,534.081,264.148,0.89234,528.196,264.163,0.19222,572.24,290.477,0.985222,0,0,0,569.252,361.034,0.901261,-145.395,1000,-26.1125,-44.4016,22.3979,1000,437.182
0,0,519.453,267.184,0.940788,531.235,264.112,0.894864,525.422,264.054,0.238129,572.188,290.496,0.977193,0,0,0,566.354,360.996,0.895035,-147.208,1000,-14.6126,-27.6742,23.8482,1000,437.309
0,0,519.432,269.864,0.941057,531.206,264.127,0.901039,525.412,264.105,0.237114,572.18,290.497,0.977966,0,0,0,566.36,360.995,0.896174,-147.235,1000,-25.9795,-43.9229,21.3628,1000,440.176
0,0,516.542,269.907,0.945366,531.15,264.164,0.908627,525.377,264.163,0.239296,572.131,290.519,0.965555,0,0,0,560.594,360.996,0.897205,-147.255,1000,-21.4631,-33.0289,20.3439,1000,440.224
0,0,516.55,269.914,0.945778,531.155,264.169,0.90969,525.385,264.17,0.24387,572.14,290.517,0.966573,0,0,0,560.605,360.99,0.897495,-147.264,1000,-21.4711,-33.0265,20.3366,1000,440.223
0,0,516.478,269.885,0.941955,528.404,264.157,0.909527,525.272,264.081,0.27335,569.365,290.541,0.958928,0,0,0,560.495,360.997,0.907685,-147.214,1000,-25.6524,-33.4244,21.3339,1000,440.2
0,0,516.466,269.882,0.940121,528.396,264.15,0.909775,525.259,264.075,0.273826,569.364,290.535,0.958799,0,0,0,560.493,360.995,0.90874,-147.217,1000,-25.6606,-33.4392,21.3277,1000,440.181
0,0,516.468,267.195,0.944368,528.416,264.118,0.908336,525.211,264.026,0.290721,572.127,290.501,0.956713,0,0,0,557.57,360.985,0.917295,-148.886,1000,-14.4398,-19.9223,22.7203,1000,443.05
0,0,513.641,269.864,0.94591,528.416,264.129,0.908425,525.213,261.257,0.307908,572.131,290.505,0.958517,0,0,0,557.559,360.981,0.917477,-148.895,1000,-21.2152,-36.642,19.4375,1000,440.262
0,0,513.625,267.16,0.948956,528.397,264.095,0.910969,525.164,261.169,0.341399,569.4,290.495,0.951817,0,0,0,554.719,360.995,0.931878,-147.224,1000,-11.7224,-27.4383,22.7031,1000,440.173
0,0,513.623,267.162,0.94849,528.396,264.098,0.911382,522.457,261.177,0.348202,569.4,290.491,0.952464,0,0,0,554.724,360.997,0.932029,-147.233,1000,-11.7177,-34.1187,22.6969,1000,440.172
0,0,513.597,267.105,0.952386,528.377,264.05,0.915035,522.436,258.302,0.346886,569.323,290.444,0.922092,0,0,0,551.898,361,0.950091,-147.194,1000,-11.6747,-44.8808,22.7252,1000,443.034
0,0,513.598,267.104,0.952164,528.376,264.05,0.915354,522.439,258.309,0.343616,569.323,290.443,0.921931,0,0,0,551.895,360.999,0.949739,-147.195,1000,-11.677,-44.8494,22.7249,1000,443.037
0,0,513.566,267.069,0.945992,528.384,264.03,0.908239,522.405,258.228,0.356349,569.332,290.433,0.921283,0,0,0,551.856,360.967,0.947542,-147.186,1000,-11.5915,-45.0063,22.7318,1000,443.084
0,0,513.557,267.07,0.945463,528.375,264.025,0.90875,522.41,258.235,0.345757,569.332,290.427,0.920952,0,0,0,551.866,360.969,0.948507,-147.193,1000,-11.6114,-44.9422,22.7231,1000,443.071
0,0,513.571,267.081,0.950349,528.407,264.035,0.901883,522.373,258.277,0.369121,569.36,290.457,0.934709,0,0,0,551.849,360.969,0.950319,-147.171,1000,-11.6037,-45.0044,22.7336,1000,440.252
0,0,513.591,267.082,0.949078,528.42,264.031,0.898788,522.391,258.289,0.361277,569.373,290.448,0.93527,0,0,0,551.846,360.961,0.948746,-147.176,1000,-11.6271,-44.9797,22.7274,1000,440.263
0,0,513.599,267.096,0.943407,531.139,264.057,0.90371,522.39,258.297,0.377457,569.364,290.469,0.935074,0,0,0,551.805,360.96,0.957184,-145.356,1000,-9.82885,-45.0268,22.741,1000,440.284
0,0,513.607,267.096,0.943932,531.14,264.059,0.905173,522.399,258.306,0.376325,569.36,290.466,0.932642,0,0,0,551.792,360.958,0.957601,-145.359,1000,-9.82673,-44.9936,22.7418,1000,443.059
0,0,513.647,267.086,0.933951,531.166,264.048,0.896239,522.404,258.261,0.425747,569.4,290.469,0.935328,0,0,0,551.77,360.925,0.955803,-145.355,1000,-9.8376,-45.2219,22.7531,1000,440.31
0,0,513.652,267.087,0.934497,531.174,264.049,0.895805,522.399,258.26,0.432587,569.407,290.474,0.935501,0,0,0,551.774,360.924,0.95375,-145.35,1000,-9.8363,-45.2589,22.7557,1000,440.314
