,Unnamed: 0,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,lear,rear,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,orientation
0,0,-148.778,1000.0,-33.4205,-64.2436,7.374039999999999,1000.0,True,False,2.9363385592279387,0.6342929293948975,1.1246063543580531,-1.0,0.1079405020291153,18.940899685032985,left
1,1,-148.779,1000.0,-33.4216,-64.2407,7.3733,1000.0,True,False,2.9362718648499384,0.6342785224143866,1.1246394896035483,-1.0,0.10796778728097328,18.94008406247711,left
2,2,-146.334,1000.0,-26.4833,-63.5844,11.3401,1000.0,True,False,2.5566001539626635,0.5682060474507846,0.9813331171125672,-1.0,0.10908158758202828,18.990349459868764,left
3,3,-146.334,1000.0,-26.4798,-63.5813,11.3442,1000.0,True,False,2.555339357196604,0.5681445424303792,0.981239420800498,-1.0,0.10914046117889116,18.989867766947178,left
4,4,-146.33,1000.0,-23.35,-72.0349,10.7114,1000.0,True,False,2.5608082082526717,0.7747149094800483,1.2418445954302124,-1.0,0.21494826241573076,18.980969821635465,left
5,5,-146.379,1000.0,-23.3676,-72.0064,10.6687,1000.0,True,False,2.558073138536167,0.7747245757899265,1.2421235086709734,-1.0,0.2144632704621591,18.97320681865792,left
6,6,-146.253,1000.0,-26.5424,-88.9608,11.4088,1000.0,True,False,2.5520324992730536,0.7666359680346575,0.9752738637161243,-1.0,0.19145600002005356,18.30714782970533,left
7,7,-142.24,1000.0,-33.3403,-88.9223,11.448,1000.0,True,False,2.8225149970043573,0.7857131379523916,1.1167693908195593,-1.0,0.19072513806268795,18.316263566241233,left
8,8,-147.39600000000004,1000.0,-31.0317,-63.771,14.1046,1000.0,True,False,3.655867131832698,0.3671275454176243,0.7322991796496983,-1.0,0.108079399980946,17.755946880312074,left
9,9,-147.41899999999995,1000.0,-31.0408,-63.7529,14.0942,1000.0,True,False,3.6564033129501814,0.36591764508259933,0.7313942270326144,-1.0,0.10841642786047294,17.75017987308794,left
10,10,-143.92700000000005,1000.0,-38.4432,-89.3349,14.1858,1000.0,True,False,4.001918208442751,0.5302428625530169,0.8805404211270409,-1.0,0.33907283629569585,18.064580736214925,left
11,11,-143.93200000000004,1000.0,-38.4471,-89.3298,14.1812,1000.0,True,False,4.001542915355924,0.5302409728288561,0.8806684676405403,-1.0,0.3387793058003124,18.0646376583637,left
