frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,1071.27,287.674,0.953004,1071.32,275.919,0.523808,1062.39,275.907,0.908884,0,0,0,1024.34,293.547,0.915781,1044.65,363.968,0.96875,1000,-24.871,-89.7614,-127.035,1000,172.867,396.235
0,0,1077.05,287.615,0.923105,1071.25,273.086,0.353189,1065.31,275.838,0.937627,0,0,0,1032.98,293.534,0.905599,1044.78,363.964,0.973142,1000,-28.6962,-111.776,-134.912,1000,172.35,396.246
0,0,1077.06,287.62,0.923539,1071.28,275.842,0.344676,1065.31,275.84,0.937874,0,0,0,1032.98,293.534,0.906025,1044.78,363.964,0.972811,1000,-28.691,-116.138,-134.907,1000,172.358,396.25
0,0,1085.8,287.585,0.924279,1085.78,281.753,0.303722,1068.22,273.014,0.937007,0,0,0,1038.82,293.505,0.905512,1044.94,363.964,0.966655,1000,-34.8754,-90.2722,-140.354,1000,172.818,396.235
0,0,1085.8,287.582,0.922965,1085.77,281.749,0.304578,1068.22,273.013,0.935928,0,0,0,1038.82,293.505,0.905233,1044.94,363.962,0.967074,1000,-34.8789,-90.325,-140.359,1000,172.814,396.24
0,0,1088.74,287.552,0.947101,1088.71,278.817,0.406889,1068.44,273.013,0.918971,0,0,0,1041.81,293.532,0.899113,1047.81,363.941,0.942238,1000,-37.6129,-90.2298,-144.392,1000,172.739,396.28
0,0,1088.74,287.55,0.947002,1088.7,278.819,0.399356,1068.44,273.013,0.918788,0,0,0,1041.81,293.534,0.900177,1047.81,363.939,0.942055,1000,-37.6196,-90.2619,-144.395,1000,172.733,396.272
0,0,1088.92,290.373,0.985767,1088.91,281.697,0.463259,1074.14,275.889,0.893329,0,0,0,1041.97,293.486,0.933144,1053.55,363.928,0.909235,1000,-28.6818,-90.0984,-135.589,1000,176.206,396.28
0,0,1088.92,287.664,0.982681,1088.9,278.869,0.449484,1074.13,275.874,0.892616,0,0,0,1041.97,293.479,0.931211,1053.55,363.925,0.908315,1000,-28.6944,-90.1129,-141.431,1000,172.939,396.296
0,0,1091.77,290.377,0.97005,1091.75,281.693,0.296436,1080.03,275.913,0.879445,0,0,0,1044.9,293.45,0.94399,1059.41,363.956,0.89979,1000,-26.526,-90.12,-129.072,1000,176.249,396.257
