frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,575.227,275.845,0.917442,575.245,269.952,0.441226,563.47,267.053,0.903464,0,0,0,522.411,275.888,0.859545,528.239,363.798,0.952967,1000,-12.1437,-89.8261,-143.213,1000,179.953,446.135
0,0,575.225,275.846,0.917175,575.242,269.95,0.443162,563.467,267.056,0.903683,0,0,0,522.411,275.89,0.859642,528.238,363.798,0.953719,1000,-12.1434,-89.8387,-143.218,1000,179.952,446.132
0,0,575.081,275.916,0.917878,572.428,269.943,0.52195,557.606,267.105,0.921045,0,0,0,519.416,278.772,0.826278,525.447,363.812,0.961819,1000,-16.9877,-113.951,-153.242,1000,177.063,443.369
0,0,572.422,275.922,0.916734,572.422,269.946,0.529524,557.599,267.118,0.921602,0,0,0,519.403,278.774,0.825988,525.437,363.809,0.961777,1000,-16.9708,-90.0035,-149.292,1000,176.921,446.077
0,0,572.284,275.936,0.930242,572.247,269.978,0.463621,554.661,267.121,0.952384,0,0,0,513.575,278.804,0.821361,525.338,363.806,0.957049,1000,-15.8743,-90.3586,-153.426,1000,177.203,443.343
0,0,572.286,275.935,0.930152,572.256,269.979,0.474173,554.659,267.123,0.951688,0,0,0,513.573,278.808,0.820524,525.339,363.814,0.957998,1000,-15.8757,-90.2959,-153.439,1000,177.199,443.304
0,0,572.147,278.765,0.906292,569.406,269.976,0.445792,551.823,267.145,0.975913,0,0,0,507.83,278.779,0.842528,525.192,363.823,0.934542,1000,-14.8124,-107.327,-150.243,1000,179.988,446.064
0,0,572.14,278.764,0.905085,569.394,269.969,0.431259,551.817,267.139,0.978004,0,0,0,507.826,278.762,0.844142,525.179,363.824,0.932362,1000,-14.8013,-107.342,-150.229,1000,-179.999,446.068
0,0,569.378,278.767,0.88788,569.339,269.952,0.448235,551.744,267.123,0.982933,0,0,0,507.685,275.889,0.876859,522.385,363.809,0.912981,1000,-11.2526,-90.2547,-146.564,1000,-177.33,443.36
0,0,569.378,278.756,0.886657,569.332,269.942,0.451902,551.74,267.123,0.98185,0,0,0,507.686,275.901,0.875508,522.388,363.806,0.914,1000,-11.2687,-90.2976,-146.594,1000,-177.351,446.077
0,0,569.257,278.778,0.874457,566.463,269.962,0.495148,551.613,267.125,0.977748,0,0,0,504.861,275.953,0.887683,522.295,363.853,0.905381,1000,-10.6937,-107.587,-146.559,1000,-177.489,446.118
0,0,569.261,278.782,0.875041,566.464,269.964,0.488395,551.618,267.127,0.978647,0,0,0,504.863,275.95,0.887258,522.296,363.853,0.905718,1000,-10.6866,-107.597,-146.552,1000,-177.482,446.127
0,0,566.421,275.94,0.864438,566.416,269.955,0.507028,548.887,267.098,0.965863,0,0,0,504.795,278.797,0.886858,519.484,363.885,0.900992,1000,-14.8604,-90.0438,-153.238,1000,177.345,446.015
0,0,566.428,275.94,0.864095,566.412,269.96,0.48346,548.9,267.096,0.968326,0,0,0,504.799,278.787,0.885932,519.477,363.887,0.899576,1000,-14.8471,-90.1544,-153.227,1000,177.355,443.297
0,0,560.577,275.863,0.852056,563.52,269.957,0.546349,548.717,267.045,0.937266,0,0,0,504.705,278.776,0.890953,519.4,363.894,0.896976,1000,-14.9246,-63.5153,-143.37,1000,177.015,443.236
0,0,560.563,275.852,0.853176,563.514,269.948,0.573253,548.703,267.047,0.93631,0,0,0,504.71,278.822,0.890262,519.411,363.888,0.900209,1000,-14.9835,-63.4443,-143.412,1000,176.956,443.251
0,0,557.593,273,0.875561,560.552,267.167,0.634516,545.879,267.032,0.925429,0,0,0,501.954,281.698,0.884719,516.519,363.9,0.89351,1000,-18.4644,-63.1033,-153,1000,171.114,443.28
0,0,557.595,273,0.874716,560.552,267.166,0.634509,545.88,267.033,0.925353,0,0,0,501.952,281.705,0.884695,516.519,363.897,0.893894,1000,-18.4698,-63.1219,-153.006,1000,171.109,443.27
