frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,1021.29,287.516,0.950108,1021.23,272.975,0.474238,1009.55,272.932,0.899187,0,0,0,974.331,290.611,0.950763,988.99,363.836,0.918814,1000,-26.6539,-90.229,-128.826,1000,176.23,399.174
0,0,1021.29,287.516,0.950067,1021.23,272.975,0.473549,1009.55,272.932,0.899068,0,0,0,974.331,290.612,0.95068,988.992,363.838,0.91952,1000,-26.6543,-90.2304,-128.828,1000,176.228,399.173
0,0,1021.33,287.515,0.948761,1021.24,272.99,0.351597,1012.45,272.939,0.897261,0,0,0,974.459,290.611,0.938949,988.993,363.856,0.919361,1000,-24.9461,-90.3541,-121.344,1000,176.221,399.082
0,0,1021.33,287.511,0.946412,1021.23,272.988,0.357137,1012.45,272.929,0.896654,0,0,0,974.44,290.583,0.939865,988.99,363.871,0.918991,1000,-24.9128,-90.3715,-121.324,1000,176.251,399.087
0,0,1021.38,287.586,0.946512,1021.29,273.031,0.334862,1012.56,272.973,0.902413,0,0,0,974.513,290.544,0.924541,989.048,363.87,0.912399,1000,-24.7915,-90.3517,-121.122,1000,176.389,396.347
0,0,1021.39,287.594,0.946649,1021.31,273.03,0.334393,1015.33,272.977,0.905762,0,0,0,977.226,290.533,0.9222,989.063,363.868,0.913941,1000,-24.7388,-90.3201,-112.518,1000,176.192,399.064
0,0,1021.43,287.553,0.932112,1021.31,272.982,0.322279,1015.37,272.953,0.906902,0,0,0,977.262,290.559,0.925996,991.874,363.871,0.919919,1000,-24.7967,-90.4642,-112.547,1000,176.107,399.104
0,0,1021.43,287.549,0.931705,1021.31,272.979,0.316797,1015.36,272.954,0.906837,0,0,0,977.263,290.566,0.926316,991.873,363.868,0.919359,1000,-24.8093,-90.4803,-112.563,1000,176.092,399.109
0,0,1024.24,287.597,0.934147,1021.43,272.981,0.327371,1015.46,272.972,0.917769,0,0,0,977.314,290.59,0.930665,991.918,363.849,0.925082,1000,-24.7907,-100.883,-120.977,1000,176.35,396.376
0,0,1024.23,287.609,0.936925,1021.43,272.996,0.320179,1015.46,272.985,0.917083,0,0,0,977.317,290.598,0.931177,991.918,363.846,0.923528,1000,-24.7878,-100.876,-120.973,1000,176.355,396.377
0,0,1024.3,287.563,0.922495,1021.35,270.22,0.245973,1018.24,272.978,0.927906,0,0,0,980.252,290.598,0.920226,991.97,363.848,0.930726,1000,-24.882,-99.677,-112.565,1000,176.058,396.337
0,0,1024.31,287.565,0.921656,1021.34,270.216,0.24358,1018.25,272.981,0.928992,0,0,0,980.258,290.606,0.919728,991.97,363.847,0.931092,1000,-24.8891,-99.6975,-112.565,1000,176.05,396.33
0,0,1027.14,287.646,0.919494,1021.34,270.236,0.154086,1018.35,273.02,0.935836,0,0,0,986.052,290.586,0.916049,994.721,363.864,0.93247,1000,-28.5406,-108.419,-120.999,1000,175.908,396.32
0,0,1027.15,290.374,0.919629,1021.33,270.243,0.142155,1018.36,273.041,0.934965,0,0,0,986.062,290.588,0.917128,994.724,363.876,0.932002,1000,-28.5156,-106.124,-116.901,1000,179.702,396.316
