frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
131239,0,1000,-16.8876,1000,-161.373,1000,176.322,-1,-1,-1,7.23186,2.62135,-0.567373,971.508,0,1
351521,0,1000,-16.8913,1000,-161.372,1000,176.319,-1,-1,-1,7.23207,2.62128,-0.567393,971.512,0,1
493079,0,1000,-18.4295,1000,-161.301,1000,176.145,-1,-1,-1,6.19561,2.66702,-0.577384,971.522,0,1
673094,0,1000,-18.4267,1000,-161.299,1000,176.149,-1,-1,-1,6.19588,2.66762,-0.577337,971.529,0,1
771217,0,1000,-18.4884,1000,-161.399,1000,176.071,-1,-1,-1,6.18617,2.6624,-0.577491,971.491,0,1
839860,0,1000,-18.4827,1000,-161.398,1000,176.074,-1,-1,-1,6.18749,2.66295,-0.577482,971.501,0,1
925734,0,1000,-18.4922,-134.764,-161.448,1000,176.065,-1,1.73964,0.132137,6.17984,2.66868,-0.577517,971.542,0,1
1011505,0,1000,-18.4837,-134.832,-161.442,1000,176.072,-1,1.74005,0.131764,6.18064,2.66863,-0.577525,971.54,0,1
1204986,0,1000,-18.5363,-135.058,-161.474,1000,176.037,-1,1.74829,0.135444,6.22817,2.69502,-0.583194,974.209,0,1
1364904,0,1000,-16.9558,-135.424,-161.49,1000,176.253,-1,1.69616,0.133045,7.21287,2.6248,-0.567601,971.546,0,1
1481118,0,1000,-16.8679,-134.93,-161.425,1000,176.327,-1,1.72104,0.13231,7.28594,2.64827,-0.572751,974.229,0,1
1612814,0,1000,-16.8699,-134.519,-161.427,1000,176.325,-1,1.72154,0.13333,7.28511,2.6479,-0.572737,974.22,0,1
1686064,0,1000,-18.4415,-134.641,-161.415,1000,176.108,-1,1.75266,0.134616,6.23697,2.69317,-0.582868,974.211,0,1
1866593,0,1000,-18.4419,-134.691,-161.426,1000,176.104,-1,1.75116,0.135046,6.23679,2.69338,-0.582832,974.214,0,1
1943458,0,1000,-18.4326,-134.01,-161.404,1000,176.112,-1,1.73912,0.134341,6.18664,2.66784,-0.577189,971.546,0,1
2097039,0,1000,-18.4288,-133.981,-161.393,1000,176.116,-1,1.73543,0.135363,6.18753,2.66679,-0.577244,971.549,0,1
2232276,0,1000,-16.7944,-117.194,-158.172,1000,176.118,-1,1.10311,0.347851,7.61804,2.02138,-0.592972,974.219,0,1
2360745,0,1000,-18.4458,-117.399,-161.369,1000,176.101,-1,1.65547,0.337286,6.25791,2.68897,-0.582696,974.23,0,1
2487310,0,1000,-16.7291,-134.536,-158.13,1000,176.173,-1,1.16947,0.146223,7.61432,2.01914,-0.593083,974.245,0,1
2647137,0,1000,-16.7424,-134.588,-158.149,1000,176.157,-1,1.17385,0.144371,7.61673,2.01934,-0.593077,974.25,0,1
2791516,0,1000,-16.7337,-134.628,-158.093,1000,176.171,-1,1.18469,0.140128,7.64037,2.02083,-0.592771,974.261,0,1
2908635,0,1000,-16.7243,-134.579,-158.103,1000,176.178,-1,1.19145,0.138039,7.63853,2.0223,-0.59279,974.268,0,1
3018107,0,1000,-16.6983,-134.177,-158.158,1000,176.189,-1,1.19585,0.137832,7.62275,2.02293,-0.592886,974.281,0,1
3126285,0,1000,-16.703,-134.187,-158.162,1000,176.183,-1,1.19522,0.137928,7.62242,2.02249,-0.592905,974.278,0,1
3217381,0,1000,-16.728,-134.043,-158.178,1000,176.16,-1,1.19394,0.138926,7.6245,2.02248,-0.593054,974.291,0,1
3347881,0,1000,-16.7307,-134.071,-158.182,1000,176.159,-1,1.19392,0.139032,7.62236,2.02303,-0.593052,974.293,0,1
3487842,0,1000,-16.6923,-134.217,-158.189,1000,176.188,-1,1.19524,0.138176,7.61475,2.02336,-0.593099,974.313,0,1
3550016,0,1000,-16.6611,-134.365,-158.156,1000,176.216,-1,1.19603,0.137078,7.61739,2.02255,-0.593062,974.309,0,1
3678571,0,1000,-16.6894,-93.4162,-158.165,1000,176.175,-1,1.76329,0.0710832,7.62332,2.01511,-0.593414,974.326,0,1
3766320,0,1000,-16.7119,-93.3607,-158.184,1000,176.154,-1,1.76347,0.0716326,7.62243,2.01509,-0.593435,974.327,0,1
3889744,0,1000,-16.7486,-93.0762,-158.198,1000,176.121,-1,1.76558,0.0712246,7.62025,2.01293,-0.593484,974.352,0,1
3954863,0,1000,-16.7498,-93.1587,-158.199,1000,176.12,-1,1.76484,0.0711232,7.62093,2.01306,-0.593476,974.352,0,1
4087645,0,1000,-16.8225,-93.7839,-158.311,1000,176.039,-1,1.75636,0.0741861,7.61962,2.01473,-0.593476,974.378,0,1
4136958,0,1000,-16.8266,-93.8274,-158.313,1000,176.035,-1,1.75561,0.0746964,7.62136,2.01514,-0.593382,974.373,0,1
4269108,0,1000,-10.5712,-93.2953,-153.389,1000,179.825,-1,1.17436,0.0757261,8.89589,1.42636,-0.604301,974.375,0,1
4369157,0,1000,-9.7193,-93.6781,-146.559,1000,179.843,-1,0.707216,0.0784989,10.6534,0.960051,-0.614828,974.378,0,1
4560220,0,1000,-9.74862,-93.4154,-146.639,1000,179.813,-1,0.711426,0.0781476,10.6433,0.961496,-0.614803,974.377,0,1
4632080,0,1000,-9.68886,-91.7339,-146.489,1000,179.874,-1,0.640317,0.286141,10.659,0.958663,-0.614807,974.385,0,1
