frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
133488,0,1000,-12.2573,-63.7171,-153.544,1000,179.842,-1,3.34252,0.329986,13.7894,3.01857,-0.68712,598.86,0,1
208059,0,1000,-8.53293,-63.7234,-161.187,1000,179.839,-1,3.28403,0.330877,13.4986,2.70727,-0.688791,598.86,0,1
218264,0,1000,-12.2537,-88.7572,-156.684,1000,179.834,-1,3.29863,0.264736,13.7092,3.78638,-0.681042,598.834,0,1
272129,0,1000,-12.2436,-88.7372,-156.689,1000,179.838,-1,3.29959,0.264868,13.713,3.78661,-0.681032,598.844,0,1
361226,0,1000,-8.44849,-87.8688,-163.557,1000,179.89,-1,3.29428,0.0768289,13.4022,3.47283,-0.68083,598.774,0,1
404096,0,1000,-12.1028,-87.9569,-163.557,1000,177.364,-1,3.29153,0.0764492,13.7107,3.4713,-0.680905,598.786,0,1
431613,0,1000,-8.42941,-88.451,-163.561,1000,179.905,-1,3.28646,0.0771267,13.3959,3.4754,-0.680887,598.755,0,1
447086,0,1000,-8.4286,-88.3521,-163.551,1000,179.908,-1,3.28783,0.0769965,13.3973,3.47512,-0.680849,598.759,0,1
463628,0,1000,-8.37475,-88.49,-163.572,1000,179.937,-1,3.28704,0.0773864,13.4035,3.47671,-0.680675,598.714,0,1
479556,0,1000,-8.37522,-88.4749,-163.574,1000,179.937,-1,3.2873,0.0773111,13.4008,3.47662,-0.680671,598.712,0,1
495434,0,1000,-12.0392,-88.3563,-163.528,1000,177.416,-1,3.28818,0.0770091,13.7276,3.47598,-0.680472,598.698,0,1
536464,0,1000,-12.0533,-88.3471,-163.53,1000,177.408,-1,3.28863,0.0771862,13.7206,3.47638,-0.680505,598.71,0,1
573240,0,1000,-12.0405,-88.4198,-163.525,1000,177.417,-1,3.28485,0.0766037,13.716,3.47343,-0.680526,598.695,0,1
591490,0,1000,-12.0349,-88.4364,-163.531,1000,177.42,-1,3.28498,0.0769283,13.7119,3.474,-0.680531,598.698,0,1
610724,0,1000,-12.0163,-88.4999,-163.566,1000,177.424,-1,3.2876,0.0776351,13.7156,3.47778,-0.680362,598.677,0,1
638893,0,1000,-12.0153,-88.4143,-163.557,1000,177.429,-1,3.2892,0.0773619,13.7131,3.47785,-0.680328,598.679,0,1
671599,0,1000,-12.003,-88.9183,-163.579,1000,177.429,-1,3.28167,0.0774593,13.7198,3.47886,-0.680487,598.684,0,1
696560,0,1000,-12.0031,-88.6661,-163.549,1000,177.439,-1,3.28487,0.0768098,13.7145,3.47763,-0.68038,598.674,0,1
716524,0,1000,-11.9972,-88.5342,-163.571,1000,177.436,-1,3.28715,0.076839,13.711,3.47724,-0.680274,598.681,0,1
751529,0,1000,-11.9934,-88.5182,-163.566,1000,177.44,-1,3.28712,0.0767875,13.7095,3.47697,-0.680269,598.68,0,1
767110,0,1000,-12.9007,-88.751,-163.556,1000,177.288,-1,3.28304,0.0764431,11.9648,3.47685,-0.680452,598.673,0,1
792125,0,1000,-12.9164,-88.635,-163.554,1000,177.28,-1,3.28506,0.0761716,11.9586,3.47668,-0.680421,598.674,0,1
803938,0,1000,-9.05801,-88.8042,-163.473,1000,179.925,-1,3.28247,0.0740073,11.6412,3.47669,-0.680584,598.68,0,1
826415,0,1000,-9.08204,-88.724,-163.497,1000,179.902,-1,3.28367,0.0747995,11.6389,3.47674,-0.680552,598.685,0,1
869986,0,1000,-9.06711,-88.8365,-163.389,1000,179.941,-1,3.28063,0.0723654,11.6657,3.47541,-0.680514,598.674,0,1
895750,0,1000,-9.06239,-88.7317,-163.375,1000,179.947,-1,3.28078,0.0717638,11.6647,3.47346,-0.680505,598.674,0,1
907770,0,1000,-8.46831,-89.659,-161.022,1000,179.941,-1,2.55309,0.0736711,13.7693,2.76805,-0.702618,598.675,0,1
929319,0,1000,-8.45734,-89.7335,-161.025,1000,179.948,-1,2.55159,0.0740958,13.7665,2.76801,-0.702652,598.676,0,1
950703,0,1000,-8.41995,-89.1813,-161.031,1000,179.976,-1,2.55685,0.0754282,13.743,2.76599,-0.702655,598.73,0,1
1008924,0,1000,-8.4296,-89.0668,-161,1000,179.977,-1,2.55828,0.0747604,13.7456,2.76555,-0.702632,598.737,0,1
1035459,0,1000,-9.07682,-90.0265,-161.035,1000,179.933,-1,2.54197,0.0738898,11.9747,2.76211,-0.703007,598.749,0,1
1055974,0,1000,-9.07481,-90.0161,-161.03,1000,179.936,-1,2.54218,0.0738832,11.9764,2.76224,-0.702995,598.749,0,1
