,Unnamed: 0,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,lear,rear,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,orientation
0,0,1000.0,-24.871,-89.7614,-127.035,1000.0,172.86700000000005,False,True,-1.0,0.2012569409567481,0.3487388166113541,4.439214355117582,0.548454046209949,16.478601930672433,right
1,1,1000.0,-28.6962,-111.776,-134.912,1000.0,172.35,False,True,-1.0,0.10815782115150786,0.6176260227232563,3.4281161601631216,0.6978627645452604,17.339033582673384,right
2,2,1000.0,-28.691,-116.138,-134.907,1000.0,172.358,False,True,-1.0,0.08994549905362859,0.43439667886435374,3.427902929968444,0.6986268769716106,17.33856084794952,right
3,3,1000.0,-34.8754,-90.2722,-140.35399999999998,1000.0,172.81799999999996,False,True,-1.0,0.9709483538808982,0.08583952452458747,3.2411096470528973,1.315811175186434,18.936467603820947,right
4,4,1000.0,-34.8789,-90.325,-140.359,1000.0,172.81400000000005,False,True,-1.0,0.9699177165354308,0.08586914243892503,3.2411721784777057,1.3156474888956136,18.936614173228325,right
5,5,1000.0,-37.6129,-90.2298,-144.392,1000.0,172.739,False,True,-1.0,1.1218313212879774,0.19254346674068906,2.8519891516099887,1.5733131144645187,18.952619917734925,right
6,6,1000.0,-37.6196,-90.2619,-144.395,1000.0,172.733,False,True,-1.0,1.1208897827754676,0.19237281715589266,2.8522538584608723,1.5731981290628638,18.953002536136815,right
7,7,1000.0,-28.6818,-90.0984,-135.589,1000.0,176.206,False,True,-1.0,0.6356257292823242,0.1899492177248405,3.3929628267891494,1.0806365600080716,16.809768156354142,right
8,8,1000.0,-28.6944,-90.1129,-141.431,1000.0,172.93900000000005,False,True,-1.0,0.5731143513939063,0.19518850808486407,3.3919131785332324,0.902729777741885,17.83206749752713,right
9,9,1000.0,-26.526,-90.12,-129.072,1000.0,176.24900000000005,False,True,-1.0,0.4309496109847911,0.19031147967102274,3.8905641263119417,0.8757823735605939,16.305172756569572,right
10,10,1000.0,-26.5087,-90.0991,-129.067,1000.0,176.26,False,True,-1.0,0.4315448997670538,0.1902374749827757,3.8898852829312296,0.8756296794514271,16.300317719388097,right
11,11,1000.0,-24.7299,-90.1689,-121.408,1000.0,176.27700000000004,False,True,-1.0,0.21744466093910128,0.3369885944898157,4.431540289037171,0.7261999358929105,16.287372669177124,right
12,12,1000.0,-24.744,-90.2076,-121.448,1000.0,176.263,False,True,-1.0,0.21738241069310096,0.3371602602607652,4.432446784345983,0.7265623368953514,16.291354327668095,right
13,13,1000.0,-24.8345,-90.2654,-113.029,1000.0,175.956,False,True,-1.0,0.1149711062475202,0.3379286668130788,4.4212321597613,0.6230795322877414,15.87003445995239,right
14,14,1000.0,-21.2372,-103.588,-127.349,1000.0,176.222,False,True,-1.0,0.09394877594397688,0.35864764655098763,4.195627550221885,0.5437416380994642,16.294994915964473,right
15,15,1000.0,-22.842,-63.7092,-135.189,1000.0,176.196,False,True,-1.0,0.6284220135536476,0.10369903498495384,3.681218060072322,0.6952958773506754,16.786213214797893,right
16,16,1000.0,-22.8451,-45.8748,-135.19799999999998,1000.0,176.19099999999997,False,True,-1.0,0.7351997823650079,0.04349301901655275,3.6812567007342114,0.6957372221492811,16.786396653672508,right
17,17,1000.0,-24.6467,-89.4482,-141.304,1000.0,176.165,False,True,-1.0,0.7377524882170654,0.02180851729479358,3.2142373986717514,0.8876920689909643,16.92401946570417,right
18,18,1000.0,-24.6585,-89.4558,-141.312,1000.0,176.149,False,True,-1.0,0.7381214767149176,0.02164404456087657,3.2164965689142,0.8875348678688721,16.926281987435456,right
19,19,1000.0,-28.5992,-89.4741,-141.39,1000.0,172.77,False,True,-1.0,0.7432505849699341,0.02194278186836769,3.468382571612357,0.8946702537987936,17.060825444461823,right
20,20,1000.0,-28.598000000000006,-89.3,-141.407,1000.0,172.763,False,True,-1.0,0.7440348162822917,0.022124405739752908,3.468653354382845,0.8951798606323683,17.061664630911558,right
21,21,1000.0,-26.6224,-90.2987,-135.35299999999998,1000.0,172.72400000000005,False,True,-1.0,0.4463274356994102,0.08702683059384503,4.01519690244203,0.7107376983105409,17.85776526740883,right
22,22,1000.0,-26.6171,-90.1744,-135.326,1000.0,172.734,False,True,-1.0,0.4474999453904332,0.08675789758365696,4.017343124915504,0.7113058473844625,17.859252486035547,right
23,23,1000.0,-24.9022,-89.90899999999998,-127.692,1000.0,172.69799999999995,False,True,-1.0,0.2272822325165147,0.19169134330331455,4.455375412520281,0.5473393293907707,17.03576083231211,right
24,24,1000.0,-24.9105,-90.0257,-127.662,1000.0,172.68900000000005,False,True,-1.0,0.2252588178466931,0.19207058344985412,4.4532165476039225,0.5466563213423179,17.038863190542788,right
25,25,1000.0,-30.1591,-90.029,-127.55,1000.0,168.61700000000005,False,True,-1.0,0.22079595207131672,0.1899932475600071,4.1849029683968775,0.5377872223835624,16.94545886036791,right
26,26,1000.0,-26.6784,-89.9444,-127.592,1000.0,172.112,False,True,-1.0,0.223597674057918,0.19147523410703693,3.9434970595190015,0.5423281388649502,17.0630416777904,right
27,27,1000.0,-26.5829,-89.8061,-127.62,1000.0,172.235,False,True,-1.0,0.2895097421261657,0.08577560296893251,3.9430766321240927,0.5454502083237875,16.70117719477636,right
28,28,1000.0,-26.5393,-89.7729,-127.578,1000.0,172.255,False,True,-1.0,0.2884762593990622,0.0861644163164801,3.9446508607971023,0.5441481084848482,16.696893489077222,right
29,29,1000.0,-28.5747,-89.8553,-141.433,1000.0,172.78900000000004,False,True,-1.0,0.6306972929798664,0.0855412793862538,3.4349652299771503,0.8880224380987355,17.072859869354858,right
30,30,1000.0,-18.7895,-89.1296,-143.015,1000.0,176.19299999999996,False,True,-1.0,0.439358926677128,0.02309803687130621,3.5068702661175366,0.5493695474653818,17.049354932751978,right
31,31,1000.0,-24.7013,-89.8068,-141.703,1000.0,176.213,False,True,-1.0,0.6438045578336956,0.08637095843176272,3.180279247413252,0.9018546167010354,17.477001563862814,right
32,32,1000.0,-24.716,-89.8607,-141.71,1000.0,176.2,False,True,-1.0,0.6429828918561024,0.08630960959968162,3.1790479246712615,0.9016034790966856,17.47673491785395,right
33,33,1000.0,-33.4863,-115.263,-144.423,1000.0,176.18,False,True,-1.0,0.9779768928395408,0.10366726756810524,2.6015990826294355,1.5811103056715488,19.064538848405064,right
34,34,1000.0,-33.4956,-115.282,-144.425,1000.0,176.176,False,True,-1.0,0.9780237962659424,0.10374735886619994,2.600518440262687,1.5820720727592823,19.06614038754432,right
35,35,1000.0,-28.5107,-88.7961,-140.141,1000.0,176.472,False,True,-1.0,1.1083325992524544,0.022005508132134945,3.433211458228122,1.2967113572077908,17.328833672593188,right
36,36,1000.0,-22.8605,-88.9685,-141.509,1000.0,176.486,False,True,-1.0,0.7481029243901344,0.021778110005556413,3.655871508662046,0.8956838325167966,17.323497421586946,right
37,37,1000.0,-21.1988,-89.8285,-127.205,1000.0,176.19799999999995,False,True,-1.0,0.22301840245908036,0.1918236333542655,4.250263924518922,0.5449753481288596,17.002146942542513,right
38,38,1000.0,-21.2014,-89.8067,-127.196,1000.0,176.199,False,True,-1.0,0.22309884764621368,0.1917523710721555,4.2487790567582815,0.5451424804593114,17.0029440477825,right
39,39,1000.0,-24.6246,-89.4286,-141.435,1000.0,176.165,False,True,-1.0,0.5531074353062008,0.3422391693974608,3.2133420718794463,0.8900634417431764,17.00032413633556,right
40,40,1000.0,-24.6244,-89.4408,-141.437,1000.0,176.155,False,True,-1.0,0.5516155389121098,0.3418248599204758,3.2134582329133377,0.8889160844849917,17.001637331319838,right
41,41,1000.0,-29.168000000000006,-89.6743,-150.069,1000.0,176.115,False,True,-1.0,1.0749429461266529,0.19416932601123632,2.368134584191401,1.3948913024686591,17.032385772760794,right
42,42,1000.0,-29.1895,-89.6798,-150.07399999999996,1000.0,176.102,False,True,-1.0,1.0739561982924681,0.1940396727330044,2.36753285890806,1.3948150249924964,17.036728550435008,right
43,43,1000.0,-32.4528,-78.4725,-135.067,1000.0,168.571,False,True,-1.0,0.5679390062844525,0.5599604959425656,3.7452046741849534,0.6947696744900289,17.361440239276757,right
44,44,1000.0,-32.4907,-78.4687,-135.12,1000.0,168.52599999999995,False,True,-1.0,0.5692048216968617,0.5612252387840726,3.7416755078848976,0.6943055902294909,17.361687082906432,right
45,45,1000.0,-26.7581,-72.4007,-135.222,1000.0,168.662,False,True,-1.0,0.3522414604998845,0.22026824989193647,3.9404347326400377,0.4042625645198223,17.375486345953366,right
46,46,1000.0,-26.7208,-89.2293,-142.623,1000.0,169.34900000000005,False,True,-1.0,0.3522631989808492,0.19986987278427776,3.944388355044506,0.5465732132459011,17.709138213284035,right
47,47,1000.0,-31.0199,-89.6532,-146.451,1000.0,172.58599999999996,False,True,-1.0,0.7805687137625862,0.3419004297629929,2.989615626589359,1.1149933272301915,16.300837272403648,right
48,48,1000.0,-31.0372,-89.70100000000002,-146.451,1000.0,172.57299999999995,False,True,-1.0,0.7796566976307744,0.3422414717317947,2.990999463447,1.1150210043966866,16.304663728763558,right
49,49,1000.0,-37.7306,-89.6588,-140.685,1000.0,172.138,False,True,-1.0,0.816531500968914,0.3410874687838523,2.8639408508084467,1.319428585597077,16.308815398778304,right
50,50,1000.0,-37.7249,-89.6551,-140.683,1000.0,172.142,False,True,-1.0,0.8165314649571443,0.3408925789643645,2.8637140524911846,1.3193581260632536,16.305608271646072,right
51,51,1000.0,-33.7818,-89.6953,-150.227,1000.0,172.57299999999995,False,True,-1.0,1.057308284654175,0.3403820269009041,2.5877506338674543,1.3950572324468975,17.759659723158244,right
52,52,1000.0,-33.8255,-89.7125,-150.236,1000.0,172.53900000000004,False,True,-1.0,1.0498357410339338,0.337216299135651,2.5695078846828725,1.3849588178404744,16.549452784069537,right
53,53,1000.0,-33.5968,-72.5039,-146.614,1000.0,172.229,False,True,-1.0,1.0747933379103445,0.2106695145828545,2.5814930226053483,1.1310583975385875,17.75818052737309,right
54,54,1000.0,-29.1801,-65.123,-153.465,1000.0,172.218,False,True,-1.0,1.0725959458806644,0.10648619427938008,2.3508090541320565,0.9850355116850924,17.756839671073188,right
55,55,1000.0,-21.9369,-89.2483,-161.161,1000.0,172.90599999999995,False,True,-1.0,0.8093612076289532,0.02427549130830706,2.5532181826044065,0.8756751234947939,19.08685541316702,right
56,56,1000.0,-21.9527,-89.1095,-161.148,1000.0,172.89700000000005,False,True,-1.0,0.8103729827479657,0.024102957746121124,2.552533783010441,0.8756536875812367,19.0889069234506,right
57,57,1000.0,-26.4302,-88.4044,-161.165,1000.0,169.5,False,True,-1.0,0.8080603975946493,0.02475435117359385,2.7727377176867987,0.8699941326733278,20.42136486829261,right
58,58,1000.0,-26.4226,-88.4926,-161.162,1000.0,169.507,False,True,-1.0,0.8081995669609081,0.024692731861683827,2.7715342139315564,0.8700959629995042,20.424721550741168,right
59,59,1000.0,-24.2933,-89.5622,-157.846,1000.0,169.549,False,True,-1.0,0.5676375385955705,0.02460943461494186,3.226949175560194,0.6358847987905687,20.40863508641562,right
60,60,1000.0,-24.3699,-89.9299,-157.911,1000.0,169.487,False,True,-1.0,0.5674557294735422,0.024476190598180347,3.2245289944921427,0.6368775227359978,20.41229395414373,right
61,61,1000.0,-18.6182,-90.2367,-165.06099999999995,1000.0,169.5,False,True,-1.0,0.3549662183457057,0.02511911210415373,3.5215230442436067,0.3808649989366288,19.944601576852964,right
62,62,1000.0,-20.0819,-90.2236,-165.032,1000.0,168.877,False,True,-1.0,0.3543720910567699,0.02507234626994153,3.0342068072218105,0.3809543563042324,19.94511010551888,right
63,63,1000.0,-20.0141,-90.6209,-153.692,1000.0,172.285,False,True,-1.0,0.3501229116547627,0.08456789411791853,3.0376729435515792,0.4401981958439405,18.81765230412919,right
64,64,1000.0,-20.0176,-90.6504,-153.692,1000.0,172.283,False,True,-1.0,0.35011890286861685,0.08447830665057653,3.0378074281307614,0.4402212017103671,18.81884075915838,right
65,65,1000.0,-26.5039,-116.936,-153.868,1000.0,165.923,False,True,-1.0,0.19930272107972336,0.10740841815624252,3.955025115096988,0.4389501105494603,19.29299248058655,right
66,66,1000.0,-22.8898,-116.981,-165.359,1000.0,165.915,False,True,-1.0,0.2196013795630629,0.10836827830736108,3.757875328375243,0.3812372817498133,20.606948551536195,right
67,67,1000.0,-22.7353,-134.028,-165.202,1000.0,166.05,False,True,-1.0,0.19898498767471964,0.04683238645896209,3.7687013719138616,0.38056760837860615,20.639602351483536,right
68,68,1000.0,-18.7079,-133.95600000000002,-165.185,1000.0,169.35,False,True,-1.0,0.1994462186565928,0.04666559284670356,3.5779126927584333,0.3806444365284574,20.643325199663387,right
69,69,1000.0,-17.3245,-133.451,-160.752,1000.0,169.418,False,True,-1.0,0.0932495637358628,0.04560587536785767,4.1122075739584085,0.2293800299447569,20.159393848417565,right
70,70,1000.0,-17.2962,-133.364,-160.74,1000.0,169.445,False,True,-1.0,0.09323626020498643,0.045678476020371714,4.1120537099317875,0.22939677570057135,20.15553030588514,right
71,71,1000.0,-13.3096,-133.214,-160.56799999999996,1000.0,172.851,False,True,-1.0,0.09393936060948434,0.0451186187708842,3.989313189541968,0.2295077161095733,21.520581814163343,right
72,72,1000.0,-13.3072,-133.145,-160.558,1000.0,172.856,False,True,-1.0,0.09393984913529338,0.045182090732041234,3.992751413869053,0.22957395672715736,21.52033783344559,right
73,73,1000.0,-12.3908,-91.3982,-160.611,1000.0,173.28599999999997,False,True,-1.0,0.20185344567535504,0.02438269360794769,4.568819256774319,0.23098439954231,21.526647976803464,right
74,74,1000.0,-12.3861,-91.3802,-160.585,1000.0,173.293,False,True,-1.0,0.2018600978867516,0.02444340564747241,4.5698632498192495,0.23056324149732416,21.524377423113148,right
75,75,1000.0,-12.3936,-132.77200000000002,-160.567,1000.0,173.28799999999995,False,True,-1.0,0.09488280329646137,0.0454850428961904,4.568357233319407,0.2305916241258872,21.510155591327663,right
76,76,1000.0,-12.3847,-132.738,-160.555,1000.0,173.296,False,True,-1.0,0.0948960549518526,0.04531167648940854,4.5663663630547155,0.2301605510791141,21.515829477062674,right
77,77,1000.0,-12.3664,-91.261,-160.547,1000.0,173.313,False,True,-1.0,0.20188494590095984,0.02447822773616322,4.566681169371631,0.23065601591760265,21.515315025488977,right
78,78,1000.0,-17.1782,-132.692,-160.608,1000.0,169.55200000000005,False,True,-1.0,0.09456018640113772,0.04562729913378826,4.148400317776499,0.2299589621034621,21.498656179868778,right
79,79,1000.0,-17.1868,-132.655,-160.601,1000.0,169.546,False,True,-1.0,0.09487723938138122,0.04544901790985227,4.148677937363638,0.2299811877660673,21.499593019657425,right
80,80,1000.0,-13.2654,-91.5768,-160.6,1000.0,172.886,False,True,-1.0,0.20092654473965826,0.024802349257698718,3.9982920917339264,0.2304855557318091,21.49765903517643,right
81,81,1000.0,-13.2728,-91.5375,-160.622,1000.0,172.878,False,True,-1.0,0.2013816044727635,0.02481379274476694,3.9988451254713366,0.2304349915485634,21.49759636458197,right
82,82,1000.0,-12.3664,-91.5954,-160.629,1000.0,173.31099999999995,False,True,-1.0,0.20034241989355547,0.02480989979918518,4.532847984884691,0.2297414705411659,20.10698520992613,right
83,83,1000.0,-12.386,-91.5042,-160.638,1000.0,173.294,False,True,-1.0,0.20081059997883535,0.02475913855811909,4.532310454133619,0.22972398856986376,20.111199800204954,right
84,84,1000.0,-20.964,-92.0237,-146.986,1000.0,169.41,False,True,-1.0,0.21833756507747984,0.024241555300483858,4.257634438796454,0.2904743507624796,18.794367241944748,right
85,85,1000.0,-20.977,-133.495,-153.683,1000.0,169.986,False,True,-1.0,0.21832414021028726,0.04611630218687601,4.258855027054162,0.4393802366215016,19.27417060779652,right
86,86,1000.0,-26.4732,-116.624,-153.945,1000.0,165.949,False,True,-1.0,0.20159461363834374,0.1080104027344318,3.953735222223956,0.440598134169644,18.82173548869789,right
87,87,1000.0,-26.4507,-116.678,-153.921,1000.0,165.96599999999995,False,True,-1.0,0.2011409713076326,0.10786285929516627,3.9545023931658942,0.4400582892194708,18.818841874253714,right
88,88,1000.0,-18.5287,-90.8794,-153.783,1000.0,172.725,False,True,-1.0,0.3495516726281345,0.08473470600895765,3.524503571758012,0.44099918264648935,18.804795118426608,right
89,89,1000.0,-20.0531,-91.4602,-153.781,1000.0,172.24,False,True,-1.0,0.3688988240116801,0.023705723655555847,3.0339040250057683,0.4396458737926331,18.798872742179302,right
90,90,1000.0,-20.0365,-90.6439,-158.32,1000.0,172.738,False,True,-1.0,0.5423510311259092,0.0845943794030992,3.0364543409760363,0.6340774202638569,19.282247257589308,right
91,91,1000.0,-20.0331,-90.6535,-158.322,1000.0,172.74,False,True,-1.0,0.5423465324975053,0.08462317184701923,3.0367020133059257,0.6340725471560269,19.28106060155809,right
92,92,1000.0,-21.8657,-133.869,-161.497,1000.0,172.78799999999995,False,True,-1.0,0.5747174195466105,0.04280640962237618,2.5721511978004257,0.8746163912498672,20.393688159341163,right
93,93,1000.0,-21.8521,-91.3598,-158.343,1000.0,172.34799999999996,False,True,-1.0,0.5746936527418732,0.022251189582409327,2.5718689422261343,0.6461936719596771,19.833960372876767,right
94,94,1000.0,-16.9305,-132.929,-163.857,1000.0,176.43200000000004,False,True,-1.0,0.8021317054545671,0.04324505306963351,2.4280779618800783,1.13997423393689,20.41590875405519,right
95,95,1000.0,-16.9466,-133.1,-163.836,1000.0,176.43,False,True,-1.0,0.8025407485995187,0.042955468938192985,2.4276646319274677,1.1402131120234107,20.423400446412554,right
96,96,1000.0,-16.8877,-91.287,-161.488,1000.0,176.292,False,True,-1.0,0.8023736987775842,0.02306168729658336,2.409545962430504,0.8758304502703633,19.306879639168674,right
97,97,1000.0,-16.8818,-91.1681,-161.471,1000.0,176.301,False,True,-1.0,0.8033054419467622,0.02307266521110734,2.4105923639513214,0.8759706530541105,19.305406329120377,right
98,98,1000.0,-15.4716,-90.5673,-158.22,1000.0,176.324,False,True,-1.0,0.5791928034302187,0.02337499193296509,2.8724190263282208,0.6495393297003558,19.670249706359908,right
99,99,1000.0,-15.4775,-90.6022,-158.218,1000.0,176.322,False,True,-1.0,0.5799922064578782,0.02335988145761668,2.8709491677250467,0.6503422265935594,19.67230239924413,right
100,100,1000.0,-19.891,-89.9963,-143.993,1000.0,176.049,False,True,-1.0,0.3844833280373991,0.0831988950276237,3.0278414728523235,0.5536553880216133,17.971280222737033,right
101,101,1000.0,-19.8918,-90.0024,-143.99,1000.0,176.048,False,True,-1.0,0.3845332226254233,0.08314476085040158,3.0277252854829166,0.5536837648891955,17.974236074379288,right
102,102,1000.0,-18.4893,-90.0255,-152.748,1000.0,172.988,False,True,-1.0,0.37127145803708095,0.02329124870287077,3.5296588390534978,0.4407743981961957,19.453668534532444,right
103,103,1000.0,-18.5007,-89.9699,-152.741,1000.0,172.986,False,True,-1.0,0.3712388161047117,0.0234003653871283,3.5288245193724324,0.4409133653281997,19.454969057398593,right
104,104,1000.0,-17.1653,-90.1332,-135.45600000000002,1000.0,172.52200000000005,False,True,-1.0,0.11564944705230988,0.023789328980813797,4.070001232473746,0.18535950311577984,19.067325734359653,right
105,105,1000.0,-17.1606,-90.131,-135.452,1000.0,172.52599999999995,False,True,-1.0,0.11569585950131488,0.023742811972316133,4.069872584666383,0.18536187789385808,19.066728995790086,right
106,106,1000.0,-17.2602,-90.154,-135.619,1000.0,172.43099999999995,False,True,-1.0,0.09509685068831228,0.08851836302880868,4.090143402701595,0.18717365983305645,19.20323180275842,right
107,107,1000.0,-17.2604,-90.2433,-135.614,1000.0,172.42700000000005,False,True,-1.0,0.0937840389177282,0.08812109016758661,4.060506322336677,0.18538920284249427,17.902943421747047,right
108,108,1000.0,-17.3656,-90.1279,-146.036,1000.0,172.778,False,True,-1.0,0.19977078086932576,0.08776219363796854,4.073804591811911,0.2911342062318865,17.913397402823648,right
109,109,1000.0,-17.3443,-90.1325,-146.066,1000.0,172.792,False,True,-1.0,0.20020766205986332,0.08799820936815685,4.070692108667542,0.2914213851139287,17.907290512725265,right
110,110,1000.0,-18.6544,-64.0706,-146.143,1000.0,172.312,False,True,-1.0,0.3551337370014491,0.11107351715202518,3.5785608896184673,0.29398111225534873,19.246098991603986,right
111,111,1000.0,-18.6545,-63.9753,-146.127,1000.0,172.317,False,True,-1.0,0.35634252670646505,0.11109844290791504,3.580449811977209,0.2945570585335464,19.24547045448089,right
112,112,1000.0,-18.7009,-63.3774,-146.44799999999995,1000.0,172.30599999999995,False,True,-1.0,0.3639768221675211,0.112372781929079,3.525568715049447,0.2955182453704551,18.29161832657484,right
113,113,1000.0,-18.7178,-63.364,-146.454,1000.0,172.293,False,True,-1.0,0.363997082113282,0.11240944944422006,3.5245159074781385,0.2954740630868148,18.29630564287012,right
114,114,1000.0,-22.7059,-45.6364,-153.297,1000.0,169.425,False,True,-1.0,0.7888163409100274,0.17552213229010355,3.688817355825973,0.4438663566806368,18.159807130356906,right
115,115,1000.0,-22.6874,-45.6389,-153.292,1000.0,169.438,False,True,-1.0,0.794291619922865,0.17674045529755053,3.713518679596132,0.4469168779743112,18.281636164087423,right
116,116,1000.0,-30.8158,-63.6558,-149.127,1000.0,168.702,False,True,-1.0,0.8123730424626107,0.11151404406604301,3.0138049378352463,0.7462400964104675,18.306165170818666,right
117,117,1000.0,-30.8214,-63.6021,-149.132,1000.0,168.69799999999995,False,True,-1.0,0.8122004087831973,0.11181216719130592,3.0101474155219883,0.7452407645987487,18.299296475397455,right
118,118,1000.0,-24.6881,-89.1874,-153.386,1000.0,173.15,False,True,-1.0,0.8211773939862671,0.08801231895566781,3.211036403551476,0.9904729336482396,19.220780902416656,right
119,119,1000.0,-24.6754,-89.1881,-153.379,1000.0,173.15599999999995,False,True,-1.0,0.8211745435635084,0.08816981204577426,3.2126403226756852,0.989740891123852,19.21736255414858,right
120,120,1000.0,-30.9316,-89.1687,-153.423,1000.0,169.405,False,True,-1.0,0.8220615275070687,0.08758054386607601,2.996442356701768,0.99087845102925,18.286951015170548,right
121,121,1000.0,-30.9341,-89.1617,-153.424,1000.0,169.40200000000004,False,True,-1.0,0.8229644640016864,0.08761619892372469,2.9966685296129087,0.9908936788748478,18.28763793187353,right
122,122,1000.0,-33.5755,-64.8548,-146.518,1000.0,172.24,False,True,-1.0,1.1459157185958633,0.10646010418961127,2.61424732994912,1.140432845339398,17.899150524277598,right
123,123,1000.0,-33.5933,-64.8516,-146.523,1000.0,172.227,False,True,-1.0,1.1458437732118398,0.1065242683632758,2.6137152136384207,1.1403603269249616,17.900149142218982,right
124,124,1000.0,-33.8033,-72.3576,-146.58,1000.0,172.09599999999998,False,True,-1.0,1.087343431160852,0.21255481439926552,2.613020162354211,1.1429606589460168,17.926168425205127,right
125,125,1000.0,-37.7541,-72.3464,-146.60399999999996,1000.0,168.58900000000003,False,True,-1.0,1.0882490439121708,0.21259275652995635,2.8840087706490642,1.1434714275102371,17.932530268216922,right
126,126,1000.0,-41.3489,-72.3552,-140.7,1000.0,168.607,False,True,-1.0,1.1534930982891816,0.2141905118128388,3.200073016206463,1.3336938986212028,17.564441750482906,right
127,127,1000.0,-37.7443,-72.3723,-146.572,1000.0,168.618,False,True,-1.0,1.0892391532683745,0.2139987114062307,2.8855955429514126,1.1456403106971278,17.563169810015694,right
128,128,1000.0,-37.7392,-89.7281,-150.245,1000.0,169.231,False,True,-1.0,1.0846662746996962,0.19476035189924884,2.8855568211221296,1.4051190785445653,17.901177563604946,right
129,129,1000.0,-37.7542,-89.7433,-150.245,1000.0,169.22099999999998,False,True,-1.0,1.084691284297914,0.19472017011246973,2.886254973996336,1.4050919094100027,17.901996864191805,right
130,130,1000.0,-37.7165,-89.6111,-150.225,1000.0,169.241,False,True,-1.0,1.0866451127742358,0.19577261442044755,2.8886179460046786,1.405642232886568,17.902346022091084,right
131,131,1000.0,-37.7122,-89.6622,-150.224,1000.0,169.24,False,True,-1.0,1.0866756580868835,0.1956329368841244,2.8903633018872816,1.4066662498910971,17.906032849258775,right
132,132,1000.0,-37.7455,-89.7169,-150.219,1000.0,169.22,False,True,-1.0,1.065053747409449,0.34251855068231296,2.89209374095394,1.4056882158401205,17.897916249747023,right
133,133,1000.0,-37.7315,-89.7011,-150.21200000000005,1000.0,169.22799999999995,False,True,-1.0,1.0651094780743982,0.34241761988814834,2.8917150915989285,1.4058198661177386,17.898148541154804,right
134,134,1000.0,-37.6411,-89.787,-150.22299999999996,1000.0,169.28099999999995,False,True,-1.0,1.0825539475437305,0.1954200421248964,2.8874245620958012,1.4042735376715418,17.903196008896455,right
135,135,1000.0,-37.6405,-89.7686,-150.221,1000.0,169.283,False,True,-1.0,1.0835507873955124,0.1955531139660849,2.8872751041575984,1.4043115247236508,17.90210770894295,right
136,136,1000.0,-37.5872,-89.6972,-150.224,1000.0,169.328,False,True,-1.0,1.083623951684597,0.19533183778368227,2.8846856809021517,1.4042699394520124,17.891915271261613,right
137,137,1000.0,-37.5968,-89.6717,-150.227,1000.0,169.325,False,True,-1.0,1.0845730987708937,0.19545938245444933,2.8831903086702915,1.4042051746535178,17.891367298936434,right
138,138,1000.0,-37.6774,-89.88799999999998,-150.195,1000.0,169.283,False,True,-1.0,1.082388423865552,0.19317014985793052,2.8854934986408107,1.405041723993915,17.907412397547567,right
139,139,1000.0,-37.675,-89.9097,-150.187,1000.0,169.285,False,True,-1.0,1.0813887198089835,0.19279136821502915,2.8867321595089623,1.4050586886572958,17.903039913103193,right
140,140,1000.0,-41.4169,-90.0716,-150.011,1000.0,166.02200000000005,False,True,-1.0,1.1442893930544176,0.09103036521257993,3.2062193453021335,1.4117302227755888,19.055012183999924,right
141,141,1000.0,-41.4351,-90.0106,-150.025,1000.0,166.00799999999995,False,True,-1.0,1.1449735902999758,0.09130521661385152,3.2059314715805556,1.4125881096147437,19.057487786570498,right
142,142,1000.0,-37.6723,-89.8223,-146.619,1000.0,168.63099999999997,False,True,-1.0,0.8839395564140217,0.08695134797266038,2.8824212811632126,1.141938265311358,17.920037198614626,right
143,143,1000.0,-37.694,-89.8557,-146.628,1000.0,168.615,False,True,-1.0,0.8217345404991486,0.1907761705572104,2.883692823348892,1.1427627404320386,17.9178500528957,right
144,144,1000.0,-35.1594,-71.7797,-148.88,1000.0,165.025,False,True,-1.0,0.7934272585231034,0.22126489844010253,3.2916311057606014,0.7543114699930901,18.69685717322812,right
145,145,1000.0,-35.1673,-71.7921,-148.864,1000.0,165.016,False,True,-1.0,0.7916754425062258,0.2196698276082907,3.292751609928525,0.7544864776249444,18.698117687440764,right
146,146,1000.0,-32.4936,-63.7097,-127.732,1000.0,167.657,False,True,-1.0,0.5497843480310057,0.4275523427233545,3.7520255956391235,0.5455279715353449,17.230112336985332,right
147,147,1000.0,-35.905,-63.7239,-127.759,1000.0,163.975,False,True,-1.0,0.5505581314923104,0.4278051157250287,4.0666121732225164,0.5454733108757119,17.228290128469492,right
148,148,1000.0,-30.3104,-89.5728,-135.49200000000002,1000.0,164.99599999999995,False,True,-1.0,0.2052261766906142,0.1928971465316714,4.244153807527929,0.3981283138456528,17.546254101636578,right
