frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,1068.4,278.824,0.855248,1077.11,267.097,0.891448,0,0,0,1112.25,266.975,0.974464,0,0,0,1135.69,337.552,0.932183,179.801,1000,-53.3992,1000,-15.1208,1000,416.673
0,0,1071.19,278.841,0.859186,1080.03,267.093,0.9017,0,0,0,1112.33,266.983,0.984881,0,0,0,1135.8,337.552,0.950702,179.804,1000,-53.0431,1000,-16.0788,1000,413.788
0,0,1071.2,278.843,0.85875,1080.04,267.092,0.901804,0,0,0,1112.34,266.982,0.985269,0,0,0,1135.81,337.558,0.953692,179.805,1000,-53.0496,1000,-16.0833,1000,413.791
0,0,1071.27,275.88,0.855723,1082.94,266.993,0.904788,0,0,0,1112.42,266.978,0.98382,0,0,0,1135.89,337.555,0.956942,179.97,1000,-37.2914,1000,-12.2071,1000,416.66
0,0,1071.28,275.882,0.856863,1082.95,266.995,0.907259,0,0,0,1115.09,266.979,0.982181,0,0,0,1135.89,337.552,0.957524,179.971,1000,-37.2955,1000,-11.4888,1000,416.655
0,0,1077.02,273.027,0.84546,1085.87,266.954,0.9222,0,0,0,1115.21,266.927,0.96273,0,0,0,1138.64,337.497,0.947545,179.947,1000,-34.4486,1000,-9.07576,1000,416.668
0,0,1077.03,273.028,0.843575,1085.88,266.956,0.922545,0,0,0,1115.2,266.928,0.961688,0,0,0,1138.64,337.497,0.946936,179.947,1000,-34.459,1000,-9.07783,1000,413.842
0,0,1077.09,272.928,0.834268,1085.9,264.174,0.901813,0,0,0,1115.24,264.166,0.956652,0,0,0,1138.78,337.477,0.931651,179.984,1000,-44.798,1000,-12.9344,1000,413.854
0,0,1077.09,272.925,0.83741,1085.92,264.172,0.903931,0,0,0,1115.26,264.185,0.956116,0,0,0,1138.79,337.48,0.933306,-179.975,1000,-44.7594,1000,-12.9,1000,413.815
0,0,1080.04,272.904,0.860003,1088.71,264.149,0.926045,0,0,0,1115.34,264.116,0.934784,0,0,0,1141.6,337.48,0.921896,179.929,1000,-45.2937,1000,-13.9792,1000,410.863
0,0,1080.04,272.902,0.860757,1088.71,264.149,0.926293,0,0,0,1115.34,264.126,0.934956,0,0,0,1141.61,337.481,0.92175,179.95,1000,-45.2829,1000,-13.9634,1000,410.872
0,0,1080.04,270.095,0.868169,1088.72,264.046,0.902488,0,0,0,1115.37,264.115,0.927221,0,0,0,1141.6,337.45,0.91939,-179.851,1000,-34.8545,1000,-9.60472,1000,408.046
0,0,1080.02,270.103,0.872991,1088.72,264.058,0.907631,0,0,0,1115.38,264.128,0.928919,0,0,0,1141.59,337.452,0.919031,-179.849,1000,-34.8028,1000,-9.59305,1000,408.033
0,0,1080,270.041,0.871486,1088.71,261.231,0.892168,0,0,0,1115.36,264.12,0.936562,0,0,0,1141.61,337.453,0.916279,-173.812,1000,-45.3392,1000,-9.50721,1000,408.049
0,0,1080,270.042,0.871497,1088.71,261.229,0.892739,0,0,0,1115.36,264.12,0.935893,0,0,0,1141.61,337.456,0.916975,-173.81,1000,-45.3469,1000,-9.50961,1000,408.037
0,0,1082.88,270.029,0.863832,1088.74,261.196,0.883781,0,0,0,1115.36,264.066,0.915698,0,0,0,1141.69,337.418,0.89737,-173.848,1000,-56.4191,1000,-10.401,1000,405.136
0,0,1082.88,270.032,0.864099,1088.74,261.203,0.884684,0,0,0,1115.36,264.07,0.918128,0,0,0,1141.68,337.419,0.898649,-173.853,1000,-56.4173,1000,-10.4009,1000,405.147
0,0,1082.96,270.099,0.880996,1088.77,264.031,0.904936,0,0,0,1118.1,264.034,0.895144,0,0,0,1141.66,337.426,0.899183,-179.994,1000,-46.2317,1000,-9.79174,1000,408.016
0,0,1082.94,270.103,0.890095,1088.77,264.039,0.909794,0,0,0,1118.12,264.053,0.895859,0,0,0,1141.67,337.426,0.899161,-179.972,1000,-46.1526,1000,-9.75934,1000,408.019
0,0,1082.93,270.076,0.875251,1088.78,264.028,0.900714,0,0,0,1118.1,264.11,0.912472,0,0,0,1141.66,337.468,0.905628,-179.84,1000,-45.9857,1000,-9.62767,1000,407.967
0,0,1082.93,270.078,0.875888,1088.78,264.032,0.902201,0,0,0,1118.1,264.115,0.912965,0,0,0,1141.66,337.467,0.90585,-179.839,1000,-45.9784,1000,-9.62513,1000,407.983
0,0,1082.91,270.059,0.870269,1088.77,261.245,0.89279,0,0,0,1118.11,264.111,0.916269,0,0,0,1141.67,337.455,0.901473,-174.421,1000,-56.3644,1000,-9.59084,1000,408.026
0,0,1082.92,270.069,0.873041,1088.77,264.017,0.895118,0,0,0,1118.11,264.107,0.914996,0,0,0,1141.68,337.453,0.901162,-179.824,1000,-45.9513,1000,-9.61491,1000,410.87
0,0,1082.9,270.063,0.876333,1088.77,264.016,0.894862,0,0,0,1115.38,264.148,0.923833,0,0,0,1141.7,337.43,0.892002,-179.716,1000,-45.8593,1000,-10.3202,1000,410.979
0,0,1082.91,270.086,0.875368,1088.77,264.044,0.901461,0,0,0,1115.38,264.16,0.924556,0,0,0,1141.7,337.428,0.892609,-179.751,1000,-45.8777,1000,-10.3433,1000,413.819
0,0,1082.96,270.171,0.865728,1088.77,264.133,0.915163,0,0,0,1115.35,264.152,0.917532,0,0,0,1141.63,337.449,0.9084,-179.958,1000,-46.0595,1000,-10.5231,1000,410.88
0,0,1082.93,272.88,0.865057,1088.77,264.142,0.915894,0,0,0,1115.35,264.17,0.924002,0,0,0,1141.64,337.442,0.905095,-179.941,1000,-56.2659,1000,-15.0378,1000,410.922
0,0,1082.9,272.882,0.86917,1088.75,264.145,0.91902,0,0,0,1115.33,264.185,0.934229,0,0,0,1141.6,337.417,0.904843,-179.915,1000,-56.1734,1000,-15.0117,1000,410.987
0,0,1082.91,272.883,0.867045,1088.76,264.141,0.915978,0,0,0,1115.34,264.175,0.929177,0,0,0,1141.61,337.419,0.902747,-179.928,1000,-56.2082,1000,-15.0291,1000,410.997
0,0,1082.87,270.161,0.865058,1088.74,264.13,0.911777,0,0,0,1115.32,266.89,0.937007,0,0,0,1141.64,337.342,0.881719,-174.071,1000,-45.779,1000,-5.75649,1000,413.974
0,0,1082.87,272.945,0.843418,1088.71,266.905,0.912359,0,0,0,1115.26,264.189,0.949282,0,0,0,1141.64,337.327,0.875341,174.161,1000,-45.9802,1000,-15.1275,1000,416.871
0,0,1079.99,275.839,0.812701,1085.93,266.978,0.917351,0,0,0,1115.14,266.921,0.978845,0,0,0,1141.63,334.515,0.835786,179.889,1000,-56.1883,1000,-14.2353,1000,413.88
0,0,1079.99,275.839,0.813035,1085.93,266.977,0.917694,0,0,0,1115.14,266.921,0.978992,0,0,0,1141.63,334.515,0.836051,179.889,1000,-56.1859,1000,-14.2354,1000,413.886
0,0,1077.03,275.823,0.793696,1085.83,266.965,0.89489,0,0,0,1112.37,266.951,0.984163,0,0,0,1141.6,334.516,0.829589,179.969,1000,-45.2081,1000,-14.0937,1000,416.745
0,0,1077.03,273.047,0.79623,1085.82,266.958,0.893667,0,0,0,1112.37,266.948,0.984174,0,0,0,1141.59,334.523,0.832984,179.977,1000,-34.7092,1000,-9.79339,1000,413.899
0,0,1074.17,275.924,0.789967,1085.76,267.018,0.895558,0,0,0,1112.31,266.972,0.990982,0,0,0,1138.82,334.506,0.821992,179.9,1000,-37.5492,1000,-13.2099,1000,416.814
0,0,1074.17,275.91,0.7961,1082.99,267.01,0.893935,0,0,0,1112.3,266.965,0.98778,0,0,0,1138.81,334.518,0.827384,179.913,1000,-45.2583,1000,-13.1996,1000,416.741
0,0,1071.32,275.858,0.824032,1082.91,266.967,0.886432,0,0,0,1112.21,266.945,0.964589,0,0,0,1138.71,334.55,0.850552,179.956,1000,-37.4895,1000,-12.2961,1000,413.848
0,0,1071.32,275.863,0.823438,1082.91,266.973,0.886972,0,0,0,1112.21,266.946,0.9662,0,0,0,1138.71,334.527,0.84515,179.948,1000,-37.4846,1000,-12.3001,1000,413.891
0,0,1071.27,275.899,0.818309,1080.05,267.004,0.883199,0,0,0,1112.17,266.932,0.965166,0,0,0,1138.65,334.472,0.82814,179.871,1000,-45.3773,1000,-12.3681,1000,413.915
0,0,1071.26,275.906,0.821244,1080.03,267.003,0.881762,0,0,0,1112.16,266.93,0.96573,0,0,0,1138.65,334.465,0.825408,179.869,1000,-45.4182,1000,-12.3753,1000,413.93
0,0,1071.26,281.724,0.785854,1080.03,267.118,0.872033,0,0,0,1112.14,267.023,0.988804,0,0,0,1138.64,334.497,0.821649,179.832,1000,-59.0169,1000,-19.7797,1000,413.888
0,0,1071.26,281.738,0.787397,1080.02,267.125,0.872387,0,0,0,1112.13,267.015,0.984621,0,0,0,1138.63,334.506,0.822702,179.805,1000,-59.0477,1000,-19.8068,1000,413.885
0,0,1071.22,284.646,0.815119,1079.94,267.178,0.87306,0,0,0,1109.36,267.019,0.970533,0,0,0,1138.63,334.451,0.788574,179.69,1000,-63.4743,1000,-24.8057,1000,411.027
0,0,1071.22,284.634,0.811738,1077.12,267.178,0.870148,0,0,0,1109.35,267.017,0.965933,0,0,0,1138.63,334.461,0.788369,179.713,1000,-71.309,1000,-24.7944,1000,411.039
0,0,1068.43,284.658,0.81233,1074.2,267.193,0.867422,0,0,0,1109.27,267.022,0.949263,0,0,0,1138.63,334.538,0.771385,179.719,1000,-71.7151,1000,-23.3555,1000,413.84
0,0,1068.44,284.663,0.81481,1074.2,269.868,0.869022,0,0,0,1109.27,267.022,0.948519,0,0,0,1138.64,334.535,0.770018,175.361,1000,-68.7278,1000,-23.3632,1000,413.869
0,0,1068.4,284.685,0.816851,1074.16,269.897,0.873181,0,0,0,1109.25,267.06,0.941909,0,0,0,1138.59,334.512,0.745138,175.377,1000,-68.7393,1000,-23.3424,1000,413.814
0,0,1068.41,284.71,0.813155,1074.16,269.911,0.870808,0,0,0,1109.24,267.062,0.940645,0,0,0,1138.6,334.504,0.738496,175.358,1000,-68.7883,1000,-23.3765,1000,410.984
0,0,1068.42,284.703,0.847966,1074.18,269.904,0.88673,0,0,0,1106.46,267.079,0.929986,0,0,0,1135.85,334.53,0.734439,174.999,1000,-68.7308,1000,-24.8565,1000,413.901
0,0,1068.41,284.653,0.838627,1074.18,269.874,0.883732,0,0,0,1106.46,267.069,0.933508,0,0,0,1135.83,334.527,0.736799,175.035,1000,-68.6846,1000,-24.8033,1000,416.777
0,0,1068.38,287.531,0.827318,1074.1,269.958,0.875664,0,0,0,1106.39,267.061,0.919178,0,0,0,1135.81,334.553,0.715007,174.875,1000,-71.9902,1000,-28.3038,1000,413.842
0,0,1068.39,287.536,0.825876,1074.11,269.967,0.873167,0,0,0,1106.42,267.079,0.921771,0,0,0,1135.79,334.564,0.717909,174.892,1000,-71.955,1000,-28.2768,1000,413.85
0,0,1068.38,287.566,0.859271,1074.11,269.996,0.889667,0,0,0,1106.41,267.164,0.910791,0,0,0,1135.74,334.598,0.706795,174.987,1000,-71.9162,1000,-28.2134,1000,416.693
0,0,1068.37,287.554,0.856724,1074.1,269.985,0.890413,0,0,0,1106.39,267.163,0.911028,0,0,0,1135.75,334.602,0.709695,175.004,1000,-71.9252,1000,-28.2056,1000,416.709
0,0,1068.38,287.656,0.860282,1074.08,270.056,0.880286,0,0,0,1103.48,269.869,0.898261,0,0,0,1135.63,337.382,0.704162,179.635,1000,-72.0401,1000,-26.8758,1000,411.048
