frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,613.377,258.206,0.747038,0,0,0,607.466,243.617,0.829155,0,0,0,581.082,243.616,0.893131,531.306,311.043,0.769667,1000,0.00198815,1000,-112.052,1000,-155.687,519.383
0,0,613.376,252.464,0.732604,0,0,0,604.632,243.527,0.813695,0,0,0,581.064,243.556,0.891265,531.313,311.118,0.777701,1000,-0.0716694,1000,-134.377,1000,-164.588,519.412
0,0,613.376,252.44,0.743828,0,0,0,604.628,243.495,0.816818,0,0,0,581.046,243.533,0.893143,531.293,313.86,0.779695,1000,-0.0931657,1000,-134.361,1000,-164.597,516.743
0,0,613.376,252.445,0.705127,0,0,0,607.448,243.537,0.795796,0,0,0,583.998,243.566,0.873541,531.297,313.903,0.810411,1000,-0.0707978,1000,-123.642,1000,-163.184,516.571
0,0,613.378,252.44,0.710279,0,0,0,607.446,243.537,0.799605,0,0,0,583.986,243.573,0.876016,531.296,313.911,0.812429,1000,-0.0883966,1000,-123.675,1000,-163.212,516.614
0,0,613.347,255.324,0.703422,0,0,0,604.635,243.598,0.804171,0,0,0,583.997,243.622,0.870883,531.279,313.937,0.827479,1000,-0.0687125,1000,-126.611,1000,-158.264,516.576
0,0,613.356,255.321,0.704779,0,0,0,604.642,243.596,0.803572,0,0,0,583.999,243.621,0.871461,531.279,313.937,0.828032,1000,-0.0680606,1000,-126.621,1000,-158.27,516.571
0,0,613.355,255.377,0.641046,0,0,0,607.509,243.658,0.762616,0,0,0,586.938,243.665,0.890556,531.312,313.924,0.832723,1000,-0.0174675,1000,-116.512,1000,-156.089,516.682
0,0,613.358,258.214,0.620895,0,0,0,607.538,243.654,0.743345,0,0,0,586.974,243.628,0.891584,531.309,313.928,0.831704,1000,0.0724015,1000,-111.789,1000,-151.066,516.714
0,0,613.335,258.242,0.463649,0,0,0,610.409,243.675,0.624101,528.349,246.56,0.0832235,592.756,243.696,0.911631,531.321,313.977,0.852274,1000,-0.0690384,1000,-101.356,-172.173,-144.744,516.562
0,0,613.337,258.232,0.482339,0,0,0,610.401,243.666,0.639747,528.348,246.573,0.0794889,592.742,243.689,0.910954,531.322,313.971,0.851992,1000,-0.0743609,1000,-101.398,-172.188,-144.772,516.598
0,0,613.305,258.272,0.493813,0,0,0,610.375,243.687,0.647881,528.311,246.57,0.0883768,592.757,243.678,0.909137,534.119,314.003,0.864114,1000,0.0309633,1000,-101.358,-172.161,-144.617,516.584
0,0,613.312,258.264,0.494012,0,0,0,610.388,243.685,0.648709,528.335,246.579,0.0789894,592.774,243.671,0.909412,534.121,313.986,0.862124,1000,0.0450182,1000,-101.342,-172.171,-144.605,516.57
0,0,610.462,258.275,0.427084,0,0,0,607.562,243.705,0.592667,528.386,246.586,0.0895942,592.776,243.68,0.904338,534.15,314.031,0.862101,1000,0.0981492,1000,-101.256,-171.895,-140.47,516.589
0,0,610.456,258.281,0.431803,0,0,0,607.558,243.719,0.596654,528.402,246.604,0.0845675,592.78,243.711,0.903959,534.158,314.017,0.860719,1000,0.0323022,1000,-101.256,-171.901,-140.502,516.578
0,0,613.338,261.129,0.506015,0,0,0,610.402,246.401,0.654351,531.198,249.423,0.0637077,592.818,246.405,0.900358,534.188,314.025,0.863239,1000,-0.0136226,1000,-101.274,-171.889,-144.34,516.557
0,0,613.32,258.31,0.487612,0,0,0,610.388,246.387,0.63925,531.188,246.632,0.0675535,592.807,246.392,0.897397,534.184,314.03,0.86447,1000,-0.0179024,1000,-103.818,-171.908,-149.845,516.566
0,0,613.392,261.133,0.559851,0,0,0,610.427,246.404,0.695809,531.251,249.45,0.0657669,592.815,246.416,0.889638,537.063,314.011,0.864385,1000,-0.0389689,1000,-101.383,-171.905,-144.428,516.607
0,0,613.396,261.138,0.562211,0,0,0,610.431,246.41,0.697367,531.254,249.459,0.0651365,592.816,246.426,0.890601,537.064,314.014,0.864504,1000,-0.0525103,1000,-101.383,-171.908,-144.44,516.605
0,0,613.417,261.148,0.532284,0,0,0,610.457,246.409,0.67236,531.269,249.439,0.0635272,592.868,246.4,0.901796,537.103,314.033,0.867474,1000,0.0308164,1000,-101.355,-171.889,-144.334,516.423
0,0,613.402,261.119,0.510815,0,0,0,610.448,243.725,0.657721,531.263,249.424,0.0648767,592.858,243.7,0.902147,537.109,314.038,0.865653,1000,0.0810135,1000,-99.6401,-171.896,-139.707,516.414
0,0,613.416,261.155,0.570693,0,0,0,610.424,246.431,0.703335,531.228,249.489,0.0595126,592.816,246.449,0.896459,537.127,314.012,0.858057,1000,-0.0594836,1000,-101.486,-171.922,-144.478,516.507
0,0,613.418,261.163,0.580176,0,0,0,610.422,246.434,0.71058,0,0,0,592.806,246.448,0.894655,537.125,314.008,0.857655,1000,-0.0460542,1000,-101.496,1000,-144.478,516.503
0,0,616.192,261.192,0.609551,0,0,0,610.428,246.445,0.723778,0,0,0,592.834,246.481,0.890245,539.96,314.011,0.856839,1000,-0.117913,1000,-111.347,1000,-147.798,516.552
0,0,616.193,261.204,0.594072,0,0,0,610.447,246.452,0.709794,531.215,249.487,0.0595377,592.858,246.497,0.894232,539.968,314.007,0.857643,1000,-0.145986,1000,-111.283,-172.149,-147.778,516.552
0,0,616.218,261.173,0.625594,0,0,0,610.455,246.428,0.731186,0,0,0,592.864,246.461,0.889778,539.957,314.004,0.859676,1000,-0.107897,1000,-111.345,1000,-147.79,516.408
0,0,616.216,261.165,0.61237,0,0,0,610.464,246.423,0.720474,0,0,0,592.877,246.47,0.889867,537.123,314.021,0.862139,1000,-0.151968,1000,-111.317,1000,-147.805,513.62
0,0,616.232,261.124,0.577587,0,0,0,610.469,243.709,0.696878,531.265,249.456,0.0610761,592.863,243.713,0.893489,539.968,314.058,0.857011,1000,-0.0144007,1000,-108.31,-172.181,-143.312,516.484
0,0,616.242,261.121,0.565615,0,0,0,613.295,243.71,0.689931,531.284,249.463,0.0592658,595.609,243.716,0.905572,539.985,314.054,0.86112,1000,-0.0190324,1000,-99.61,-172.187,-139.851,516.503
0,0,616.254,258.246,0.553217,0,0,0,613.308,243.682,0.686344,531.226,249.484,0.059969,592.883,246.428,0.909393,537.131,314.037,0.864294,1000,-7.65476,1000,-101.438,-174.117,-153.176,516.442
0,0,616.284,261.205,0.602791,0,0,0,613.317,246.464,0.724523,0,0,0,592.788,246.5,0.901186,539.96,314.037,0.868401,1000,-0.10272,1000,-101.378,1000,-147.96,516.444
0,0,616.269,258.237,0.543981,0,0,0,610.483,243.685,0.683849,531.27,249.491,0.0620523,592.784,246.442,0.910429,540.003,314.02,0.860272,1000,-8.85529,1000,-111.681,-174.125,-153.332,516.484
0,0,616.266,258.224,0.5372,0,0,0,610.486,243.672,0.677504,531.273,249.475,0.0628644,592.802,246.421,0.911734,540.001,314.02,0.859886,1000,-8.83325,1000,-111.664,-174.123,-153.296,516.46
0,0,616.26,258.208,0.511433,0,0,0,613.3,243.656,0.653026,534.114,249.454,0.0704125,592.878,246.412,0.903374,539.978,314.024,0.858747,1000,-7.68423,1000,-101.498,-173.918,-153.23,516.479
0,0,616.272,258.225,0.525197,0,0,0,613.306,243.669,0.661978,534.106,249.457,0.0692843,592.877,246.421,0.901943,539.976,314.028,0.85799,1000,-7.67192,1000,-101.515,-173.909,-153.225,516.477
0,0,616.29,255.329,0.561193,0,0,0,613.29,243.637,0.691371,0,0,0,592.839,246.413,0.891541,540.016,314.017,0.855812,1000,-7.73109,1000,-104.389,1000,-159.184,516.492
0,0,616.289,255.349,0.568268,0,0,0,613.298,243.645,0.697544,0,0,0,592.85,246.394,0.895547,540.018,314.017,0.854236,1000,-7.65753,1000,-104.334,1000,-159.091,516.496
0,0,616.338,258.225,0.556565,0,0,0,613.38,243.645,0.681887,0,0,0,595.598,243.618,0.910244,539.997,314.033,0.840406,1000,0.0861851,1000,-101.467,1000,-144.843,516.484
0,0,616.351,258.239,0.551817,0,0,0,613.395,243.65,0.677796,0,0,0,592.865,243.621,0.912735,539.992,314.021,0.845018,1000,0.0796732,1000,-101.455,1000,-148.103,516.562
0,0,619.064,258.303,0.599732,0,0,0,616.2,243.677,0.708213,0,0,0,595.614,243.587,0.924334,542.9,313.885,0.812531,1000,0.248783,1000,-101.08,1000,-147.891,516.693
0,0,619.059,258.313,0.637499,0,0,0,613.416,243.676,0.737244,0,0,0,592.857,243.574,0.912957,542.902,313.889,0.809305,1000,0.286192,1000,-111.084,1000,-150.64,516.647
0,0,619.059,261.124,0.607397,0,0,0,616.18,243.693,0.71249,0,0,0,595.6,243.6,0.918171,540.03,313.88,0.785445,1000,0.257513,1000,-99.3779,1000,-143.241,516.615
0,0,619.053,261.133,0.605776,0,0,0,613.424,243.694,0.710989,0,0,0,592.884,243.595,0.92068,540.016,313.877,0.786171,1000,0.273419,1000,-107.888,1000,-146.172,516.621
0,0,619.102,258.299,0.61396,0,0,0,616.229,243.688,0.712581,0,0,0,595.614,243.631,0.917862,542.963,311.043,0.766052,1000,0.158948,1000,-101.124,1000,-148.016,519.402
0,0,619.101,258.306,0.621394,0,0,0,616.228,243.691,0.718757,0,0,0,595.613,243.623,0.918996,542.967,311.046,0.763718,1000,0.190583,1000,-101.12,1000,-147.988,519.398
0,0,619.127,255.377,0.603261,0,0,0,616.252,243.634,0.707177,0,0,0,595.624,243.637,0.926628,542.961,310.997,0.74794,1000,-0.0094087,1000,-103.755,1000,-153.457,519.481
0,0,619.126,258.205,0.615007,0,0,0,616.249,243.64,0.715589,0,0,0,595.626,243.643,0.92277,542.937,311.007,0.752734,1000,-0.00788483,1000,-101.172,1000,-148.214,519.459
0,0,619.083,258.242,0.632493,0,0,0,616.211,243.657,0.723068,0,0,0,595.623,243.616,0.9215,542.952,311,0.744062,1000,0.115846,1000,-101.141,1000,-148.059,519.553
0,0,619.088,258.248,0.635406,0,0,0,616.217,243.66,0.725866,0,0,0,595.623,243.615,0.921329,542.945,311.002,0.744827,1000,0.125232,1000,-101.134,1000,-148.052,519.551
0,0,619.167,252.411,0.678637,0,0,0,616.236,243.561,0.747668,0,0,0,595.601,243.665,0.911104,542.962,308.187,0.737993,1000,-0.287637,1000,-108.324,1000,-159.638,522.385
0,0,619.152,252.416,0.666208,0,0,0,616.233,243.536,0.73281,0,0,0,592.879,243.6,0.907507,542.937,308.202,0.736181,1000,-0.156485,1000,-108.202,1000,-161.451,522.374
0,0,619.166,252.457,0.679723,0,0,0,616.259,243.554,0.740993,0,0,0,592.881,243.568,0.902702,542.976,308.161,0.730905,1000,-0.0351902,1000,-108.083,1000,-161.316,522.374
0,0,619.167,252.444,0.684384,0,0,0,616.258,243.551,0.745334,0,0,0,592.882,243.579,0.905109,542.974,308.15,0.731373,1000,-0.0685547,1000,-108.116,1000,-161.362,522.372
0,0,619.16,252.368,0.695664,0,0,0,616.226,243.48,0.739711,0,0,0,592.828,243.529,0.895284,542.973,308.123,0.727045,1000,-0.120125,1000,-108.266,1000,-161.445,522.467
0,0,619.164,252.359,0.700134,0,0,0,616.226,243.473,0.741995,0,0,0,592.819,243.526,0.894878,542.974,308.121,0.727345,1000,-0.129796,1000,-108.298,1000,-161.464,522.438
0,0,619.151,255.294,0.700543,0,0,0,616.24,243.558,0.758121,0,0,0,592.85,243.549,0.900445,542.944,308.161,0.711908,1000,0.0219774,1000,-103.93,1000,-155.936,522.427
0,0,619.137,255.289,0.678847,0,0,0,616.23,243.565,0.744236,0,0,0,592.87,243.579,0.907383,542.934,308.155,0.714267,1000,-0.0341325,1000,-103.926,1000,-155.972,522.43
0,0,619.148,255.318,0.750424,0,0,0,616.218,243.552,0.788899,0,0,0,592.744,243.462,0.863547,542.929,308.153,0.700961,1000,0.219594,1000,-103.986,1000,-155.817,522.343
0,0,619.151,255.311,0.751701,0,0,0,616.221,243.549,0.788272,0,0,0,592.751,243.467,0.861447,542.929,308.15,0.701916,1000,0.201752,1000,-103.988,1000,-155.837,522.339
0,0,619.164,252.349,0.791707,0,0,0,616.194,243.429,0.80814,0,0,0,586.985,243.42,0.867364,542.911,308.115,0.688556,1000,0.016702,1000,-108.415,1000,-164.491,522.363
0,0,619.205,249.579,0.823291,0,0,0,616.188,240.69,0.823904,0,0,0,586.904,243.44,0.866747,542.888,308.122,0.682795,1000,-5.36514,1000,-108.747,1000,-169.238,522.431
0,0,619.225,249.549,0.800676,0,0,0,616.225,240.689,0.810972,0,0,0,586.976,243.475,0.875428,542.895,308.127,0.693168,1000,-5.44237,1000,-108.708,1000,-169.333,522.365
0,0,619.225,249.541,0.801439,0,0,0,616.223,240.684,0.810382,0,0,0,586.978,243.475,0.875193,542.897,308.13,0.692116,1000,-5.45158,1000,-108.726,1000,-169.347,522.36
0,0,619.233,249.505,0.821869,0,0,0,616.205,240.638,0.815115,0,0,0,586.92,243.437,0.866714,542.92,308.127,0.682518,1000,-5.45955,1000,-108.856,1000,-169.365,522.336
0,0,619.235,249.506,0.822455,0,0,0,616.206,240.641,0.815974,0,0,0,586.924,243.44,0.866565,542.919,308.126,0.683437,1000,-5.46006,1000,-108.86,1000,-169.367,522.363
0,0,619.22,252.37,0.835339,0,0,0,616.18,240.692,0.831337,0,0,0,584.022,243.417,0.854258,542.887,308.113,0.669241,1000,-4.84216,1000,-104.592,1000,-165.727,522.427
0,0,619.21,252.404,0.830683,0,0,0,616.189,240.685,0.831749,0,0,0,583.999,240.666,0.862159,542.871,308.109,0.671468,1000,0.0332432,1000,-104.454,1000,-161.564,522.344
0,0,619.236,252.406,0.830944,0,0,0,616.194,240.676,0.82667,0,0,0,581.16,240.659,0.859103,542.891,308.17,0.671013,1000,0.0276746,1000,-104.539,1000,-162.854,522.336
0,0,619.233,252.401,0.846269,0,0,0,613.408,240.673,0.834342,0,0,0,581.126,240.694,0.857309,542.896,308.191,0.671324,1000,-0.0379428,1000,-116.412,1000,-162.922,522.304
0,0,619.223,255.276,0.832719,0,0,0,616.181,240.699,0.838553,0,0,0,581.097,240.676,0.872979,542.899,308.176,0.663871,1000,0.037827,1000,-101.787,1000,-159.046,522.338
0,0,619.223,255.29,0.834793,0,0,0,616.183,240.702,0.840022,0,0,0,581.088,240.677,0.874243,542.887,308.166,0.66306,1000,0.0411783,1000,-101.772,1000,-159.034,522.36
0,0,619.178,252.411,0.845132,0,0,0,613.357,240.644,0.836181,0,0,0,578.264,240.639,0.859711,540.016,308.13,0.660914,1000,0.00762347,1000,-116.321,1000,-163.948,525.244
0,0,619.182,252.461,0.841398,0,0,0,613.371,240.671,0.83743,0,0,0,578.274,240.636,0.860514,540.019,308.135,0.659965,1000,0.0572679,1000,-116.239,1000,-163.877,522.518
0,0,619.172,255.289,0.851164,0,0,0,613.34,240.699,0.840571,0,0,0,578.266,240.676,0.854889,540.035,308.124,0.640051,1000,0.0379631,1000,-111.79,1000,-160.342,522.427
0,0,619.172,255.356,0.84573,0,0,0,613.371,243.464,0.843651,0,0,0,581.076,240.666,0.852657,540.047,308.138,0.640122,1000,4.95146,1000,-116.003,1000,-158.913,522.424
0,0,619.13,255.326,0.818845,0,0,0,613.321,243.456,0.826206,0,0,0,578.255,240.696,0.868914,539.958,308.139,0.667252,1000,4.50007,1000,-116.074,1000,-160.307,522.474
0,0,619.109,255.36,0.814192,0,0,0,613.306,243.479,0.825444,0,0,0,578.256,240.697,0.869233,539.955,308.138,0.667846,1000,4.5371,1000,-116.033,1000,-160.256,522.48
0,0,619.145,255.351,0.821296,0,0,0,613.352,243.499,0.833692,0,0,0,581.059,243.422,0.868186,539.951,308.084,0.670039,1000,0.137666,1000,-116.052,1000,-162.609,522.502
0,0,619.155,255.34,0.815069,0,0,0,613.379,243.503,0.831882,0,0,0,581.098,243.425,0.867815,539.962,308.085,0.670882,1000,0.138017,1000,-116.012,1000,-162.615,522.475
