,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,lear,rear,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,orientation
0,1000,0.00198815,1000.0,-112.052,1000.0,-155.687,False,True,-1,-1.0,-1.0,1.340273857634926,0.47706382765704236,18.343683967322747,tv
1,1000,-0.0716694,1000.0,-134.377,1000.0,-164.588,False,True,-1,-1.0,-1.0,1.0693851220225936,0.30097014508713843,19.588742048701214,tv
2,1000,-0.09316569999999999,1000.0,-134.361,1000.0,-164.597,False,True,-1,-1.0,-1.0,1.0761871336428455,0.30293691254646643,20.33899886210359,tv
3,1000,-0.07079780000000001,1000.0,-123.64200000000001,1000.0,-163.184,False,True,-1,-1.0,-1.0,1.0645261561334198,0.22164164848588042,20.35353901980559,tv
4,1000,-0.0883966,1000.0,-123.675,1000.0,-163.21200000000002,False,True,-1,-1.0,-1.0,1.0653464598326832,0.22154264692788048,20.355891565075698,tv
5,1000,-0.0687125,1000.0,-126.611,1000.0,-158.264,False,True,-1,-1.0,-1.0,0.8245207287988628,0.41310091835470575,19.688565463745892,tv
6,1000,-0.06806060000000001,1000.0,-126.62100000000001,1000.0,-158.27,False,True,-1,-1.0,-1.0,0.8249283718985319,0.4131269873841185,19.69229667364215,tv
7,1000,-0.0174675,1000.0,-116.512,1000.0,-156.089,False,True,-1,-1.0,-1.0,0.8190068359261616,0.3319462977227784,19.661619831927574,tv
8,1000,0.0724015,1000.0,-111.789,1000.0,-151.066,False,True,-1,-1.0,-1.0,0.8184000665745432,0.4758260856102211,19.035846129580413,tv
9,1000,-0.06903839999999999,1000.0,-101.35600000000001,-172.173,-144.744,True,True,-1,-1.0,-1.0,0.6032748247064258,0.4273619913969678,19.034862070767893,tv
10,1000,-0.0743609,1000.0,-101.398,-172.188,-144.77200000000002,True,True,-1,-1.0,-1.0,0.6036430841776386,0.4273892891571417,19.034716251321132,tv
11,1000,0.0309633,1000.0,-101.35799999999999,-172.16099999999997,-144.61700000000002,True,True,-1,-1.0,-1.0,0.6008587277190193,0.4284049157542609,18.150711127328734,tv
12,1000,0.045018199999999994,1000.0,-101.34200000000001,-172.171,-144.605,True,True,-1,-1.0,-1.0,0.6006024198075791,0.42800978957353325,18.150794209884435,tv
13,1000,0.09814919999999999,1000.0,-101.256,-171.895,-140.47,True,True,-1,-1.0,-1.0,0.4232115298622342,0.4272156395122598,17.29083058291989,tv
14,1000,0.032302199999999996,1000.0,-101.256,-171.90099999999998,-140.502,True,True,-1,-1.0,-1.0,0.422761611992769,0.4267511353561314,17.282746264842867,tv
15,1000,-0.0136226,1000.0,-101.274,-171.889,-144.34,True,True,-1,-1.0,-1.0,0.5985729977524225,0.43661024823979144,17.54445165973941,tv
16,1000,-0.0179024,1000.0,-103.818,-171.908,-149.845,True,True,-1,-1.0,-1.0,0.598358362726158,0.2918398675096699,18.13364583809234,tv
17,1000,-0.0389689,1000.0,-101.383,-171.905,-144.428,True,True,-1,-1.0,-1.0,0.6004229288414574,0.43695626656239317,16.690054770841265,tv
18,1000,-0.05251030000000001,1000.0,-101.383,-171.908,-144.44,True,True,-1,-1.0,-1.0,0.6006300384239415,0.4369009378538708,16.690596490548877,tv
19,1000,0.030816399999999997,1000.0,-101.355,-171.889,-144.334,True,True,-1,-1.0,-1.0,0.5990689841467131,0.43762520453193987,16.693001320622788,tv
20,1000,0.0810135,1000.0,-99.6401,-171.896,-139.707,True,True,-1,-1.0,-1.0,0.5991485997668482,0.6027670667332816,16.694052465657364,tv
21,1000,-0.059483600000000005,1000.0,-101.486,-171.922,-144.47799999999998,True,True,-1,-1.0,-1.0,0.6002667688918023,0.4370671452661813,16.6771679183438,tv
22,1000,-0.046054199999999997,1000.0,-101.49600000000001,1000.0,-144.47799999999998,False,True,-1,-1.0,-1.0,0.6008167464661377,0.43740202283432894,16.676022935007147,tv
23,1000,-0.11791300000000002,1000.0,-111.34700000000001,1000.0,-147.798,False,True,-1,-1.0,-1.0,0.5992622853071865,0.4853290762595064,16.651110798138408,tv
24,1000,-0.14598599999999998,1000.0,-111.28299999999999,-172.149,-147.778,True,True,-1,-1.0,-1.0,0.5989231403614699,0.48521353126113154,16.64577319224393,tv
25,1000,-0.107897,1000.0,-111.345,1000.0,-147.79,False,True,-1,-1.0,-1.0,0.5992245859862749,0.4853278686619892,16.666772555808613,tv
26,1000,-0.15196800000000002,1000.0,-111.31700000000001,1000.0,-147.805,False,True,-1,-1.0,-1.0,0.6022054787586223,0.48754345235777424,17.618977814337423,tv
27,1000,-0.0144007,1000.0,-108.31,-172.18099999999998,-143.312,True,True,-1,-1.0,-1.0,0.6001565430874912,0.6515098125014518,16.686298224146302,tv
28,1000,-0.0190324,1000.0,-99.61,-172.187,-139.851,True,True,-1,-1.0,-1.0,0.6056008038675423,0.6037287876353071,16.683412367401537,tv
29,1000,-7.6547600000000005,1000.0,-101.43799999999999,-174.11700000000002,-153.17600000000002,True,True,-1,-1.0,-1.0,0.8223985287796075,0.4275194736291764,18.1493465093854,tv
30,1000,-0.10272,1000.0,-101.37799999999999,1000.0,-147.96,False,True,-1,-1.0,-1.0,0.8160442119571529,0.4378019107589568,16.684428902262393,tv
31,1000,-8.85529,1000.0,-111.681,-174.125,-153.332,True,True,-1,-1.0,-1.0,0.6212305705501089,0.4748230342082232,17.28658747415213,tv
32,1000,-8.83325,1000.0,-111.664,-174.123,-153.296,True,True,-1,-1.0,-1.0,0.6201464914998236,0.4747107307439094,17.28990404097122,tv
33,1000,-7.68423,1000.0,-101.49799999999999,-173.918,-153.23,True,True,-1,-1.0,-1.0,0.8222088797414735,0.4269724499931265,17.298611134237774,tv
34,1000,-7.67192,1000.0,-101.515,-173.90900000000002,-153.225,True,True,-1,-1.0,-1.0,0.8227230738251723,0.42726838174787984,17.300004501652523,tv
35,1000,-7.731089999999999,1000.0,-104.389,1000.0,-159.184,False,True,-1,-1.0,-1.0,0.8246973370352226,0.2821009115339641,17.932522517289716,tv
36,1000,-7.65753,1000.0,-104.334,1000.0,-159.091,False,True,-1,-1.0,-1.0,0.824164572426503,0.28253790348812013,17.92695328715032,tv
