frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,1024.2,284.666,0.913034,1041.72,273.012,0.920522,1018.27,275.923,0.874962,1062.29,296.407,0.927172,1000.82,299.318,0.697565,1041.67,364.079,0.935009,-131.314,-53.2734,-33.6218,-124.108,17.1313,147.922,396.074
0,0,1024.26,287.493,0.913105,1041.8,275.839,0.925553,1018.36,278.76,0.884684,1062.35,296.415,0.938287,1000.9,299.32,0.679994,1041.71,364.085,0.937423,-134.97,-49.6676,-33.612,-124.055,13.1829,153.147,396.092
0,0,1024.26,287.498,0.914452,1041.79,275.845,0.925841,1018.36,278.765,0.88473,1062.35,296.424,0.937668,1003.66,299.347,0.67457,1041.71,364.084,0.938183,-134.968,-54.4579,-33.607,-124.043,13.1874,150.099,396.105
0,0,1024.26,287.51,0.919514,1041.81,275.853,0.924442,1018.35,278.808,0.874705,1062.37,296.446,0.925983,1003.71,302.264,0.650043,1041.74,366.788,0.940885,-134.956,-58.0285,-33.5963,-124.212,13.1963,144.333,393.387
0,0,1024.26,287.511,0.919337,1041.81,275.854,0.924027,1018.35,278.808,0.87473,1062.37,296.445,0.925783,1003.71,302.261,0.650843,1041.74,364.091,0.940836,-134.956,-58.0254,-33.5965,-124.209,13.195,144.34,396.086
0,0,1024.28,287.486,0.920425,1041.8,273.048,0.925068,1018.35,278.8,0.87736,1062.33,296.374,0.919658,1003.73,302.267,0.660029,1041.73,366.803,0.935198,-131.348,-58.0813,-39.4853,-124.336,13.1471,144.276,393.376
0,0,1024.28,287.485,0.920882,1041.8,273.048,0.924871,1018.34,278.802,0.876375,1062.33,296.372,0.919932,1003.72,302.277,0.660236,1041.73,366.803,0.935324,-131.351,-58.0846,-39.4881,-124.345,13.146,144.259,393.371
0,0,1024.33,287.491,0.90781,1041.82,273.035,0.924765,1018.38,278.802,0.879173,1062.36,296.377,0.912375,1003.74,302.247,0.693204,1041.74,366.8,0.940678,-131.336,-58.024,-39.5663,-124.413,13.1516,144.373,393.368
0,0,1024.31,287.492,0.910954,1041.81,273.038,0.923401,1018.37,278.807,0.876641,1062.36,296.387,0.911331,1003.74,302.272,0.68005,1041.74,366.803,0.940512,-131.338,-58.0599,-39.5544,-124.4,13.1609,144.31,393.364
0,0,1024.3,284.721,0.908788,1041.81,273.033,0.926554,1018.36,278.78,0.879304,1062.35,296.402,0.907223,1003.7,299.437,0.696459,1041.75,366.825,0.941963,-131.305,-54.6323,-33.7178,-134.988,17.0671,144.46,393.329
0,0,1024.31,284.706,0.907725,1041.82,273.023,0.926782,1018.36,278.775,0.87833,1062.34,296.406,0.898746,1003.71,302.24,0.698804,1041.75,366.83,0.939252,-131.28,-58.0281,-33.7129,-135.064,17.0981,139.584,393.314
0,0,1024.25,287.497,0.922857,1041.78,273.055,0.924456,1018.32,278.802,0.880682,1062.34,296.442,0.908289,1000.88,302.265,0.697916,1041.74,366.862,0.94729,-131.312,-53.3845,-39.4834,-124.312,13.2168,147.71,393.277
0,0,1024.25,287.517,0.92271,1041.78,275.827,0.923085,1018.32,278.818,0.881708,1062.33,296.424,0.913533,1000.89,302.249,0.695617,1041.74,366.867,0.947003,-134.937,-53.359,-33.6949,-124.284,13.1638,147.76,393.288
0,0,1024.26,284.715,0.912151,1041.78,273.04,0.922002,1018.33,278.795,0.870892,1062.35,296.463,0.9006,1000.9,302.28,0.678101,1041.71,366.87,0.937876,-131.282,-53.4129,-33.673,-135.062,17.142,143.065,393.271
0,0,1024.26,287.485,0.914524,1041.78,273.049,0.921704,1018.32,278.803,0.870572,1062.35,296.464,0.903937,1000.88,302.278,0.678874,1041.71,366.866,0.938765,-131.297,-53.3987,-39.4773,-124.375,13.2635,147.671,393.298
