frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,563.523,267.086,0.929639,575.346,266.936,0.910955,554.625,261.134,0.855165,595.677,293.557,0.911663,534.126,275.919,0.686437,551.867,363.826,0.922599,-127.369,-35.8017,-0.726862,-146.225,39.4638,163.275,443.299
0,0,563.524,267.085,0.929382,575.346,266.934,0.90992,554.625,261.134,0.854904,595.68,293.558,0.910038,534.128,275.915,0.685342,551.866,363.823,0.922997,-127.37,-35.7973,-0.731147,-146.227,39.4635,163.28,443.301
0,0,569.352,267.133,0.956694,578.207,266.976,0.891572,554.786,261.183,0.85772,595.752,293.583,0.899921,534.183,278.802,0.77,551.912,363.787,0.91358,-123.403,-40.5358,-1.02017,-157.777,45.0526,161.645,443.286
0,0,569.361,267.116,0.957227,578.203,266.96,0.88947,554.786,261.176,0.854395,595.753,293.59,0.900023,534.174,278.819,0.775803,554.613,363.79,0.912684,-123.386,-40.5605,-1.00765,-157.829,45.0896,161.603,443.283
0,0,572.16,267.031,0.968235,581.094,264.164,0.857105,557.588,258.28,0.841913,595.879,293.587,0.907117,534.157,278.84,0.792847,554.663,363.813,0.909681,-116.678,-41.265,-17.7922,-149.017,48.2307,162.738,443.278
0,0,572.164,267.049,0.970813,581.104,264.185,0.860343,557.583,258.299,0.845049,595.887,293.597,0.908349,534.133,278.865,0.797506,554.667,363.817,0.908765,-116.685,-41.2507,-17.7655,-149.032,48.2158,162.742,443.252
0,0,572.211,266.983,0.968666,583.975,264.095,0.839428,557.608,258.254,0.835332,598.624,293.555,0.905068,534.211,281.712,0.788957,554.719,363.807,0.910364,-116.438,-45.0744,-13.7901,-149.129,45.1722,158.813,443.275
0,0,572.227,266.983,0.968808,584.001,264.108,0.838485,557.639,258.234,0.834279,598.628,293.579,0.908067,537.017,281.685,0.786125,554.714,363.808,0.910763,-116.396,-48.6731,-13.7219,-149.048,45.2106,157.337,443.276
0,0,572.251,267.071,0.981732,584.03,266.906,0.865766,560.51,261.165,0.85548,598.652,293.567,0.926508,537.116,281.777,0.795363,557.561,363.793,0.906381,-118.742,-41.3834,-0.803944,-153.296,45.1032,157.289,443.331
0,0,572.249,267.071,0.980923,584.026,266.905,0.865574,560.509,261.165,0.854332,598.651,293.558,0.929002,537.11,281.773,0.796147,557.559,363.793,0.906097,-118.753,-41.3716,-0.807611,-153.296,45.0926,157.296,443.338
0,0,572.318,267.117,0.99702,586.943,266.956,0.880185,560.574,261.217,0.863928,598.684,293.623,0.905055,540,284.64,0.801283,557.627,363.779,0.903144,-113.762,-48.7067,-0.630141,-153.324,45.1517,151.533,443.33
0,0,572.317,267.133,0.993869,586.927,266.979,0.882186,560.593,261.23,0.866431,598.673,296.355,0.910896,540.009,284.626,0.803867,557.624,363.779,0.903232,-111.795,-48.6582,-0.603297,-153.276,47.9519,151.567,443.333
0,0,572.38,267.101,1.00387,589.813,266.937,0.877436,563.431,261.232,0.855275,598.73,293.639,0.89221,540.038,284.717,0.819314,560.497,363.792,0.893341,-108.468,-45.1118,-0.539609,-146.743,45.2032,151.424,443.335
0,0,572.389,267.096,1.00349,589.822,266.933,0.875065,563.43,261.231,0.852023,598.738,296.372,0.887765,540.04,284.727,0.820695,560.504,363.791,0.891661,-106.849,-45.1289,-0.537189,-146.791,48.0121,151.409,443.339
0,0,572.35,267.04,0.999567,586.997,264.129,0.854876,560.549,261.229,0.830989,598.755,293.621,0.898183,542.901,287.497,0.791999,560.565,363.82,0.892018,-111.736,-56.1068,-11.2405,-153.786,45.1909,145.213,443.29
0,0,572.375,267.048,1.0023,589.833,264.159,0.860496,560.591,261.215,0.833833,598.757,293.635,0.892058,542.916,284.717,0.790204,560.557,363.818,0.892648,-106.845,-53.0554,-9.39838,-153.666,45.2219,149.045,443.298
0,0,575.125,267.121,0.995387,589.941,266.944,0.883537,563.514,261.232,0.847881,598.832,293.536,0.893638,545.752,287.508,0.815385,563.444,363.795,0.896796,-108.487,-55.9421,-0.685772,-153.104,48.0931,145.238,443.344
0,0,575.13,267.121,0.998163,592.712,266.952,0.886372,563.521,261.224,0.848657,598.836,293.533,0.891968,545.757,287.501,0.812074,563.443,363.793,0.897003,-102.975,-55.9396,-0.551646,-153.072,48.09,145.246,443.344
0,0,575.212,267.092,1.00683,592.8,266.908,0.895245,566.431,261.215,0.850947,601.585,293.518,0.863039,545.867,284.726,0.812501,566.354,363.802,0.906904,-108.269,-48.8259,-0.599135,-146.206,45.0576,148.997,443.324
0,0,575.208,267.092,1.00719,592.795,266.909,0.895842,566.428,261.22,0.850696,601.582,293.517,0.865676,545.867,287.493,0.812563,566.35,363.8,0.90614,-108.275,-51.9529,-0.596097,-146.22,45.055,145.19,443.334
0,0,575.37,267.107,0.982466,595.656,266.979,0.919224,569.395,261.239,0.869276,601.71,293.611,0.85156,545.916,287.581,0.835935,569.258,361.101,0.918229,-102.809,-48.289,-0.362014,-135.515,45.1769,145.196,446.065
0,0,575.372,267.108,0.980974,595.659,266.982,0.918469,569.392,261.235,0.868558,601.714,293.621,0.85345,545.903,287.584,0.836346,569.253,361.101,0.917401,-102.804,-48.2831,-0.354663,-135.523,45.1865,145.208,446.063
0,0,578.152,266.998,0.962921,595.746,264.171,0.890936,572.139,258.312,0.846802,604.561,293.558,0.81366,548.702,284.723,0.819531,569.341,361.099,0.930244,-106.698,-48.415,-9.12801,-124.694,45.1628,148.957,445.993
0,0,578.154,267.004,0.961913,595.745,264.179,0.890253,572.142,258.315,0.847891,604.559,293.569,0.813082,548.694,284.727,0.820885,569.339,361.099,0.929712,-106.695,-48.4025,-9.12047,-124.679,45.1731,148.968,445.998
0,0,581.089,267.127,0.933774,595.839,266.972,0.913693,572.338,261.231,0.878067,607.489,293.557,0.805135,548.888,284.647,0.854649,572.146,361.111,0.942676,-113.665,-44.958,-0.600677,-146.033,45.0335,151.45,445.983
0,0,581.081,267.125,0.936111,595.841,266.967,0.916716,572.332,261.233,0.877452,607.511,293.536,0.810513,548.889,284.658,0.851279,572.142,361.113,0.940909,-113.714,-44.9774,-0.612306,-146.041,44.9786,151.425,446.007
0,0,586.912,267.125,0.93087,598.624,266.976,0.911897,575.138,261.244,0.8743,610.458,293.545,0.793434,551.7,284.635,0.852338,572.22,361.089,0.952248,-114.01,-44.9412,-0.726154,-153.46,48.2917,153.56,445.936
0,0,584.07,267.122,0.931957,598.606,266.98,0.915093,575.119,264.019,0.876116,610.426,293.569,0.79701,551.685,284.644,0.853345,572.217,361.091,0.950496,-113.968,-41.3511,-0.557637,-160.881,45.0984,151.585,445.936
0,0,589.861,269.897,0.939205,598.68,267.079,0.924988,575.27,264.095,0.892815,613.33,293.634,0.809495,551.805,284.64,0.868633,572.3,361.099,0.954798,-118.885,-41.2033,-17.7209,-158.317,45.3257,158.824,445.87
0,0,589.89,269.902,0.93877,598.691,267.086,0.920731,575.289,264.103,0.890843,613.348,293.646,0.806851,551.813,284.653,0.872164,572.302,361.103,0.954533,-118.892,-41.1982,-17.7424,-158.338,45.3467,158.824,445.861
0,0,592.721,269.914,0.939598,598.77,267.105,0.910637,578.105,264.096,0.879439,616.23,296.384,0.82695,554.698,284.601,0.829049,572.37,361.081,0.949923,-120.809,-41.2203,-24.9123,-158.293,48.3904,158.88,445.954
0,0,592.72,269.915,0.939242,598.768,267.104,0.910894,578.102,264.097,0.879946,616.23,296.38,0.826612,554.695,284.601,0.830173,572.371,361.081,0.950255,-120.815,-41.2175,-24.9285,-158.296,48.3837,158.883,445.955
