frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
112834,0,-122.426,-63.4654,-9.51766,-179.309,37.4851,134.901,10.3458,6.15504,2.28176,4.96794,0.96003,-0.74769,625.185,1,1
287395,0,-122.474,-53.7806,-8.21101,-178.996,35.6066,134.731,10.5832,5.11331,3.0766,6.25719,0.262516,-0.743152,628.034,1,1
391734,0,-122.469,-53.7723,-8.21622,-178.972,35.6101,134.741,10.5843,5.11282,3.07645,6.25733,0.26248,-0.743155,628.031,1,1
511354,0,-127.5,-53.5775,-0.758565,-178.297,34.7706,134.894,8.50533,4.17928,2.33573,6.53055,0.266644,-0.770359,630.966,1,1
655399,0,-127.511,-56.4393,-0.769428,-178.267,34.7545,131.838,8.50633,4.18108,2.33774,7.52009,0.26643,-0.770696,630.976,1,1
797885,0,-124.957,-65.8834,-0.69121,-178.972,37.4902,127.968,9.63817,5.12927,2.2942,6.27594,0.563032,-0.76666,633.924,1,1
910086,0,-124.937,-65.9087,-0.675243,-178.941,37.5068,127.939,9.64233,5.1293,2.29589,6.27986,0.56221,-0.766708,633.917,1,1
1061779,0,-128.229,-66.2524,-0.750299,-178.717,37.6681,127.889,10.7661,4.23888,1.65534,6.44347,0.596845,-0.782332,636.805,1,1
1222657,0,-128.23,-66.2543,-0.757339,-178.711,37.6663,127.89,10.7664,4.23956,1.65536,6.44402,0.597094,-0.782313,636.802,1,1
1359500,0,-124.886,-77.0341,-0.908284,-179.302,42.1946,128.092,9.94267,5.31046,1.06439,5.67292,1.62046,-0.7888,639.715,1,1
1490728,0,-124.912,-77.0508,-0.931182,-179.304,42.172,128.047,9.95834,5.30552,1.06564,5.67667,1.6162,-0.788823,639.698,1,1
1559050,0,-122.544,-71.6866,-13.4452,-166.341,42.276,131.017,11.8462,4.49089,1.18966,6.28116,1.18625,-0.783704,639.776,1,1
1598304,0,-122.562,-71.7342,-13.447,-166.3,42.2519,130.956,11.8512,4.49027,1.19175,6.28942,1.18426,-0.783774,639.78,1,1
1673262,0,-122.37,-77.0858,-13.4928,-169.057,42.3792,131.047,11.5854,5.51163,1.16985,5.86489,1.74225,-0.766126,639.83,1,1
1752726,0,-122.392,-77.101,-13.5235,-169.079,42.3663,131.047,11.5872,5.51106,1.16816,5.86263,1.74408,-0.766113,639.831,1,1
1819708,0,-122.409,-78.3895,-10.9108,-169.153,39.9393,127.834,11.183,6.52386,1.70985,6.80254,1.67266,-0.73925,642.59,1,1
1921673,0,-122.433,-78.41,-10.9137,-169.159,39.9229,127.817,11.191,6.52426,1.71017,6.80151,1.67251,-0.739174,642.594,1,1
1965134,0,-122.48,-78.6302,-0.594679,-179.369,40.1005,121.112,11.0282,6.4639,2.32466,6.74392,1.03607,-0.748533,642.606,1,1
2046424,0,-118.773,-78.6233,-0.578974,-179.49,42.2376,124.931,9.99284,7.61078,2.29043,6.60991,1.5512,-0.733517,642.615,1,1
2131144,0,-124.978,-73.7574,-0.568216,-179.034,37.4935,120.691,9.9559,5.36778,2.37615,7.28615,0.601484,-0.766329,642.601,1,1
2261423,0,-124.916,-78.7079,-0.545816,-179.298,37.5422,120.811,9.74912,6.41773,2.32747,6.80948,1.01579,-0.75018,642.594,1,1
2407959,0,-122.445,-73.6019,-0.400458,-178.961,40.1419,120.802,10.5205,5.01611,2.2299,6.78698,0.557322,-0.714447,642.561,1,1
2583474,0,-124.897,1000,-0.379796,-178.866,37.5322,1000,9.28338,4.98168,2.24082,-1,0.540524,-0.715938,639.8,1,0
2727174,0,-124.903,1000,-0.38063,-178.866,37.5299,1000,9.28472,4.98041,2.2404,-1,0.540313,-0.715969,639.802,1,0
2877754,0,-128.406,1000,-0.430061,-153.036,37.5864,1000,11.0542,3.36941,1.70734,-1,0.329726,-0.756479,636.887,1,0
2935155,0,-128.396,1000,-0.439241,-153.087,37.5868,1000,11.044,3.37309,1.70738,-1,0.330764,-0.756366,636.887,1,0
3108762,0,-128.545,-86.1379,-0.398131,-134.349,35.4867,97.8107,11.1403,3.37161,2.45406,17.2127,0.13088,-0.756397,631.021,1,1
3177772,0,-128.548,-86.1612,-0.404826,-134.527,35.4816,97.7997,11.1292,3.37197,2.45186,17.1992,0.130996,-0.756385,631.007,1,1
3234110,0,-128.479,1000,-0.294705,-132.781,33.8015,1000,10.7938,4.16395,3.18168,-1,0.126221,-0.733503,628.068,1,0
