,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,lear,rear,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,orientation
0,-131.314,-53.2734,-33.6218,-124.10799999999999,17.1313,147.922,True,True,2.4501757878578156,1.409778023803638,1.1178873543832701,2.1506802390462303,0.28177802380363437,16.692904530466535,up
1,-134.97,-49.6676,-33.611999999999995,-124.055,13.1829,153.14700000000002,True,True,2.135045080435856,1.4086773805075519,1.1196068489138853,1.8368591135392822,0.2804280041000571,15.579302192419942,up
2,-134.968,-54.4579,-33.607,-124.04299999999999,13.1874,150.099,True,True,2.136324562931541,1.407433130104385,1.1186258921245582,1.6149978515797605,0.2804188005705553,15.576470622688436,up
3,-134.95600000000002,-58.0285,-33.5963,-124.212,13.1963,144.333,True,True,2.152550157986909,1.4212559769387305,1.128375236090664,1.9434133207248854,0.2812825639891496,16.753354035593464,up
4,-134.95600000000002,-58.0254,-33.5965,-124.209,13.195,144.34,True,True,2.137674345975358,1.4115563690713535,1.1206862878263728,1.9298152648667166,0.27940979736723637,15.577543260807014,up
5,-131.34799999999998,-58.0813,-39.4853,-124.336,13.1471,144.276,True,True,2.454606218986415,1.4820121308874894,1.3102127328560949,1.9432921403440968,0.28118516635483365,16.766882039066978,up
6,-131.351,-58.0846,-39.4881,-124.345,13.145999999999999,144.259,True,True,2.454400237943314,1.483281980623881,1.3101559825203173,1.9442715019663335,0.2813580284260893,16.767498427692964,up
7,-131.336,-58.023999999999994,-39.5663,-124.413,13.1516,144.373,True,True,2.4575983913282156,1.4812895024506243,1.3088915112566328,1.9421956666531064,0.28192740894022533,16.760452250818588,up
8,-131.338,-58.0599,-39.5544,-124.4,13.1609,144.31,True,True,2.4594988382261658,1.4813632182914482,1.3096473393599828,1.943856390010267,0.2814513402344885,16.763200549618183,up
9,-131.305,-54.6323,-33.7178,-134.988,17.0671,144.46,True,True,2.4610485395178014,1.482043045389474,1.1268160852619546,1.6312736894559026,0.1794403184102867,17.91266170559506,up
10,-131.28,-58.0281,-33.7129,-135.064,17.0981,139.584,True,True,2.4607186344752563,1.483438433414515,1.1265619555876463,1.9455923892869331,0.17944761945925894,17.920808758396614,up
11,-131.312,-53.3845,-39.4834,-124.31200000000001,13.2168,147.71,True,True,2.465604062785258,1.4834318025208608,1.3117275202973968,2.1731908273303557,0.28165370718348465,16.7940238686727,up
12,-134.937,-53.358999999999995,-33.6949,-124.28399999999999,13.1638,147.76,True,True,2.1524656460405596,1.4221580139744827,1.1288343402290406,2.16842787219545,0.2818227380443838,16.787500762799766,up
13,-131.282,-53.4129,-33.673,-135.062,17.142,143.065,True,True,2.4709725075075326,1.4824955946408376,1.1271007142657312,2.174963638305393,0.17853159780405603,17.936604847547894,up
14,-131.297,-53.3987,-39.4773,-124.375,13.2635,147.671,True,True,2.4698501517932856,1.483557292434734,1.3103257479061645,2.1745069260459067,0.28136609898855214,16.79603166301379,up
15,-131.181,-53.338,-33.5861,-124.18,17.2475,147.82,True,True,2.4715546402027986,1.422006870230938,1.1262149807648774,2.1783359624298604,0.2841182127228942,17.956018571490322,up
16,-131.16899999999998,-53.3515,-33.5807,-124.211,17.2602,147.793,True,True,2.4707306623477954,1.4231505594780622,1.1268068027245441,2.1786390076097244,0.2838356321809863,17.959194839733232,up
17,-131.22799999999998,-53.2965,-33.6105,-124.109,17.1732,147.895,True,True,2.4666792841905036,1.421984596568939,1.127823468238367,2.1746484544444296,0.2844408666400546,17.93615016946824,up
18,-131.232,-53.3094,-33.6223,-124.156,17.1682,147.874,True,True,2.4665726660666225,1.422070855771337,1.1280118889617743,2.1756276919243436,0.28416145189750713,17.93746388054086,up
19,-127.12100000000001,-53.308,-33.5823,-124.25299999999999,18.527,147.858,True,True,2.1864017734059784,1.4120445068345846,1.1169464393017436,2.1600678257093384,0.2819807813691386,16.49742790741126,up
20,-127.12899999999999,-53.3316,-26.756999999999998,-135.10399999999998,22.5072,143.167,True,True,2.187888802761247,1.4134811653995825,0.9732641363655853,2.159247072992759,0.1780269938619343,17.644327463748546,up
21,-134.714,-57.827,-33.766999999999996,-124.333,13.2617,144.684,True,True,2.13062112983652,1.4117300233541665,1.1188875869469146,1.92834816638263,0.2824572214858308,16.676988603168603,up
22,-130.534,-57.7982,-33.7728,-124.277,14.241,144.732,True,True,1.8581855960574118,1.4115862110753772,1.1189746898400836,1.9262875461389708,0.28284667723676093,16.67131591624041,up
23,-130.636,-58.1007,-33.7853,-135.099,14.2004,139.512,True,True,1.865215462918083,1.475136219502334,1.1206580955122007,1.935429666040556,0.17854784951122704,16.660924576365325,up
24,-130.631,-58.0979,-33.7856,-135.102,14.2054,139.52200000000002,True,True,1.8654379148331361,1.47393336665883,1.1206074230041896,1.9344949317458298,0.1782485148689805,16.661939193573247,up
25,-122.29799999999999,-61.1101,-38.4525,-135.025,21.6528,142.869,True,True,1.9362565738982902,1.4093799960617266,0.8920065537019852,2.2810723078321278,0.38379167760633415,16.453398523649867,up
26,-122.319,-61.1309,-38.4658,-135.054,21.6361,142.849,True,True,1.9358678200237809,1.4106590721475163,0.8921678813689835,2.28089003557012,0.384005422612902,16.451104291892094,up
27,-126.988,-66.0878,-38.7555,-135.30700000000002,19.9784,139.444,True,True,2.1682343224992207,1.408766992742183,0.8822715077311498,2.0964545686336407,0.39215489050173197,16.42448883811929,up
28,-127.03200000000001,-66.1511,-38.7804,-135.32,19.9444,139.357,True,True,2.1700139497194226,1.4077342030661184,0.8819816906777241,2.0991899191441417,0.39192178715949455,16.42152707018026,up
29,-134.965,-73.3687,-52.6743,-143.247,16.8459,134.82299999999998,True,True,2.148970826506562,1.09365414667027,0.545882876855849,2.3564316874225337,0.5370862077235506,15.131091632943129,up
30,-134.988,-71.4619,-52.6899,-143.054,16.7926,139.382,True,True,2.139537008796458,1.089797178767287,0.5454134668794263,1.951362930102907,0.5375430077663409,15.105354444186363,up
31,-135.064,-69.6002,-55.6097,-157.79399999999998,23.6025,143.016,True,True,2.134418043715428,1.0946780837137793,0.2926892474041452,1.5781559154175646,0.621878764999393,14.944174349016198,up
32,-135.065,-67.0891,-55.6122,-157.792,23.5983,147.691,True,True,2.1345001994848944,1.0946819579819096,0.2928209282359444,1.2666639311145924,0.6219323796777916,14.944861532245875,up
33,-135.065,-75.8418,-53.3131,-149.19799999999998,16.7697,144.377,True,True,2.143827810689721,1.3997736296924819,0.5398462169765105,1.4726197885890615,0.7314555057246621,14.974868097958101,up
34,-135.066,-75.8428,-53.3117,-149.19899999999998,16.7683,144.375,True,True,2.143718482249038,1.3997853295522582,0.5397856199511639,1.4725862547884259,0.7313656602029772,14.974443949223119,up
35,-142.871,-71.5164,-62.5874,-149.42700000000002,11.5981,156.157,True,True,2.1720217169071545,1.1031429119982112,0.4360038576754283,0.8834370311411338,0.729439693623779,14.96594412600891,up
36,-142.90200000000002,-74.0157,-52.8721,-143.895,10.6015,146.08700000000002,True,True,2.174013052367131,1.1041810904689509,0.540616372799818,1.157719395720914,0.5441215372957429,15.068131629804057,up
37,-144.30100000000002,-81.3806,-30.9888,-146.319,9.821060000000001,128.77700000000002,True,True,1.6426362656278848,1.4007088385835267,0.7325187458522712,1.1024142928700928,0.2804290429126789,15.410027814293374,up
