angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear,orientation
-128.481,-69.922,-14.2298,-171.137,36.9972,134.835,9.28152,5.61653,0.960134,7.71431,2.06555,-0.786675,554.655,1,1,up
-128.48,-69.9205,-14.2295,-171.137,36.9979,134.837,9.28161,5.61653,0.960074,7.71449,2.06564,-0.786673,554.655,1,1,up
-124.937,-70.0818,-18.7838,-179.647,41.772,134.984,8.43763,5.7025,0.588023,7.68452,2.72339,-0.804749,554.658,1,1,up
-124.933,-73.2284,-18.7967,-179.63,41.7792,134.937,8.54958,5.7746,0.595317,6.28372,2.75842,-0.815435,554.65,1,1,up
-124.883,-73.2606,-14.2438,-172.256,39.3002,137.661,8.40571,6.74967,0.96528,6.14458,2.75831,-0.783691,554.632,1,1,up
-124.901,-73.2708,-14.2459,-172.266,39.3005,137.655,8.41121,6.74445,0.963671,6.14058,2.75749,-0.783802,554.627,1,1,up
-127.521,-78.2418,-11.8027,-171.929,33.8402,135.109,7.21082,7.86839,1.4408,5.71447,2.71057,-0.768445,554.621,1,1,up
-127.539,-78.24,-11.8109,-171.933,33.8297,135.113,7.21057,7.8664,1.43974,5.71295,2.71088,-0.768451,554.627,1,1,up
-123.4,-73.3778,-9.73546,-170.971,34.0112,134.898,6.53165,7.91063,2.01562,5.99223,2.04774,-0.768491,554.633,1,1,up
-123.37,-73.378,-9.71046,-170.997,34.044,134.88,6.5353,7.91168,2.01567,5.99787,2.04763,-0.768515,554.632,1,1,up
-118.933,-73.3147,-9.78701,-170.844,36.2278,134.973,6.0618,8.10224,2.06622,6.14173,2.0977,-0.769269,554.625,1,1,up
-118.969,-73.3285,-9.79457,-170.866,36.2153,134.964,6.06871,8.10193,2.06518,6.1397,2.09842,-0.769182,554.623,1,1,up
-116.637,-73.3081,-18.1351,-170.816,36.2248,134.987,7.05062,8.1563,2.2211,6.14407,2.09873,-0.768544,554.633,1,1,up
-116.632,-73.2939,-18.1363,-170.797,36.2234,135.008,7.04832,8.15575,2.22136,6.1402,2.09855,-0.768529,554.629,1,1,up
-116.669,-73.2532,-18.0351,-171.951,36.1534,137.795,6.79261,9.10667,2.15475,5.90124,2.65527,-0.754655,554.629,1,1,up
-116.667,-73.2488,-18.0236,-171.952,36.1583,137.796,6.79276,9.10707,2.15483,5.90169,2.65514,-0.754645,554.627,1,1,up
-116.637,-71.56,-17.9749,-171.91,36.1636,140.914,6.85412,9.21056,2.18033,5.0086,2.68407,-0.746323,554.638,1,1,up
-116.639,-71.5469,-17.9766,-171.888,36.1525,140.938,6.85092,9.2132,2.18113,5.00725,2.68512,-0.746224,554.641,1,1,up
-116.638,-71.6389,-8.5811,-179.342,36.97,135.097,6.73847,9.00658,2.61264,4.89772,1.94451,-0.76279,554.656,1,1,up
-116.61,-71.6362,-9.8451,-179.439,39.211,137.828,6.74944,9.01111,1.9846,4.90551,2.5775,-0.763105,554.668,1,1,up
-116.65,-71.6032,-8.58186,-179.316,36.9672,135.135,6.81624,9.09681,2.64121,4.93918,1.96209,-0.754506,554.644,1,1,up
-116.614,-71.5854,-9.85486,-179.401,39.2,137.887,6.81688,9.09953,2.00556,4.94473,2.60147,-0.754882,554.642,1,1,up
-120.762,-71.6289,-10.0633,-179.324,36.9574,135.162,7.51983,7.97427,2.01964,5.01726,2.00274,-0.767643,554.619,1,1,up
-120.782,-71.6386,-10.0805,-179.307,36.9264,135.175,7.51504,7.97504,2.02111,5.00789,2.00189,-0.767642,554.615,1,1,up
-120.69,-71.6103,-10.0278,-179.308,37.0125,135.172,7.53249,7.98124,2.02458,5.01768,2.0012,-0.767949,551.89,1,1,up
-120.729,-71.5934,-10.033,-179.3,36.9827,135.191,7.53151,7.97702,2.02439,5.01006,1.99936,-0.767966,551.892,1,1,up
-118.613,-71.6491,-18.6193,-179.361,36.881,135.136,8.5926,8.10987,2.17672,5.0027,1.99682,-0.766347,551.904,1,1,up
-118.613,-71.6279,-18.6264,-179.346,36.8737,135.155,8.58798,8.10858,2.17677,5.00192,1.9964,-0.766351,551.907,1,1,up
-120.792,-71.5507,-10.1591,-179.283,36.8565,135.227,7.4885,7.97414,2.02376,5.00935,1.99947,-0.767965,551.9,1,1,up
-116.608,-71.5599,-10.1548,-179.293,39.1633,135.215,6.99281,8.0694,2.04783,5.07069,2.02337,-0.777259,551.9,1,1,up
-125.694,-59.687,-44.6216,-141.197,18.0286,161.879,5.05192,5.62363,2.24184,4.47773,2.80724,-0.755076,1138.79,1,1,up
-119.98,-54.1051,-38.4802,-135.093,18.2459,161.757,4.45895,5.60502,2.83117,5.10038,2.19912,-0.755884,1138.82,1,1,up
-119.978,-54.1176,-38.471,-135.109,18.2692,161.734,4.39655,5.52221,2.78835,5.02647,2.16575,-0.766927,1138.83,1,1,up
-113.583,-49.0216,-33.7461,-127.171,18.2785,161.902,3.9209,5.49856,3.4999,5.77247,1.70667,-0.767231,1138.82,1,1,up
-113.576,-49.0203,-33.7411,-127.174,18.2876,161.901,3.92119,5.49853,3.49959,5.772,1.70632,-0.767268,1138.82,1,1,up
-113.566,-49.0271,-33.7784,-127.23,18.2661,161.84,3.91846,5.4978,3.49913,5.7849,1.70463,-0.767284,1138.82,1,1,up
-113.54,-49.0197,-33.7776,-127.232,18.2762,161.846,3.91772,5.49844,3.49933,5.785,1.70477,-0.767323,1138.82,1,1,up
-113.485,-49.0088,-33.7566,-127.23,18.3308,161.82,3.97977,5.58195,3.55155,5.88558,1.73007,-0.756218,1138.81,1,1,up
-113.468,-49.0344,-33.753,-127.269,18.3668,161.775,3.98517,5.58535,3.55106,5.89334,1.73022,-0.756112,1138.81,1,1,up
-113.509,-49.0386,-26.9141,-135.174,23.6489,156.52,3.92473,5.51442,3.04226,5.79816,1.25007,-0.766767,1138.81,1,1,up
-113.503,-49.014,-26.9358,-135.124,23.6389,156.533,3.92398,5.50991,3.04258,5.80527,1.2499,-0.766796,1138.81,1,1,up
-116.705,-49.092,-26.9508,-135.276,18.4394,156.466,3.09519,5.51226,3.03824,5.78974,1.24906,-0.766471,1138.82,1,1,up
-116.707,-49.0978,-26.9571,-135.29,18.4246,156.458,3.09259,5.51152,3.03791,5.78761,1.24849,-0.766562,1138.81,1,1,up
-116.79,-49.1773,-26.9073,-135.325,18.495,156.361,3.10834,5.50739,3.03478,5.78199,1.24456,-0.766742,1138.84,1,1,up
-116.778,-49.1759,-26.9027,-135.341,18.5157,156.356,3.11097,5.50869,3.03481,5.78354,1.24453,-0.766663,1138.85,1,1,up
-123.463,-54.1509,-22.2992,-153.03,23.9335,151.324,3.58714,5.5311,1.99696,5.05882,1.37314,-0.766416,1138.81,1,1,up
-119.697,-54.2621,-21.8461,-165.066,28.9802,146.744,4.34005,5.51675,1.95164,5.00434,1.15749,-0.776105,1138.83,1,1,up
-119.696,-54.2606,-21.8446,-165.065,28.9793,146.746,4.33978,5.51718,1.95185,5.00448,1.15753,-0.776092,1138.82,1,1,up
-119.564,-63.0609,-12.0361,-168.424,33.5368,142.499,4.23527,6.48409,1.69975,5.16449,1.68396,-0.770554,1138.87,1,1,up
-119.559,-63.0455,-12.0602,-168.402,33.5236,142.526,4.23176,6.48479,1.69992,5.16188,1.68472,-0.770517,1138.86,1,1,up
-119.477,-68.9386,-11.9568,-170.425,33.7057,142.276,4.17317,7.6145,1.6604,4.64568,2.31031,-0.754923,1141.59,1,1,up
-119.472,-63.2067,-11.9497,-168.622,33.7228,142.286,4.26306,6.47557,1.6942,5.18517,1.68158,-0.770881,1141.6,1,1,up
-111.046,-63.2017,-21.6818,-168.638,36.6037,142.287,4.78696,6.61604,1.894,5.26306,1.7073,-0.780791,1141.58,1,1,up
-116.529,-63.1818,-21.673,-168.638,33.7228,142.292,5.14053,6.52412,1.86814,5.19303,1.68298,-0.770419,1141.59,1,1,up
-110.994,-63.2444,-21.6095,-168.668,36.6294,142.23,4.78804,6.62438,1.89915,5.26567,1.70497,-0.780803,1141.59,1,1,up
-110.974,-63.2106,-21.603,-168.661,36.6551,142.248,4.78844,6.62206,1.89787,5.27026,1.70496,-0.780816,1141.57,1,1,up
-110.904,-58.196,-21.5641,-168.592,36.774,144.882,4.74564,6.52577,1.87265,5.75251,1.67844,-0.770549,1141.57,1,1,up
-110.9,-63.1913,-21.5386,-168.589,36.7942,142.209,4.81782,6.61175,1.89962,5.28882,1.69795,-0.781162,1141.57,1,1,up
-108.89,-66.073,-30.9698,-170.586,36.7033,141.229,5.62723,7.71694,2.09981,6.02547,2.28217,-0.76183,1141.58,1,1,up
-108.889,-66.0662,-30.9737,-170.597,36.7016,141.238,5.62654,7.71943,2.09971,6.02426,2.2835,-0.761753,1141.59,1,1,up
-105.682,-71.3151,-38.3043,-170.803,41.0836,138.238,8.23188,8.20696,2.55939,5.80375,2.34058,-0.759372,1141.6,1,1,up
-105.685,-71.3159,-38.3053,-170.804,41.0763,138.238,8.23103,8.20766,2.5599,5.80323,2.3405,-0.759351,1141.6,1,1,up
-105.602,-66.1442,-30.783,-170.734,44.8933,141.119,8.31277,7.96447,2.1477,6.25492,2.36577,-0.741898,1141.69,1,1,up
-105.602,-66.1682,-30.7936,-170.774,44.924,141.076,8.31911,7.96245,2.14447,6.26692,2.36709,-0.741956,1141.69,1,1,up
-114.523,-73.1963,-44.1913,-172.263,44.9182,137.686,9.54313,6.78378,1.17708,7.15998,3.20958,-0.757721,1141.64,1,1,up
-114.513,-73.2046,-44.213,-172.256,44.9342,137.671,9.5442,6.77761,1.17657,7.16153,3.20695,-0.757953,1141.63,1,1,up
-114.567,-73.218,-33.3349,-179.718,48.0822,134.859,9.50081,6.74088,0.86419,7.18119,3.13519,-0.758634,1141.6,1,1,up
