angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear,orientation
-135.039,-66.4857,-62.9901,-153.295,18.4132,155.991,7.35567,4.88086,1.50294,4.40621,3.35401,-0.723223,1041.73,1,1,center
-135.037,-66.4889,-62.9919,-153.301,18.4182,155.983,7.35605,4.88079,1.5027,4.40696,3.35387,-0.723231,1041.73,1,1,center
-135.063,-60.1318,-63.0397,-153.211,18.2852,158.196,7.22543,4.8098,1.48774,4.83982,3.30881,-0.710825,1041.72,1,1,center
-135.076,-60.1426,-63.0574,-153.223,18.2624,158.186,7.22409,4.81049,1.48845,4.83991,3.30917,-0.71079,1041.73,1,1,center
-135.078,-60.1513,-63.0599,-153.232,18.2582,158.17,7.22684,4.81168,1.48926,4.84231,3.30907,-0.710721,1041.73,1,1,center
-131.056,-54.438,-59.0865,-141.665,12.4478,163.207,6.40713,4.88839,2.51927,5.57542,3.08986,-0.695979,1041.69,1,1,center
-131.055,-54.4404,-59.081,-141.665,12.4544,163.203,6.40858,4.88851,2.51913,5.57553,3.08951,-0.695994,1041.69,1,1,center
-130.985,-50.3321,-59.1089,-148.913,12.4894,163.265,6.36759,5.07245,2.50533,4.63558,2.58454,-0.692875,1041.67,1,1,center
-130.996,-50.3181,-59.1133,-148.91,12.4714,163.273,6.37365,5.07752,2.50895,4.63994,2.58668,-0.693406,1038.96,1,1,center
-135.014,-50.2212,-67.9029,-146.305,7.39176,169.363,5.57778,4.97489,2.21892,4.7456,3.94574,-0.683273,1038.92,1,1,center
-135.024,-50.2235,-67.9032,-146.308,7.38339,169.361,5.57744,4.97398,2.21876,4.74384,3.94443,-0.68332,1038.91,1,1,center
-135.024,-50.2281,-67.9029,-146.311,7.3852,169.359,5.57806,4.97431,2.21884,4.74313,3.94444,-0.683312,1038.92,1,1,center
-135.029,-45.232,-67.9093,-146.322,7.32484,170.207,5.56451,4.97617,2.22007,5.55389,3.94499,-0.658607,1038.89,1,1,center
-135.028,-45.2297,-67.9164,-146.316,7.32556,170.212,5.56459,4.97488,2.21997,5.55365,3.94513,-0.658641,1038.89,1,1,center
-134.959,-45.166,-67.9221,-146.34,7.3785,170.215,5.55501,4.97403,2.21658,5.56417,3.94489,-0.658671,1038.84,1,1,center
-134.947,-45.1629,-67.927,-146.344,7.38926,170.214,5.55525,4.97418,2.21647,5.56514,3.94519,-0.658679,1038.84,1,1,center
-134.965,-45.1978,-59.2003,-141.645,6.66556,169.387,5.56534,4.97076,2.57486,5.55272,3.1441,-0.658535,1038.83,1,1,center
-134.968,-45.1852,-59.2,-141.625,6.6531,169.408,5.56423,4.97092,2.57584,5.55291,3.14557,-0.658512,1038.84,1,1,center
-134.985,-45.2284,-53.7152,-148.881,12.4758,164.715,5.47618,4.88848,1.89279,5.46622,2.59649,-0.672333,1038.84,1,1,center
-134.993,-45.2148,-53.7075,-148.878,12.4625,164.73,5.47502,4.89011,1.89349,5.46421,2.59691,-0.672277,1038.84,1,1,center
-134.992,-45.2202,-53.7114,-148.88,12.4649,164.727,5.39142,4.8149,1.86427,5.38041,2.55723,-0.685021,1038.84,1,1,center
-135.025,-45.2358,-53.6788,-148.876,12.4369,164.711,5.4749,4.891,1.8944,5.46324,2.59492,-0.672229,1038.82,1,1,center
-135.03,-45.2557,-53.6679,-148.882,12.4384,164.689,5.47615,4.88999,1.89449,5.46217,2.59268,-0.672307,1038.82,1,1,center
-135.002,-49.3898,-53.5993,-141.59,12.5069,164.697,5.49336,4.81885,1.89617,6.39663,3.09245,-0.673513,1038.83,1,1,center
-135.011,-49.3875,-53.6193,-141.585,12.4898,164.715,5.49204,4.81875,1.89648,6.39355,3.09428,-0.673509,1038.84,1,1,center
-134.962,-50.1848,-63.3492,-153.057,13.9451,164.697,5.48268,4.89208,1.53655,4.66958,3.37878,-0.696742,1038.82,1,1,center
-134.982,-50.2139,-53.6419,-148.903,12.5318,163.307,5.48609,4.89085,1.89125,4.66535,2.59343,-0.69657,1038.81,1,1,center
