angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear,orientation
1000.0,-26.6539,-90.229,-128.826,1000.0,176.23,-1.0,1.35864,2.10625,15.4705,3.49093,-0.76022,988.99,0,1,right
1000.0,-26.6543,-90.2304,-128.828,1000.0,176.228,-1.0,1.35869,2.10608,15.4708,3.49087,-0.760229,988.992,0,1,right
1000.0,-24.9461,-90.3541,-121.344,1000.0,176.221,-1.0,0.803719,2.19582,18.2699,3.03124,-0.794491,988.993,0,1,right
1000.0,-24.9128,-90.3715,-121.324,1000.0,176.251,-1.0,0.802352,2.19496,18.2788,3.03248,-0.794626,988.99,0,1,right
1000.0,-24.7915,-90.3517,-121.122,1000.0,176.389,-1.0,0.795008,2.20792,18.3001,3.03692,-0.795008,989.048,0,1,right
1000.0,-24.7388,-90.3201,-112.518,1000.0,176.192,-1.0,0.389357,2.31046,19.1704,2.72719,-0.830787,989.063,0,1,right
1000.0,-24.7967,-90.4642,-112.547,1000.0,176.107,-1.0,0.389242,2.33952,19.417,2.75355,-0.840899,991.874,0,1,right
1000.0,-24.8093,-90.4803,-112.563,1000.0,176.092,-1.0,0.389089,2.33921,19.4132,2.75253,-0.840931,991.873,0,1,right
1000.0,-24.7907,-100.883,-120.977,1000.0,176.35,-1.0,0.388323,2.41392,19.2372,3.17061,-0.83087,991.918,0,1,right
1000.0,-24.7878,-100.876,-120.973,1000.0,176.355,-1.0,0.388426,2.41327,19.2335,3.17054,-0.830845,991.918,0,1,right
1000.0,-24.882,-99.677,-112.565,1000.0,176.058,-1.0,0.142004,2.54986,14.4481,2.05502,-0.628465,991.97,0,1,right
1000.0,-24.8891,-99.6975,-112.565,1000.0,176.05,-1.0,0.141929,2.55216,14.4497,2.05491,-0.628444,991.97,0,1,right
1000.0,-28.5406,-108.419,-120.999,1000.0,175.908,-1.0,0.139186,2.80822,11.2722,2.42818,-0.635572,994.721,0,1,right
1000.0,-28.5156,-106.124,-116.901,1000.0,179.702,-1.0,0.139284,3.66775,11.2827,3.15509,-0.613872,994.724,0,1,right
1000.0,-30.9133,-108.413,-121.07,1000.0,175.55,-1.0,0.145074,2.88192,9.97712,2.47904,-0.649024,994.799,0,1,right
1000.0,-30.9073,-108.395,-121.068,1000.0,175.556,-1.0,0.145412,2.88227,9.9774,2.47923,-0.648986,994.803,0,1,right
1000.0,-30.9897,-116.904,-129.075,1000.0,175.856,-1.0,0.138042,3.09139,9.45057,2.86725,-0.617073,994.873,0,1,right
1000.0,-31.0007,-116.889,-129.081,1000.0,175.844,-1.0,0.138632,3.09303,9.44982,2.86664,-0.617115,994.866,0,1,right
1000.0,-33.5007,1000.0,-140.09,1000.0,176.133,-1.0,-1.0,-1.0,7.72926,3.94785,-0.578952,995.016,0,1,right
1000.0,-33.4832,1000.0,-140.064,1000.0,176.161,-1.0,-1.0,-1.0,7.7267,3.94949,-0.578867,995.018,0,1,right
1000.0,-33.4798,-90.546,-140.213,1000.0,176.081,-1.0,2.58435,0.589113,7.80018,3.97649,-0.583678,997.74,0,1,right
1000.0,-33.4839,-90.5782,-140.216,1000.0,176.074,-1.0,2.58129,0.591775,7.8024,3.97637,-0.583667,997.74,0,1,right
