angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear,orientation
-150.268,-21.7268,-36.791,-146.517,5.19038,179.989,1.70677,2.66342,0.65811,3.03726,1.36541,-0.644323,526.968,1,1,center
-156.625,-21.674,-36.9457,-146.596,0.0864435,-179.99,1.52861,2.66546,0.658762,3.03602,1.36818,-0.644232,526.979,1,1,center
-156.498,-16.9695,-36.8405,-146.561,0.219784,-176.685,1.52772,2.66458,0.657178,2.86628,1.36761,-0.64419,526.971,1,1,center
-150.327,-16.9096,-36.7969,-153.218,5.15718,-180.0,1.70843,2.64034,0.658169,2.86397,1.19344,-0.644781,526.98,1,1,center
-156.323,-16.8749,-27.3739,-153.167,5.15729,-179.967,1.53367,2.66136,0.535045,2.86527,1.19212,-0.644251,526.985,1,1,center
-156.424,-16.8197,-27.428,-153.185,5.06796,-179.94,1.51387,2.62578,0.528513,2.82673,1.17593,-0.655149,526.964,1,1,center
-150.409,-16.8275,-36.7494,-153.149,5.1052,-179.93,1.70748,2.63785,0.658808,2.86264,1.19126,-0.644907,526.964,1,1,center
-150.249,-21.7017,-36.6894,-146.46,5.2593,-179.971,1.71499,2.66479,0.65962,3.03191,1.36357,-0.643981,526.971,1,1,center
-150.226,-21.9536,-37.1384,-146.308,5.04942,179.97,1.70899,2.66745,0.662888,3.04444,1.37709,-0.643831,526.961,1,1,center
-150.052,-26.5402,-44.9668,-140.259,0.18369,-179.965,1.72644,2.66255,0.846522,3.26543,1.60126,-0.64436,526.969,1,1,center
-143.015,-30.9786,-51.0165,-134.88,4.61487,176.445,2.62872,2.19299,1.10595,3.58394,1.34808,-0.669101,526.953,1,1,center
-142.824,-34.7407,-44.8851,-129.71,4.43559,176.367,2.55686,2.60208,1.30039,3.81412,1.5585,-0.649095,526.932,1,1,center
-138.861,-31.0206,-44.822,-123.741,4.00672,179.927,2.86754,2.58026,1.84416,3.51087,1.34046,-0.650279,526.948,1,1,center
-138.834,-31.0214,-44.8085,-123.735,4.03623,179.947,2.90481,2.61346,1.867,3.55191,1.35817,-0.639834,526.936,1,1,center
-138.801,-32.4304,-49.7781,-120.343,4.36493,179.932,2.95552,2.21612,1.61704,4.43472,1.70366,-0.650505,526.969,1,1,center
-138.808,-32.4685,-49.7729,-120.367,4.37382,179.895,2.95703,2.21773,1.61654,4.43699,1.70411,-0.650396,526.965,1,1,center
-138.835,-34.8161,-49.8213,-120.375,4.33101,179.945,2.99132,2.24427,1.63621,3.95991,1.72753,-0.65893,526.964,1,1,center
-142.801,-34.8709,-55.6902,-125.972,0.320471,179.933,2.67577,2.24368,1.40172,3.9484,1.96062,-0.658077,526.984,1,1,center
-139.402,-34.8512,-50.1205,-126.013,0.285631,179.947,2.25986,2.6659,1.5929,3.8766,1.92711,-0.645832,526.99,1,1,center
-135.423,-34.8789,-50.082,-129.976,4.65372,176.386,2.54526,2.60923,1.57241,3.83296,1.59211,-0.657074,526.984,1,1,center
-139.6,-34.8356,-51.3007,-135.017,5.00381,176.624,2.21716,2.63006,1.0746,3.82486,1.86538,-0.655041,526.998,1,1,center
-144.434,-33.661,-50.9786,-135.18,0.34897,179.844,1.9929,2.69707,1.08727,3.11551,1.90024,-0.652952,526.999,1,1,center
-144.536,-30.9153,-44.9172,-130.18,0.247915,179.984,1.96978,2.66443,1.30253,3.5441,1.60035,-0.645824,526.992,1,1,center
-147.697,-26.7172,-50.6688,-135.279,0.327768,179.901,2.37909,2.22171,1.10475,3.33154,1.34607,-0.658639,526.956,1,1,center
-153.268,-24.0552,-31.0663,-141.114,4.31257,179.942,2.0979,2.66986,0.910299,2.57925,1.07982,-0.646255,526.966,1,1,center
-153.292,-16.9292,-30.8361,-143.268,4.44334,-179.981,2.13573,2.22005,0.919062,2.91119,0.692259,-0.659402,526.966,1,1,center
-152.937,-15.5236,-22.4347,-143.263,8.72072,179.99,2.11092,2.21052,0.781015,3.41086,0.681659,-0.649737,526.965,1,1,center
-153.153,-11.8385,-31.1458,-148.462,4.36398,-176.328,2.07145,2.61029,0.89785,2.72331,0.891371,-0.637877,526.937,1,1,center
-153.103,-16.8007,-22.5516,-148.644,8.54414,-179.942,2.06889,2.62986,0.769001,2.84765,0.887521,-0.637382,526.936,1,1,center
-153.361,-19.9305,-30.8575,-135.661,4.36797,-179.962,2.12274,2.24007,0.916469,3.63006,0.867853,-0.639183,526.937,1,1,center
-153.284,-15.647,-31.1422,-143.042,4.27552,179.989,2.10346,2.19145,0.912581,3.42474,0.68785,-0.650391,526.954,1,1,center
-153.283,-21.9486,-31.1638,-141.197,4.24461,179.919,2.06597,2.63469,0.899137,3.02562,1.06509,-0.637888,526.931,1,1,center
-153.243,-20.2099,-36.8548,-141.376,4.5964,179.976,2.09423,2.21259,0.679944,3.60042,1.09911,-0.648871,526.942,1,1,center
